bin,n,R2,MAE,MASE,model,alpha,anchor_year
8-30,19,-0.214,14.677,1.1549,LightGBM,1.0,2021
31-90,50,-0.056,14.612,1.1253,LightGBM,1.0,2021
91-180,90,0.193,55.597,0.8568,LightGBM,1.0,2021
181-270,88,0.335,65.155,0.9608,LightGBM,1.0,2021
271-365,91,-0.582,32.368,1.5538,LightGBM,1.0,2021
1-7,3,-0.71,3.002,1.2096,LightGBM,0.5,2021
8-30,19,0.104,12.511,0.9844,LightGBM,0.5,2021
31-90,50,-0.125,15.561,1.1984,LightGBM,0.5,2021
91-180,90,0.117,53.808,0.8292,LightGBM,0.5,2021
181-270,88,0.215,68.002,1.0028,LightGBM,0.5,2021
271-365,91,-0.211,27.229,1.3071,LightGBM,0.5,2021
1-7,3,-3.872,4.864,1.9594,LightGBM,0.0,2021
8-30,19,0.096,12.529,0.9858,LightGBM,0.0,2021
31-90,50,-0.158,15.839,1.2198,LightGBM,0.0,2021
91-180,90,0.054,52.301,0.806,LightGBM,0.0,2021
181-270,88,0.11,71.423,1.0533,LightGBM,0.0,2021
271-365,91,-0.156,25.515,1.2248,LightGBM,0.0,2021
1-7,0,,,,RF,1.0,2022
8-30,0,,,,RF,1.0,2022
31-90,1,,,,RF,1.0,2022
91-180,75,0.018,26.392,1.2171,RF,1.0,2022
181-270,74,0.121,38.694,1.0875,RF,1.0,2022
271-365,74,0.179,22.152,0.9796,RF,1.0,2022
1-7,0,,,,RF,0.5,2022
8-30,0,,,,RF,0.5,2022
31-90,1,,,,RF,0.5,2022
91-180,75,-0.224,29.518,1.3612,RF,0.5,2022
181-270,74,-0.003,43.741,1.2293,RF,0.5,2022
271-365,74,-0.042,25.923,1.1464,RF,0.5,2022
1-7,0,,,,RF,0.0,2022
8-30,0,,,,RF,0.0,2022
31-90,1,,,,RF,0.0,2022
91-180,75,-0.273,30.145,1.3901,RF,0.0,2022
181-270,74,-0.001,43.564,1.2243,RF,0.0,2022
271-365,74,-0.094,26.182,1.1578,RF,0.0,2022
1-7,0,,,,XGB,1.0,2022
8-30,0,,,,XGB,1.0,2022
31-90,1,,,,XGB,1.0,2022
91-180,75,0.156,22.745,1.0489,XGB,1.0,2022
181-270,74,0.098,39.229,1.1025,XGB,1.0,2022
271-365,74,0.173,22.071,0.976,XGB,1.0,2022
1-7,0,,,,XGB,0.5,2022
8-30,0,,,,XGB,0.5,2022
31-90,1,,,,XGB,0.5,2022
91-180,75,-0.204,28.472,1.313,XGB,0.5,2022
181-270,74,-0.032,45.281,1.2726,XGB,0.5,2022
271-365,74,0.015,25.036,1.1071,XGB,0.5,2022
1-7,0,,,,XGB,0.0,2022
8-30,0,,,,XGB,0.0,2022
31-90,1,,,,XGB,0.0,2022
91-180,75,-0.348,30.224,1.3938,XGB,0.0,2022
181-270,74,-0.055,45.311,1.2734,XGB,0.0,2022
271-365,74,-0.075,26.073,1.153,XGB,0.0,2022
1-7,0,,,,LightGBM,1.0,2022
8-30,0,,,,LightGBM,1.0,2022
31-90,1,,,,LightGBM,1.0,2022
91-180,75,0.075,24.154,1.1139,LightGBM,1.0,2022
181-270,74,-0.085,45.956,1.2915,LightGBM,1.0,2022
271-365,74,0.171,22.08,0.9764,LightGBM,1.0,2022
1-7,0,,,,LightGBM,0.5,2022
8-30,0,,,,LightGBM,0.5,2022
31-90,1,,,,LightGBM,0.5,2022
91-180,75,-0.267,29.066,1.3404,LightGBM,0.5,2022
181-270,74,-0.059,46.465,1.3058,LightGBM,0.5,2022
271-365,74,0.05,24.644,1.0898,LightGBM,0.5,2022
1-7,0,,,,LightGBM,0.0,2022
8-30,0,,,,LightGBM,0.0,2022
31-90,1,,,,LightGBM,0.0,2022
91-180,75,-0.416,30.968,1.4281,LightGBM,0.0,2022
181-270,74,-0.091,46.891,1.3178,LightGBM,0.0,2022
271-365,74,-0.032,25.671,1.1352,LightGBM,0.0,2022
