bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
91-180,0,,,,,,,Ensemble_MASEweighted,2022,2
181-270,0,,,,,,,Ensemble_MASEweighted,2022,2
271-365,0,,,,,,,Ensemble_MASEweighted,2022,2
1-7,0,,,,,,,TFT,2022,2
8-30,0,,,,,,,TFT,2022,2
31-90,0,,,,,,,TFT,2022,2
91-180,0,,,,,,,TFT,2022,2
181-270,0,,,,,,,TFT,2022,2
271-365,0,,,,,,,TFT,2022,2
1-7,0,,,,,,,TabPFN,2022,2
8-30,0,,,,,,,TabPFN,2022,2
31-90,0,,,,,,,TabPFN,2022,2
91-180,0,,,,,,,TabPFN,2022,2
181-270,0,,,,,,,TabPFN,2022,2
271-365,0,,,,,,,TabPFN,2022,2
1-7,0,,,,,,,DLinear,2022,2
8-30,0,,,,,,,DLinear,2022,2
31-90,0,,,,,,,DLinear,2022,2
91-180,0,,,,,,,DLinear,2022,2
181-270,0,,,,,,,DLinear,2022,2
271-365,0,,,,,,,DLinear,2022,2
1-7,0,,,,,,,LSTM,2022,2
8-30,0,,,,,,,LSTM,2022,2
31-90,0,,,,,,,LSTM,2022,2
91-180,0,,,,,,,LSTM,2022,2
181-270,0,,,,,,,LSTM,2022,2
271-365,0,,,,,,,LSTM,2022,2
1-7,0,,,,,,,TabICLv2,2022,2
8-30,0,,,,,,,TabICLv2,2022,2
31-90,0,,,,,,,TabICLv2,2022,2
91-180,0,,,,,,,TabICLv2,2022,2
181-270,0,,,,,,,TabICLv2,2022,2
271-365,0,,,,,,,TabICLv2,2022,2
1-7,1,,,,,,,RF,2018,4
8-30,7,-0.86,11.651,11.25,1.5534,1.6087,0.511,RF,2018,4
31-90,33,0.045,15.667,13.789,1.2809,1.1302,0.533,RF,2018,4
91-180,83,-0.79,25.665,19.423,0.636,1.572,0.232,RF,2018,4
181-270,72,0.149,73.553,55.814,0.861,0.7989,0.391,RF,2018,4
271-365,67,-0.048,63.463,37.022,1.1833,1.2046,0.065,RF,2018,4
1-7,1,,,,,,,XGB,2018,4
8-30,7,-0.089,8.916,7.835,1.0818,1.1204,0.605,XGB,2018,4
31-90,33,0.03,15.787,12.084,1.1225,0.9905,0.244,XGB,2018,4
91-180,83,-0.349,22.279,15.765,0.5162,1.276,0.218,XGB,2018,4
181-270,72,0.071,76.832,57.067,0.8803,0.8168,0.291,XGB,2018,4
271-365,67,0.066,59.894,30.811,0.9848,1.0025,0.276,XGB,2018,4
1-7,1,,,,,,,LightGBM,2018,4
8-30,7,-0.453,10.297,9.643,1.3315,1.3789,0.618,LightGBM,2018,4
31-90,33,0.088,15.309,11.496,1.068,0.9423,0.323,LightGBM,2018,4
91-180,83,-0.508,23.556,16.737,0.548,1.3546,0.183,LightGBM,2018,4
181-270,72,0.129,74.379,55.103,0.85,0.7887,0.376,LightGBM,2018,4
271-365,67,0.059,60.12,30.408,0.9719,0.9894,0.262,LightGBM,2018,4
1-7,1,,,,,,,SARIMAX,2018,4
8-30,7,-1.889,14.523,13.499,1.8638,1.9303,0.554,SARIMAX,2018,4
31-90,33,-0.163,17.294,15.255,1.4172,1.2504,0.327,SARIMAX,2018,4
91-180,83,-0.927,26.626,22.118,0.7243,1.7902,0.214,SARIMAX,2018,4
181-270,72,0.033,78.379,64.116,0.989,0.9177,0.32,SARIMAX,2018,4
271-365,67,-0.17,67.053,43.107,1.3778,1.4026,0.113,SARIMAX,2018,4
1-7,1,,,,,,,Ensemble_unweighted,2018,4
8-30,7,-0.689,11.103,10.557,1.4576,1.5096,0.658,Ensemble_unweighted,2018,4
31-90,33,0.052,15.615,12.953,1.2033,1.0617,0.405,Ensemble_unweighted,2018,4
91-180,83,-0.582,24.129,18.24,0.5973,1.4763,0.222,Ensemble_unweighted,2018,4
181-270,72,0.122,74.682,57.457,0.8863,0.8224,0.35,Ensemble_unweighted,2018,4
271-365,67,0.009,61.717,34.206,1.0933,1.1129,0.166,Ensemble_unweighted,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,2018,4
8-30,7,-0.672,11.047,10.498,1.4495,1.5012,0.66,Ensemble_MASEweighted,2018,4
31-90,33,0.053,15.602,12.911,1.1994,1.0583,0.402,Ensemble_MASEweighted,2018,4
91-180,83,-0.576,24.082,18.17,0.595,1.4706,0.222,Ensemble_MASEweighted,2018,4
181-270,72,0.122,74.689,57.394,0.8853,0.8215,0.35,Ensemble_MASEweighted,2018,4
271-365,67,0.011,61.646,34.085,1.0894,1.109,0.169,Ensemble_MASEweighted,2018,4
1-7,1,,,,,,,TFT,2018,4
8-30,7,-3.091,17.282,11.258,1.5545,1.6099,-0.607,TFT,2018,4
31-90,33,-1.584,25.774,18.181,1.6889,1.4902,-0.308,TFT,2018,4
91-180,83,-0.854,26.12,19.337,0.6332,1.5651,0.172,TFT,2018,4
181-270,72,-0.173,86.344,59.1,0.9116,0.8459,0.185,TFT,2018,4
271-365,67,-0.083,64.495,28.935,0.9249,0.9415,0.028,TFT,2018,4
1-7,1,,,,,,,TabPFN,2018,4
8-30,7,-0.295,9.722,6.004,0.8291,0.8586,0.101,TabPFN,2018,4
31-90,33,-0.351,18.638,11.651,1.0823,0.955,0.199,TabPFN,2018,4
91-180,83,-0.226,21.241,14.759,0.4833,1.1945,-0.002,TabPFN,2018,4
181-270,72,-0.199,87.306,57.593,0.8884,0.8243,0.186,TabPFN,2018,4
271-365,67,-0.091,64.734,27.548,0.8805,0.8963,0.013,TabPFN,2018,4
1-7,1,,,,,,,DLinear,2018,4
8-30,7,-16.532,35.774,30.765,4.2478,4.3992,-0.391,DLinear,2018,4
31-90,33,-6.309,43.346,36.518,3.3924,2.9933,-0.497,DLinear,2018,4
91-180,83,-12.949,71.638,56.989,1.8661,4.6125,-0.075,DLinear,2018,4
181-270,72,-0.505,97.793,76.008,1.1724,1.0879,0.057,DLinear,2018,4
271-365,67,-0.806,83.292,54.741,1.7497,1.7811,0.02,DLinear,2018,4
1-7,1,,,,,,,LSTM,2018,4
8-30,7,-0.966,11.979,9.729,1.3433,1.3912,-0.61,LSTM,2018,4
31-90,33,-0.852,21.819,14.695,1.3652,1.2045,-0.285,LSTM,2018,4
91-180,83,-1.342,29.351,21.598,0.7072,1.748,0.204,LSTM,2018,4
181-270,72,-0.347,92.51,62.873,0.9698,0.8999,0.108,LSTM,2018,4
271-365,67,-0.097,64.917,28.309,0.9048,0.9211,0.143,LSTM,2018,4
1-7,1,,,,,,,TabICLv2,2018,4
8-30,7,-0.236,9.5,5.717,0.7894,0.8175,-0.163,TabICLv2,2018,4
