track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
B,3,2,XGB,46.811,28.338,-0.04,-2.115,247,0.089,0.146,0.9726,1.0232,1.1051,2.5302,16
B,7,4,persist,77.138,44.991,-0.26,5.613,567,0.0,-0.11,1.1791,1.0,1.2675,3.4737,29
B,7,4,clim,69.466,40.622,-0.022,0.109,567,0.099,0.0,1.0646,0.9029,1.1843,3.3462,29
B,7,4,RF,62.218,38.834,0.18,11.201,567,0.193,0.104,1.0177,0.8631,1.1402,2.9859,29
B,7,4,XGB,64.742,43.694,0.112,18.421,567,0.161,0.068,1.1451,0.9712,1.2047,3.8286,29
B,7,9,persist,86.17,47.286,-0.726,8.647,458,0.0,-0.344,1.1541,1.0,1.2259,4.4372,25
B,7,9,clim,64.099,41.771,0.045,2.897,458,0.256,0.0,1.0195,0.8834,1.1425,3.3842,25
B,7,9,RF,57.029,36.328,0.244,7.381,458,0.338,0.11,0.8866,0.7683,1.1317,3.1438,25
B,7,9,XGB,58.645,37.281,0.201,8.222,458,0.319,0.085,0.9099,0.7884,1.1496,3.2303,25
B,7,2,persist,57.185,32.112,-0.553,9.328,247,0.0,-0.043,1.1022,1.0,1.0727,2.868,16
B,7,2,clim,54.812,31.479,-0.426,8.375,247,0.042,0.0,1.0804,0.9803,1.0476,3.3952,16
B,7,2,RF,47.665,27.107,-0.079,-11.492,247,0.166,0.13,0.9304,0.8441,1.193,1.6806,16
B,7,2,XGB,48.341,28.65,-0.109,-3.74,247,0.155,0.118,0.9833,0.8922,1.1215,2.4287,16
B,14,4,persist,101.072,56.668,-1.163,13.733,567,0.0,-0.455,1.4851,1.0,1.293,5.127,29
B,14,4,clim,69.466,40.622,-0.022,0.109,567,0.313,0.0,1.0646,0.7168,1.1843,3.3462,29
B,14,4,RF,63.454,39.809,0.147,12.182,567,0.372,0.087,1.0433,0.7025,1.1544,2.9792,29
B,14,4,XGB,66.041,44.392,0.076,18.428,567,0.347,0.049,1.1633,0.7834,1.2075,3.8677,29
B,14,9,persist,85.1,49.001,-0.683,10.887,458,0.0,-0.328,1.1959,1.0,1.2556,3.7713,25
B,14,9,clim,64.099,41.771,0.045,2.897,458,0.247,0.0,1.0195,0.8525,1.1425,3.3842,25
B,14,9,RF,57.76,36.354,0.225,6.608,458,0.321,0.099,0.8873,0.7419,1.1215,3.0823,25
B,14,9,XGB,65.143,41.083,0.014,10.975,458,0.235,-0.016,1.0027,0.8384,1.1442,3.7103,25
B,14,2,persist,62.474,37.394,-0.853,11.909,247,0.0,-0.14,1.2834,1.0,1.1994,4.1198,16
B,14,2,clim,54.812,31.479,-0.426,8.375,247,0.123,0.0,1.0804,0.8418,1.0476,3.3952,16
B,14,2,RF,47.718,27.064,-0.081,-10.875,247,0.236,0.129,0.9289,0.7238,1.1671,1.7322,16
B,14,2,XGB,49.065,29.097,-0.143,-4.054,247,0.215,0.105,0.9987,0.7781,1.1323,2.4256,16
