bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
31-90,50,-0.278,23.184,16.064,1.2371,0.9305,0.114,TFT,2021,4,B_resample
91-180,90,-0.023,100.52,58.505,0.9016,0.8016,0.203,TFT,2021,4,B_resample
181-270,88,-0.041,103.02,73.939,1.0904,1.0365,0.09,TFT,2021,4,B_resample
271-365,91,-0.32,37.551,26.318,1.2634,1.1858,0.442,TFT,2021,4,B_resample
1-7,3,-43.028,16.051,14.773,5.9515,1.6698,0.053,DLinear,2021,4,B_resample
8-30,19,-1.066,24.845,20.798,1.6364,1.3883,0.158,DLinear,2021,4,B_resample
31-90,50,-3.227,42.16,36.257,2.7921,2.1002,0.125,DLinear,2021,4,B_resample
91-180,90,0.118,93.372,66.918,1.0312,0.9169,0.361,DLinear,2021,4,B_resample
181-270,88,0.268,86.398,67.783,0.9996,0.9502,0.568,DLinear,2021,4,B_resample
271-365,91,-1.094,47.298,36.796,1.7663,1.6578,0.3,DLinear,2021,4,B_resample
1-7,3,-14.617,9.56,9.099,3.6658,1.0285,-0.781,LSTM,2021,4,B_resample
8-30,19,-0.348,20.073,15.246,1.1996,1.0177,-0.049,LSTM,2021,4,B_resample
31-90,50,-0.013,20.641,13.308,1.0248,0.7709,0.249,LSTM,2021,4,B_resample
91-180,90,-0.23,110.226,69.186,1.0662,0.948,0.083,LSTM,2021,4,B_resample
181-270,88,-0.043,103.089,65.933,0.9723,0.9243,0.311,LSTM,2021,4,B_resample
271-365,91,-2.386,60.14,40.417,1.9401,1.821,0.341,LSTM,2021,4,B_resample
1-7,1,,,,,,,TFT,2021,9,B_resample
8-30,12,0.182,16.579,12.415,0.4956,0.9038,0.615,TFT,2021,9,B_resample
31-90,35,-0.282,17.394,11.715,0.4871,1.148,-0.34,TFT,2021,9,B_resample
91-180,85,0.262,87.701,56.573,0.7316,0.6147,0.524,TFT,2021,9,B_resample
181-270,47,0.032,61.228,46.47,0.9979,0.7205,0.294,TFT,2021,9,B_resample
271-365,0,,,,,,,TFT,2021,9,B_resample
1-7,1,,,,,,,DLinear,2021,9,B_resample
8-30,12,-0.091,19.144,13.44,0.5365,0.9785,0.477,DLinear,2021,9,B_resample
31-90,35,-2.025,26.719,21.924,0.9116,2.1483,0.193,DLinear,2021,9,B_resample
91-180,85,0.272,87.128,57.041,0.7377,0.6198,0.535,DLinear,2021,9,B_resample
181-270,47,-0.111,65.608,50.539,1.0852,0.7835,0.055,DLinear,2021,9,B_resample
271-365,0,,,,,,,DLinear,2021,9,B_resample
1-7,1,,,,,,,LSTM,2021,9,B_resample
8-30,12,-0.124,19.438,13.43,0.5361,0.9777,0.02,LSTM,2021,9,B_resample
31-90,35,-0.156,16.518,9.981,0.415,0.9781,-0.061,LSTM,2021,9,B_resample
91-180,85,-0.048,104.498,67.854,0.8775,0.7373,0.282,LSTM,2021,9,B_resample
181-270,47,-1.038,88.864,67.605,1.4517,1.0481,-0.254,LSTM,2021,9,B_resample
271-365,0,,,,,,,LSTM,2021,9,B_resample
