bin,n,R2,MAE,MASE,model,anchor_year,eval_tower
181-270,0,,,,XGB_tuned,2020,2
271-365,0,,,,XGB_tuned,2020,2
1-7,0,,,,LightGBM_tuned,2020,2
8-30,0,,,,LightGBM_tuned,2020,2
31-90,0,,,,LightGBM_tuned,2020,2
91-180,0,,,,LightGBM_tuned,2020,2
181-270,0,,,,LightGBM_tuned,2020,2
271-365,0,,,,LightGBM_tuned,2020,2
1-7,0,,,,SARIMAX,2020,2
8-30,0,,,,SARIMAX,2020,2
31-90,0,,,,SARIMAX,2020,2
91-180,0,,,,SARIMAX,2020,2
181-270,0,,,,SARIMAX,2020,2
271-365,0,,,,SARIMAX,2020,2
1-7,0,,,,Ensemble_4model_tuned,2020,2
8-30,0,,,,Ensemble_4model_tuned,2020,2
31-90,0,,,,Ensemble_4model_tuned,2020,2
91-180,0,,,,Ensemble_4model_tuned,2020,2
181-270,0,,,,Ensemble_4model_tuned,2020,2
271-365,0,,,,Ensemble_4model_tuned,2020,2
1-7,4,-5.42,17.55,1.5594,RF_tuned,2020,4
8-30,21,-0.973,17.806,1.4088,RF_tuned,2020,4
31-90,37,-0.087,31.193,1.1806,RF_tuned,2020,4
91-180,42,-0.064,17.907,1.0594,RF_tuned,2020,4
181-270,79,0.084,49.766,0.9761,RF_tuned,2020,4
271-365,80,0.189,37.379,0.9532,RF_tuned,2020,4
1-7,4,-5.762,18.166,1.6141,XGB_tuned,2020,4
8-30,21,-0.686,15.683,1.2408,XGB_tuned,2020,4
31-90,37,-0.136,31.338,1.1861,XGB_tuned,2020,4
91-180,42,0.058,16.392,0.9697,XGB_tuned,2020,4
181-270,79,0.128,48.128,0.944,XGB_tuned,2020,4
271-365,80,0.145,39.781,1.0145,XGB_tuned,2020,4
1-7,4,-5.419,16.455,1.4621,LightGBM_tuned,2020,4
8-30,21,-0.318,12.948,1.0245,LightGBM_tuned,2020,4
31-90,37,-0.114,31.066,1.1758,LightGBM_tuned,2020,4
91-180,42,0.088,16.572,0.9804,LightGBM_tuned,2020,4
181-270,79,0.125,47.971,0.9409,LightGBM_tuned,2020,4
271-365,80,0.158,35.565,0.907,LightGBM_tuned,2020,4
1-7,4,-1.81,9.817,0.8723,SARIMAX,2020,4
8-30,21,0.233,9.833,0.778,SARIMAX,2020,4
31-90,37,-0.03,26.398,0.9991,SARIMAX,2020,4
91-180,42,-0.054,18.373,1.0869,SARIMAX,2020,4
181-270,79,0.087,52.436,1.0285,SARIMAX,2020,4
271-365,80,0.135,41.228,1.0514,SARIMAX,2020,4
1-7,4,-4.314,15.426,1.3706,Ensemble_4model_tuned,2020,4
8-30,21,-0.288,12.64,1.0001,Ensemble_4model_tuned,2020,4
31-90,37,-0.076,29.72,1.1248,Ensemble_4model_tuned,2020,4
91-180,42,0.079,16.786,0.993,Ensemble_4model_tuned,2020,4
181-270,79,0.114,49.025,0.9616,Ensemble_4model_tuned,2020,4
271-365,80,0.162,37.119,0.9466,Ensemble_4model_tuned,2020,4
1-7,4,-54.299,27.356,1.1203,RF_tuned,2020,9
8-30,19,-0.009,59.001,0.9575,RF_tuned,2020,9
31-90,24,-2.415,22.68,1.0882,RF_tuned,2020,9
91-180,57,-0.261,17.298,0.9354,RF_tuned,2020,9
181-270,64,0.123,62.586,1.0211,RF_tuned,2020,9
271-365,86,0.092,33.179,0.9575,RF_tuned,2020,9
1-7,4,-54.421,27.361,1.1205,XGB_tuned,2020,9
8-30,19,0.015,58.974,0.9571,XGB_tuned,2020,9
31-90,24,-3.216,23.65,1.1347,XGB_tuned,2020,9
91-180,57,-0.213,16.801,0.9086,XGB_tuned,2020,9
181-270,64,0.171,59.504,0.9708,XGB_tuned,2020,9
271-365,86,0.107,32.741,0.9448,XGB_tuned,2020,9
1-7,4,-49.262,25.403,1.0403,LightGBM_tuned,2020,9
8-30,19,0.042,60.918,0.9886,LightGBM_tuned,2020,9
31-90,24,-4.349,26.929,1.2921,LightGBM_tuned,2020,9
91-180,57,-0.408,17.807,0.9629,LightGBM_tuned,2020,9
181-270,64,0.232,58.097,0.9479,LightGBM_tuned,2020,9
271-365,86,0.104,30.168,0.8706,LightGBM_tuned,2020,9
1-7,4,-46.085,21.494,0.8802,SARIMAX,2020,9
8-30,19,-0.081,60.957,0.9892,SARIMAX,2020,9
31-90,24,-0.794,14.621,0.7015,SARIMAX,2020,9
91-180,57,-0.152,15.38,0.8317,SARIMAX,2020,9
181-270,64,0.214,56.612,0.9237,SARIMAX,2020,9
271-365,86,0.004,32.356,0.9337,SARIMAX,2020,9
1-7,4,-47.697,25.403,1.0403,Ensemble_4model_tuned,2020,9
8-30,19,-0.002,57.877,0.9393,Ensemble_4model_tuned,2020,9
31-90,24,-2.278,20.313,0.9746,Ensemble_4model_tuned,2020,9
91-180,57,-0.166,15.887,0.8591,Ensemble_4model_tuned,2020,9
181-270,64,0.193,58.367,0.9523,Ensemble_4model_tuned,2020,9
271-365,86,0.096,31.183,0.8999,Ensemble_4model_tuned,2020,9
1-7,0,,,,RF_tuned,2021,2
8-30,0,,,,RF_tuned,2021,2
31-90,0,,,,RF_tuned,2021,2
91-180,0,,,,RF_tuned,2021,2
181-270,0,,,,RF_tuned,2021,2
271-365,0,,,,RF_tuned,2021,2
1-7,0,,,,XGB_tuned,2021,2
8-30,0,,,,XGB_tuned,2021,2
31-90,0,,,,XGB_tuned,2021,2
91-180,0,,,,XGB_tuned,2021,2
181-270,0,,,,XGB_tuned,2021,2
271-365,0,,,,XGB_tuned,2021,2
1-7,0,,,,LightGBM_tuned,2021,2
8-30,0,,,,LightGBM_tuned,2021,2
31-90,0,,,,LightGBM_tuned,2021,2
91-180,0,,,,LightGBM_tuned,2021,2
181-270,0,,,,LightGBM_tuned,2021,2
271-365,0,,,,LightGBM_tuned,2021,2
1-7,0,,,,SARIMAX,2021,2
8-30,0,,,,SARIMAX,2021,2
31-90,0,,,,SARIMAX,2021,2
91-180,0,,,,SARIMAX,2021,2
181-270,0,,,,SARIMAX,2021,2
271-365,0,,,,SARIMAX,2021,2
1-7,0,,,,Ensemble_4model_tuned,2021,2
8-30,0,,,,Ensemble_4model_tuned,2021,2
31-90,0,,,,Ensemble_4model_tuned,2021,2
91-180,0,,,,Ensemble_4model_tuned,2021,2
181-270,0,,,,Ensemble_4model_tuned,2021,2
271-365,0,,,,Ensemble_4model_tuned,2021,2
1-7,3,-3.367,4.025,1.6215,RF_tuned,2021,4
8-30,19,-0.554,16.868,1.3272,RF_tuned,2021,4
31-90,50,-0.179,17.76,1.3677,RF_tuned,2021,4
91-180,90,0.189,53.296,0.8213,RF_tuned,2021,4
181-270,88,0.254,66.912,0.9867,RF_tuned,2021,4
271-365,91,-0.532,32.514,1.5608,RF_tuned,2021,4
1-7,3,-1.534,3.203,1.2902,XGB_tuned,2021,4
8-30,19,-0.332,15.867,1.2485,XGB_tuned,2021,4
31-90,50,-0.19,17.477,1.3459,XGB_tuned,2021,4
91-180,90,0.157,53.827,0.8295,XGB_tuned,2021,4
181-270,88,0.303,64.948,0.9578,XGB_tuned,2021,4
271-365,91,-0.23,28.561,1.371,XGB_tuned,2021,4
1-7,3,-5.294,5.689,2.2921,LightGBM_tuned,2021,4
8-30,19,-0.738,18.031,1.4188,LightGBM_tuned,2021,4
31-90,50,-0.215,16.848,1.2975,LightGBM_tuned,2021,4
91-180,90,0.225,52.369,0.807,LightGBM_tuned,2021,4
181-270,88,0.372,62.513,0.9219,LightGBM_tuned,2021,4
271-365,91,-0.446,31.611,1.5174,LightGBM_tuned,2021,4
1-7,3,-7.615,6.221,2.5062,SARIMAX,2021,4
8-30,19,-0.012,12.97,1.0206,SARIMAX,2021,4
31-90,50,0.03,13.487,1.0386,SARIMAX,2021,4
91-180,90,0.118,58.216,0.8971,SARIMAX,2021,4
181-270,88,0.214,65.07,0.9596,SARIMAX,2021,4
271-365,91,-0.34,29.402,1.4114,SARIMAX,2021,4
1-7,3,-4.007,4.552,1.8341,Ensemble_4model_tuned,2021,4
8-30,19,-0.317,15.387,1.2107,Ensemble_4model_tuned,2021,4
31-90,50,-0.086,16.178,1.2458,Ensemble_4model_tuned,2021,4
91-180,90,0.179,54.127,0.8341,Ensemble_4model_tuned,2021,4
181-270,88,0.306,64.285,0.948,Ensemble_4model_tuned,2021,4
271-365,91,-0.332,30.244,1.4518,Ensemble_4model_tuned,2021,4
1-7,1,,,,RF_tuned,2021,9
8-30,12,-0.401,18.349,0.7324,RF_tuned,2021,9
31-90,35,-0.55,16.52,0.6869,RF_tuned,2021,9
91-180,85,0.213,53.14,0.6872,RF_tuned,2021,9
181-270,47,0.078,44.688,0.9596,RF_tuned,2021,9
271-365,0,,,,RF_tuned,2021,9
1-7,1,,,,XGB_tuned,2021,9
8-30,12,-0.388,18.062,0.721,XGB_tuned,2021,9
31-90,35,-0.493,16.283,0.6771,XGB_tuned,2021,9
91-180,85,0.232,53.629,0.6936,XGB_tuned,2021,9
181-270,47,-0.082,46.333,0.9949,XGB_tuned,2021,9
271-365,0,,,,XGB_tuned,2021,9
1-7,1,,,,LightGBM_tuned,2021,9
8-30,12,-0.177,16.291,0.6503,LightGBM_tuned,2021,9
31-90,35,-0.601,17.003,0.707,LightGBM_tuned,2021,9
91-180,85,0.143,55.153,0.7133,LightGBM_tuned,2021,9
181-270,47,0.056,43.879,0.9422,LightGBM_tuned,2021,9
271-365,0,,,,LightGBM_tuned,2021,9
1-7,1,,,,SARIMAX,2021,9
8-30,12,-1.633,24.459,0.9763,SARIMAX,2021,9
31-90,35,-2.79,24.029,0.9992,SARIMAX,2021,9
91-180,85,0.021,62.79,0.812,SARIMAX,2021,9
181-270,47,-0.193,47.075,1.0108,SARIMAX,2021,9
271-365,0,,,,SARIMAX,2021,9
1-7,1,,,,Ensemble_4model_tuned,2021,9
8-30,12,-0.048,13.478,0.538,Ensemble_4model_tuned,2021,9
31-90,35,-0.121,11.638,0.4839,Ensemble_4model_tuned,2021,9
91-180,85,0.174,52.866,0.6837,Ensemble_4model_tuned,2021,9
181-270,47,0.013,43.425,0.9325,Ensemble_4model_tuned,2021,9
271-365,0,,,,Ensemble_4model_tuned,2021,9
1-7,0,,,,RF_tuned,2022,2
8-30,0,,,,RF_tuned,2022,2
31-90,0,,,,RF_tuned,2022,2
91-180,0,,,,RF_tuned,2022,2
181-270,0,,,,RF_tuned,2022,2
271-365,0,,,,RF_tuned,2022,2
1-7,0,,,,XGB_tuned,2022,2
8-30,0,,,,XGB_tuned,2022,2
31-90,0,,,,XGB_tuned,2022,2
91-180,0,,,,XGB_tuned,2022,2
181-270,0,,,,XGB_tuned,2022,2
271-365,0,,,,XGB_tuned,2022,2
1-7,0,,,,LightGBM_tuned,2022,2
8-30,0,,,,LightGBM_tuned,2022,2
31-90,0,,,,LightGBM_tuned,2022,2
91-180,0,,,,LightGBM_tuned,2022,2
181-270,0,,,,LightGBM_tuned,2022,2
271-365,0,,,,LightGBM_tuned,2022,2
1-7,0,,,,SARIMAX,2022,2
8-30,0,,,,SARIMAX,2022,2
31-90,0,,,,SARIMAX,2022,2
91-180,0,,,,SARIMAX,2022,2
181-270,0,,,,SARIMAX,2022,2
271-365,0,,,,SARIMAX,2022,2
1-7,0,,,,Ensemble_4model_tuned,2022,2
8-30,0,,,,Ensemble_4model_tuned,2022,2
31-90,0,,,,Ensemble_4model_tuned,2022,2
91-180,0,,,,Ensemble_4model_tuned,2022,2
181-270,0,,,,Ensemble_4model_tuned,2022,2
