anchor_year,eval_tower,model,date,q05,median,q95,y_true
2019,9,Ensemble_MASEweighted,2020-02-07,-10.050444070205925,19.02770689816398,57.6727540979949,
2019,9,Ensemble_MASEweighted,2020-02-08,-8.282529679113491,24.541529087136876,61.97926781306279,
2019,9,Ensemble_MASEweighted,2020-02-09,1.0471171230708078,43.40812912726999,111.11153383465374,
2019,9,Ensemble_MASEweighted,2020-02-10,-2.368062099372935,44.474818820955676,110.58943461547001,
2019,9,Ensemble_MASEweighted,2020-02-11,-6.303473359289346,33.82613360690836,95.96584565879493,
2019,9,Ensemble_MASEweighted,2020-02-12,-11.258706965295524,22.03542605721021,68.37818228268279,
2019,9,Ensemble_MASEweighted,2020-02-13,-6.943425160357378,38.13000359891675,115.05221671676128,6.612691575142857
2019,9,Ensemble_MASEweighted,2020-02-14,-11.191060680700593,22.723381864138947,72.42780038935072,10.5378970244
2019,9,Ensemble_MASEweighted,2020-02-15,-2.5456511250034506,44.07381528395226,127.71289709722538,
2019,9,Ensemble_MASEweighted,2020-02-16,-3.2539426071347464,44.53386282610652,126.39853878149563,36.92079245928572
2019,9,Ensemble_MASEweighted,2020-02-17,-6.563107193893039,34.22567983962173,100.08348691264544,50.552229085625
2019,9,Ensemble_MASEweighted,2020-02-18,-7.6840824489957775,32.49212674548095,93.06286493773082,
2019,9,Ensemble_MASEweighted,2020-02-19,-10.746734154828193,23.226118436493643,70.07520563513597,38.7501565158125
2019,9,Ensemble_MASEweighted,2020-02-20,-8.570781385534275,30.433984129456462,88.57630110473767,24.92823643357143
2019,9,Ensemble_MASEweighted,2020-02-21,-10.71326936700127,27.195408768837137,87.84440794981542,
2019,9,Ensemble_MASEweighted,2020-02-22,-6.5739990141825295,38.19673179074546,102.98828142014197,
2019,9,Ensemble_MASEweighted,2020-02-23,-7.829802252736732,34.71938692497625,91.29102325337574,
2019,9,Ensemble_MASEweighted,2020-02-24,-6.693970716420637,38.81624715091413,100.48416801892989,
