bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,0,,,,,,,RF,2019,4
8-30,8,-3.897,73.322,62.346,1.6303,1.6288,-0.61,RF,2019,4
31-90,32,-0.686,29.099,23.133,1.0571,1.0591,0.186,RF,2019,4
91-180,62,0.177,79.448,50.212,0.6603,0.6609,0.455,RF,2019,4
181-270,61,0.52,25.094,18.775,0.6665,0.6674,0.751,RF,2019,4
271-365,66,0.183,47.692,20.438,0.7729,0.7744,0.504,RF,2019,4
1-7,0,,,,,,,XGB,2019,4
8-30,8,-3.177,67.714,55.475,1.4507,1.4493,-0.823,XGB,2019,4
31-90,32,-0.278,25.339,18.308,0.8366,0.8382,0.236,XGB,2019,4
91-180,62,0.186,79.03,48.36,0.636,0.6366,0.475,XGB,2019,4
181-270,61,0.524,24.988,17.936,0.6368,0.6376,0.766,XGB,2019,4
271-365,66,0.122,49.444,21.613,0.8173,0.819,0.355,XGB,2019,4
1-7,0,,,,,,,LightGBM,2019,4
8-30,8,-2.896,65.403,54.476,1.4245,1.4232,-0.467,LightGBM,2019,4
31-90,32,-0.251,25.066,18.159,0.8298,0.8314,0.272,LightGBM,2019,4
91-180,62,0.184,79.1,47.721,0.6276,0.6281,0.492,LightGBM,2019,4
181-270,61,0.57,23.767,16.798,0.5963,0.5971,0.766,LightGBM,2019,4
271-365,66,0.12,49.495,20.234,0.7651,0.7667,0.379,LightGBM,2019,4
1-7,0,,,,,,,SARIMAX,2019,4
8-30,8,-1.688,54.324,42.891,1.1216,1.1205,-0.354,SARIMAX,2019,4
31-90,32,-0.242,24.981,19.951,0.9117,0.9134,0.054,SARIMAX,2019,4
91-180,62,0.224,77.163,51.098,0.672,0.6726,0.479,SARIMAX,2019,4
181-270,61,0.451,26.843,21.259,0.7547,0.7557,0.774,SARIMAX,2019,4
271-365,66,0.091,50.3,26.295,0.9943,0.9963,0.407,SARIMAX,2019,4
1-7,0,,,,,,,Ensemble_unweighted,2019,4
8-30,8,-2.857,65.073,53.515,1.3994,1.3981,-0.643,Ensemble_unweighted,2019,4
31-90,32,-0.123,23.749,17.236,0.7876,0.7891,0.217,Ensemble_unweighted,2019,4
91-180,62,0.203,78.196,48.61,0.6393,0.6398,0.483,Ensemble_unweighted,2019,4
181-270,61,0.573,23.687,16.725,0.5938,0.5945,0.771,Ensemble_unweighted,2019,4
271-365,66,0.156,48.484,20.146,0.7618,0.7634,0.421,Ensemble_unweighted,2019,4
1-7,0,,,,,,,Ensemble_MASEweighted,2019,4
8-30,8,-2.866,65.149,53.592,1.4014,1.4001,-0.646,Ensemble_MASEweighted,2019,4
31-90,32,-0.127,23.793,17.256,0.7886,0.79,0.219,Ensemble_MASEweighted,2019,4
91-180,62,0.202,78.218,48.596,0.6391,0.6397,0.483,Ensemble_MASEweighted,2019,4
181-270,61,0.572,23.691,16.739,0.5943,0.595,0.771,Ensemble_MASEweighted,2019,4
271-365,66,0.155,48.504,20.145,0.7618,0.7633,0.42,Ensemble_MASEweighted,2019,4
1-7,0,,,,,,,TFT,2019,4
8-30,8,-1.782,55.264,44.52,1.1642,1.1631,0.216,TFT,2019,4
31-90,32,-0.215,24.707,19.295,0.8817,0.8834,-0.144,TFT,2019,4
91-180,62,-0.024,88.61,53.176,0.6993,0.6999,0.378,TFT,2019,4
181-270,61,0.231,31.782,22.355,0.7936,0.7947,0.496,TFT,2019,4
271-365,66,-0.107,55.504,23.737,0.8976,0.8994,-0.135,TFT,2019,4
1-7,0,,,,,,,TabPFN,2019,4
8-30,8,-1.538,52.786,41.345,1.0812,1.0801,-0.027,TabPFN,2019,4
31-90,32,-0.159,24.123,19.148,0.875,0.8767,0.48,TabPFN,2019,4
91-180,62,-0.296,99.709,59.246,0.7792,0.7798,0.429,TabPFN,2019,4
181-270,61,0.302,30.277,20.575,0.7304,0.7314,0.762,TabPFN,2019,4
271-365,66,-0.051,54.085,22.377,0.8462,0.8479,0.415,TabPFN,2019,4
1-7,0,,,,,,,RF,2019,9
8-30,0,,,,,,,RF,2019,9
31-90,16,-0.908,27.743,22.691,1.3724,0.9977,0.243,RF,2019,9
91-180,81,0.287,60.328,44.271,0.7803,0.7165,0.556,RF,2019,9
181-270,49,0.031,66.251,42.886,1.1105,1.0911,0.361,RF,2019,9
271-365,49,0.101,108.359,55.68,0.7858,0.7413,0.626,RF,2019,9
1-7,0,,,,,,,XGB,2019,9
8-30,0,,,,,,,XGB,2019,9
31-90,16,-0.836,27.213,21.111,1.2769,0.9283,0.336,XGB,2019,9
91-180,81,0.305,59.536,42.313,0.7458,0.6848,0.57,XGB,2019,9
181-270,49,0.017,66.74,45.156,1.1693,1.1489,0.388,XGB,2019,9
271-365,49,0.152,105.289,54.091,0.7633,0.7201,0.633,XGB,2019,9
1-7,0,,,,,,,LightGBM,2019,9
8-30,0,,,,,,,LightGBM,2019,9
31-90,16,-1.967,34.59,25.196,1.5239,1.1079,0.351,LightGBM,2019,9
91-180,81,0.289,60.21,42.791,0.7542,0.6925,0.551,LightGBM,2019,9
181-270,49,0.071,64.888,43.142,1.1171,1.0976,0.406,LightGBM,2019,9
271-365,49,0.105,108.169,56.35,0.7952,0.7502,0.601,LightGBM,2019,9
1-7,0,,,,,,,SARIMAX,2019,9
8-30,0,,,,,,,SARIMAX,2019,9
31-90,16,-0.106,21.119,15.255,0.9226,0.6707,0.064,SARIMAX,2019,9
91-180,81,0.327,58.583,39.938,0.704,0.6463,0.576,SARIMAX,2019,9
181-270,49,0.143,62.315,37.446,0.9697,0.9527,0.385,SARIMAX,2019,9
