bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
31-90,60,-1.028,31.467,21.353,0.614,0.8464,-0.493,gapfilled,TabPFN,BASE+bodyweight,2018,2
91-180,90,-0.169,9.694,7.236,0.1456,0.9187,-0.285,gapfilled,TabPFN,BASE+bodyweight,2018,2
181-270,90,-0.06,4.96,3.573,0.069,0.7344,-0.132,gapfilled,TabPFN,BASE+bodyweight,2018,2
271-365,95,-0.777,13.979,8.61,0.1905,0.8425,-0.46,gapfilled,TabPFN,BASE+bodyweight,2018,2
1-7,6,0.646,5.835,5.333,0.1451,0.2935,0.928,observed,TabICLv2,BASE+bodyweight,2018,2
8-30,21,-0.222,11.585,7.841,0.1683,0.8421,0.396,observed,TabICLv2,BASE+bodyweight,2018,2
31-90,32,-0.074,13.326,8.992,0.1977,0.7743,0.219,observed,TabICLv2,BASE+bodyweight,2018,2
91-180,43,-0.451,27.509,19.755,0.3213,1.2467,-0.198,observed,TabICLv2,BASE+bodyweight,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+bodyweight,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+bodyweight,2018,2
1-7,7,-0.82,34.397,21.552,0.7062,0.6471,-0.052,gapfilled,TabICLv2,BASE+bodyweight,2018,2
8-30,23,-0.538,9.709,6.817,0.1471,0.7731,0.347,gapfilled,TabICLv2,BASE+bodyweight,2018,2
31-90,60,-0.951,30.864,20.554,0.5911,0.8147,-0.289,gapfilled,TabICLv2,BASE+bodyweight,2018,2
91-180,90,-0.48,10.909,8.431,0.1696,1.0704,-0.258,gapfilled,TabICLv2,BASE+bodyweight,2018,2
181-270,90,-1.766,8.01,6.982,0.1348,1.4349,0.421,gapfilled,TabICLv2,BASE+bodyweight,2018,2
271-365,95,-0.438,12.574,7.469,0.1653,0.7309,-0.25,gapfilled,TabICLv2,BASE+bodyweight,2018,2
1-7,6,0.128,9.163,7.228,0.1967,0.3978,0.82,observed,TabPFN,BASE+ALL,2018,2
8-30,21,-0.364,12.237,8.366,0.1796,0.8984,0.356,observed,TabPFN,BASE+ALL,2018,2
31-90,32,-0.167,13.892,10.39,0.2284,0.8947,0.018,observed,TabPFN,BASE+ALL,2018,2
91-180,43,-0.363,26.659,18.907,0.3075,1.1932,-0.302,observed,TabPFN,BASE+ALL,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+ALL,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+ALL,2018,2
1-7,7,-0.988,35.951,24.04,0.7877,0.7218,0.031,gapfilled,TabPFN,BASE+ALL,2018,2
8-30,23,-0.763,10.397,7.539,0.1627,0.8549,0.326,gapfilled,TabPFN,BASE+ALL,2018,2
31-90,60,-1.032,31.498,21.647,0.6225,0.858,-0.471,gapfilled,TabPFN,BASE+ALL,2018,2
91-180,90,-0.188,9.773,7.43,0.1495,0.9433,-0.327,gapfilled,TabPFN,BASE+ALL,2018,2
181-270,90,-0.034,4.897,3.586,0.0692,0.737,0.129,gapfilled,TabPFN,BASE+ALL,2018,2
271-365,95,-0.717,13.74,8.105,0.1793,0.7931,-0.562,gapfilled,TabPFN,BASE+ALL,2018,2
1-7,6,0.75,4.907,4.557,0.124,0.2508,0.92,observed,TabICLv2,BASE+ALL,2018,2
8-30,21,-0.058,10.777,7.337,0.1575,0.7879,0.59,observed,TabICLv2,BASE+ALL,2018,2
31-90,32,-0.058,13.227,8.896,0.1956,0.766,0.22,observed,TabICLv2,BASE+ALL,2018,2
91-180,43,-0.504,28.007,20.437,0.3324,1.2898,-0.204,observed,TabICLv2,BASE+ALL,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+ALL,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+ALL,2018,2
1-7,7,-0.744,33.675,20.06,0.6573,0.6023,-0.025,gapfilled,TabICLv2,BASE+ALL,2018,2
8-30,23,-0.241,8.723,5.884,0.127,0.6673,0.582,gapfilled,TabICLv2,BASE+ALL,2018,2
31-90,60,-0.925,30.658,20.299,0.5837,0.8046,-0.274,gapfilled,TabICLv2,BASE+ALL,2018,2
91-180,90,-0.472,10.878,8.532,0.1717,1.0832,-0.159,gapfilled,TabICLv2,BASE+ALL,2018,2
181-270,90,-1.308,7.318,6.089,0.1176,1.2514,0.42,gapfilled,TabICLv2,BASE+ALL,2018,2
271-365,95,-0.327,12.077,6.781,0.15,0.6635,-0.366,gapfilled,TabICLv2,BASE+ALL,2018,2
1-7,1,,,,,,,observed,TabPFN,BASE,2018,4
8-30,7,-0.295,9.722,6.004,0.3958,0.8586,0.101,observed,TabPFN,BASE,2018,4
31-90,33,-0.351,18.638,11.651,0.7093,0.955,0.199,observed,TabPFN,BASE,2018,4
91-180,83,-0.226,21.241,14.759,0.8098,1.1945,-0.002,observed,TabPFN,BASE,2018,4
181-270,72,-0.199,87.306,57.593,0.9426,0.8243,0.186,observed,TabPFN,BASE,2018,4
271-365,67,-0.091,64.734,27.548,0.9049,0.8963,0.013,observed,TabPFN,BASE,2018,4
1-7,7,-1.197,31.582,23.045,1.5823,0.709,-0.44,gapfilled,TabPFN,BASE,2018,4
8-30,23,-0.649,15.154,11.554,1.0037,0.7123,0.767,gapfilled,TabPFN,BASE,2018,4
31-90,60,-1.093,27.101,19.858,1.3618,0.9249,0.069,gapfilled,TabPFN,BASE,2018,4
91-180,90,-0.318,16.282,12.711,0.8453,1.035,-0.073,gapfilled,TabPFN,BASE,2018,4
181-270,90,-0.492,67.545,47.162,0.8878,0.705,0.408,gapfilled,TabPFN,BASE,2018,4
271-365,95,-0.094,41.03,26.558,0.9887,0.7953,0.651,gapfilled,TabPFN,BASE,2018,4
1-7,1,,,,,,,observed,TabICLv2,BASE,2018,4
8-30,7,-0.236,9.5,5.717,0.3769,0.8175,-0.163,observed,TabICLv2,BASE,2018,4
31-90,33,-0.285,18.175,11.402,0.6942,0.9346,0.046,observed,TabICLv2,BASE,2018,4
91-180,83,-3.073,38.711,30.979,1.6999,2.5073,-0.018,observed,TabICLv2,BASE,2018,4
181-270,72,-0.198,87.255,58.359,0.9552,0.8353,0.043,observed,TabICLv2,BASE,2018,4
271-365,67,-0.085,64.566,27.957,0.9184,0.9096,-0.111,observed,TabICLv2,BASE,2018,4
1-7,7,-1.248,31.946,23.005,1.5796,0.7078,-0.402,gapfilled,TabICLv2,BASE,2018,4
8-30,23,-0.735,15.546,11.841,1.0286,0.73,0.739,gapfilled,TabICLv2,BASE,2018,4
31-90,60,-0.937,26.074,18.066,1.2389,0.8415,-0.144,gapfilled,TabICLv2,BASE,2018,4
91-180,90,-4.96,34.626,26.911,1.7895,2.1913,-0.088,gapfilled,TabICLv2,BASE,2018,4
181-270,90,-0.465,66.941,46.957,0.884,0.7019,0.234,gapfilled,TabICLv2,BASE,2018,4
271-365,95,-0.031,39.821,25.441,0.9471,0.7618,0.564,gapfilled,TabICLv2,BASE,2018,4
1-7,1,,,,,,,observed,TabPFN,BASE+species,2018,4
8-30,7,-0.344,9.906,6.126,0.4038,0.876,-0.002,observed,TabPFN,BASE+species,2018,4
31-90,33,-0.338,18.546,11.56,0.7038,0.9475,0.481,observed,TabPFN,BASE+species,2018,4
91-180,83,-0.035,19.517,11.925,0.6544,0.9652,0.023,observed,TabPFN,BASE+species,2018,4
181-270,72,-0.155,85.666,56.158,0.9192,0.8038,0.259,observed,TabPFN,BASE+species,2018,4
