bin,n,R2,MAE,MASE,model,anchor_year
271-365,66,0.16,20.749,0.7846,Ensemble_tuned_trees,2019
1-7,4,-5.555,17.763,1.5782,RF_tuned,2020
8-30,21,-1.14,18.513,1.4648,RF_tuned,2020
31-90,37,-0.094,31.552,1.1942,RF_tuned,2020
91-180,42,-0.025,17.231,1.0194,RF_tuned,2020
181-270,79,0.098,50.178,0.9842,RF_tuned,2020
271-365,80,0.207,36.55,0.9321,RF_tuned,2020
1-7,4,-6.526,19.196,1.7056,XGB_tuned,2020
8-30,21,-0.452,13.448,1.064,XGB_tuned,2020
31-90,37,-0.116,30.891,1.1692,XGB_tuned,2020
91-180,42,0.034,16.109,0.953,XGB_tuned,2020
181-270,79,0.098,47.939,0.9403,XGB_tuned,2020
271-365,80,0.142,39.899,1.0175,XGB_tuned,2020
1-7,4,-4.355,15.44,1.3719,LightGBM_tuned,2020
8-30,21,-0.371,13.3,1.0523,LightGBM_tuned,2020
31-90,37,-0.138,31.933,1.2086,LightGBM_tuned,2020
91-180,42,0.088,15.783,0.9337,LightGBM_tuned,2020
181-270,79,0.105,49.07,0.9624,LightGBM_tuned,2020
271-365,80,0.151,38.085,0.9712,LightGBM_tuned,2020
1-7,4,-1.81,9.817,0.8723,SARIMAX_widened,2020
8-30,21,0.233,9.833,0.778,SARIMAX_widened,2020
31-90,37,-0.03,26.398,0.9991,SARIMAX_widened,2020
91-180,42,-0.054,18.373,1.0869,SARIMAX_widened,2020
181-270,79,0.087,52.436,1.0285,SARIMAX_widened,2020
271-365,80,0.135,41.228,1.0514,SARIMAX_widened,2020
1-7,4,-5.371,17.466,1.5519,Ensemble_tuned_trees,2020
8-30,21,-0.598,14.866,1.1762,Ensemble_tuned_trees,2020
31-90,37,-0.111,31.459,1.1906,Ensemble_tuned_trees,2020
91-180,42,0.055,16.176,0.9569,Ensemble_tuned_trees,2020
181-270,79,0.106,48.845,0.958,Ensemble_tuned_trees,2020
271-365,80,0.169,37.941,0.9676,Ensemble_tuned_trees,2020
1-7,3,-3.293,3.978,1.6027,RF_tuned,2021
8-30,19,-0.639,17.393,1.3686,RF_tuned,2021
31-90,50,-0.23,18.081,1.3924,RF_tuned,2021
91-180,90,0.205,52.959,0.8161,RF_tuned,2021
181-270,88,0.252,67.645,0.9975,RF_tuned,2021
271-365,91,-0.579,33.104,1.5891,RF_tuned,2021
1-7,3,-1.933,3.707,1.4935,XGB_tuned,2021
8-30,19,-0.147,14.837,1.1674,XGB_tuned,2021
31-90,50,-0.108,15.816,1.218,XGB_tuned,2021
91-180,90,0.125,57.887,0.8921,XGB_tuned,2021
181-270,88,0.341,63.298,0.9334,XGB_tuned,2021
271-365,91,-0.523,31.609,1.5173,XGB_tuned,2021
1-7,3,-5.857,5.514,2.2213,LightGBM_tuned,2021
8-30,19,-0.377,15.57,1.2251,LightGBM_tuned,2021
31-90,50,-0.082,14.978,1.1535,LightGBM_tuned,2021
91-180,90,0.199,51.211,0.7892,LightGBM_tuned,2021
181-270,88,0.344,63.305,0.9335,LightGBM_tuned,2021
271-365,91,-0.677,33.602,1.613,LightGBM_tuned,2021
1-7,3,-7.615,6.221,2.5062,SARIMAX_widened,2021
8-30,19,-0.012,12.97,1.0206,SARIMAX_widened,2021
31-90,50,0.03,13.487,1.0386,SARIMAX_widened,2021
91-180,90,0.118,58.216,0.8971,SARIMAX_widened,2021
181-270,88,0.214,65.07,0.9596,SARIMAX_widened,2021
271-365,91,-0.34,29.402,1.4114,SARIMAX_widened,2021
1-7,3,-3.527,4.4,1.7725,Ensemble_tuned_trees,2021
8-30,19,-0.359,15.783,1.2419,Ensemble_tuned_trees,2021
31-90,50,-0.116,16.193,1.247,Ensemble_tuned_trees,2021
91-180,90,0.181,53.814,0.8293,Ensemble_tuned_trees,2021
181-270,88,0.321,64.621,0.953,Ensemble_tuned_trees,2021
271-365,91,-0.557,32.598,1.5648,Ensemble_tuned_trees,2021
1-7,0,,,,RF_tuned,2022
8-30,0,,,,RF_tuned,2022
31-90,1,,,,RF_tuned,2022
91-180,75,0.009,26.654,1.2292,RF_tuned,2022
181-270,74,0.104,39.26,1.1034,RF_tuned,2022
271-365,74,0.159,22.649,1.0016,RF_tuned,2022
1-7,0,,,,XGB_tuned,2022
8-30,0,,,,XGB_tuned,2022
31-90,1,,,,XGB_tuned,2022
91-180,75,0.148,22.88,1.0551,XGB_tuned,2022
181-270,74,0.087,39.778,1.1179,XGB_tuned,2022
271-365,74,0.172,22.088,0.9768,XGB_tuned,2022
1-7,0,,,,LightGBM_tuned,2022
8-30,0,,,,LightGBM_tuned,2022
31-90,1,,,,LightGBM_tuned,2022
91-180,75,0.155,22.983,1.0599,LightGBM_tuned,2022
181-270,74,0.055,41.297,1.1606,LightGBM_tuned,2022
271-365,74,0.232,20.804,0.92,LightGBM_tuned,2022
1-7,0,,,,SARIMAX_widened,2022
8-30,0,,,,SARIMAX_widened,2022
31-90,1,,,,SARIMAX_widened,2022
91-180,75,0.235,22.491,1.0372,SARIMAX_widened,2022
181-270,74,0.034,41.129,1.1559,SARIMAX_widened,2022
271-365,74,-0.056,24.989,1.1051,SARIMAX_widened,2022
1-7,0,,,,Ensemble_tuned_trees,2022
8-30,0,,,,Ensemble_tuned_trees,2022
31-90,1,,,,Ensemble_tuned_trees,2022
91-180,75,0.115,24.104,1.1116,Ensemble_tuned_trees,2022
181-270,74,0.087,40.043,1.1254,Ensemble_tuned_trees,2022
271-365,74,0.196,21.79,0.9636,Ensemble_tuned_trees,2022
