bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
271-365,95,0.198,35.135,24.157,0.8993,0.7234,0.495,Ensemble_MASEweighted,2018,4,A_removal,0.7052631578947368
1-7,7,-0.01,21.416,17.89,1.2283,0.5504,0.061,RF,2018,4,B_resample,0.14285714285714285
8-30,23,0.387,9.239,7.626,0.6624,0.4701,0.81,RF,2018,4,B_resample,0.30434782608695654
31-90,60,0.002,18.717,12.786,0.8768,0.5955,0.283,RF,2018,4,B_resample,0.55
91-180,90,-0.4,16.781,12.745,0.8475,1.0377,0.443,RF,2018,4,B_resample,0.9222222222222223
181-270,90,-0.601,69.965,53.383,1.0049,0.798,0.362,RF,2018,4,B_resample,0.8
271-365,95,0.12,36.804,24.349,0.9064,0.7291,0.425,RF,2018,4,B_resample,0.7052631578947368
1-7,7,-0.19,23.241,19.685,1.3516,0.6056,-0.187,XGB,2018,4,B_resample,0.14285714285714285
8-30,23,0.491,8.419,6.513,0.5658,0.4015,0.776,XGB,2018,4,B_resample,0.30434782608695654
31-90,60,-0.225,20.733,13.688,0.9387,0.6375,0.246,XGB,2018,4,B_resample,0.55
91-180,90,-0.202,15.548,11.508,0.7653,0.9371,0.466,XGB,2018,4,B_resample,0.9222222222222223
181-270,90,-0.268,62.277,46.659,0.8784,0.6975,0.346,XGB,2018,4,B_resample,0.8
271-365,95,0.121,36.777,23.297,0.8673,0.6976,0.444,XGB,2018,4,B_resample,0.7052631578947368
1-7,7,-0.028,21.608,15.3,1.0505,0.4707,0.171,LightGBM,2018,4,B_resample,0.14285714285714285
8-30,23,0.413,9.043,7.429,0.6453,0.4579,0.768,LightGBM,2018,4,B_resample,0.30434782608695654
31-90,60,-0.223,20.718,13.709,0.9402,0.6385,0.184,LightGBM,2018,4,B_resample,0.55
91-180,90,-0.391,16.729,12.188,0.8104,0.9924,0.407,LightGBM,2018,4,B_resample,0.9222222222222223
181-270,90,-0.781,73.802,56.769,1.0687,0.8486,0.373,LightGBM,2018,4,B_resample,0.8
271-365,95,0.129,36.617,23.452,0.873,0.7023,0.561,LightGBM,2018,4,B_resample,0.7052631578947368
1-7,7,-0.173,23.076,21.054,1.4456,0.6477,0.199,SARIMAX,2018,4,B_resample,0.14285714285714285
8-30,23,-0.985,16.627,14.567,1.2654,0.898,0.787,SARIMAX,2018,4,B_resample,0.30434782608695654
31-90,60,-0.162,20.191,14.721,1.0096,0.6857,-0.608,SARIMAX,2018,4,B_resample,0.55
91-180,90,-0.812,19.094,16.48,1.0959,1.3419,0.432,SARIMAX,2018,4,B_resample,0.9222222222222223
181-270,90,0.2,49.455,37.542,0.7067,0.5612,0.491,SARIMAX,2018,4,B_resample,0.8
271-365,95,0.261,33.73,25.771,0.9594,0.7717,0.585,SARIMAX,2018,4,B_resample,0.7052631578947368
1-7,7,-0.026,21.581,18.482,1.269,0.5686,-0.042,Ensemble_unweighted,2018,4,B_resample,0.14285714285714285
8-30,23,0.255,10.189,8.394,0.7291,0.5174,0.79,Ensemble_unweighted,2018,4,B_resample,0.30434782608695654
31-90,60,-0.129,19.901,13.388,0.9181,0.6236,0.139,Ensemble_unweighted,2018,4,B_resample,0.55
