track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,6,2,LSTM,168.69,47.285,-0.015,-24.282,498,0.053,-0.009,1.1445,0.886,1.4116,2.9587,28
A,12,2,LSTM,168.606,48.842,-0.016,-22.786,499,0.159,-0.009,1.1845,0.8297,1.4295,3.173,29
A,24,2,LSTM,168.622,48.805,-0.016,-22.141,499,0.254,-0.008,1.1838,0.8222,1.4171,3.1671,30
A,48,2,LSTM,168.735,48.743,-0.015,-22.341,498,0.283,-0.007,1.1822,0.8259,1.4166,3.2068,30
B,1,4,LSTM,70.806,44.517,-0.06,13.584,566,-0.376,-0.006,1.1655,1.4684,1.1799,3.7972,29
B,3,4,LSTM,75.506,47.277,-0.202,17.503,564,-0.159,-0.071,1.2343,1.2475,1.2214,4.0033,29
B,7,4,LSTM,74.259,46.611,-0.156,14.944,560,0.043,-0.05,1.2109,1.0271,1.2345,3.9866,29
B,14,4,LSTM,73.579,47.625,-0.123,16.628,554,0.245,-0.035,1.23,0.8588,1.2301,4.3418,29
B,1,9,LSTM,77.678,45.091,-0.399,14.63,457,-0.349,-0.235,1.0993,1.401,1.1894,2.9263,25
B,3,9,LSTM,85.23,46.271,-0.685,2.979,457,-0.168,-0.356,1.1281,1.1503,1.2077,2.8943,25
B,7,9,LSTM,78.101,46.152,-0.405,8.101,453,0.098,-0.238,1.1206,0.9702,1.2257,3.0493,25
B,14,9,LSTM,83.116,49.62,-0.576,9.114,447,0.027,-0.309,1.1919,1.0076,1.2457,3.4872,25
B,1,2,LSTM,45.749,26.294,0.009,-0.11,246,0.046,0.055,0.8988,0.9891,1.0618,2.3031,15
B,3,2,LSTM,48.714,28.6,-0.115,-7.397,244,0.058,-0.004,0.9726,1.0228,1.18,2.1612,15
B,7,2,LSTM,43.013,25.608,-0.032,-5.837,240,0.205,0.055,0.91,0.8184,1.1226,1.9988,15
B,14,2,LSTM,41.605,23.658,0.02,-5.286,233,0.307,0.091,0.8747,0.6569,1.1027,1.8683,15
A,1,4,LSTM_VSN,155.232,77.539,-0.282,29.297,1160,-0.102,-0.112,1.6309,1.5056,1.4833,6.6524,81
A,6,4,LSTM_VSN,124.668,60.76,-0.129,-3.478,1166,0.164,-0.046,1.2712,0.9315,1.4638,4.1005,68
A,12,4,LSTM_VSN,125.811,62.234,-0.149,-1.775,1165,0.012,-0.055,1.3023,1.0003,1.4859,4.0286,68
A,24,4,LSTM_VSN,135.477,65.349,-0.333,-1.576,1165,0.053,-0.136,1.3675,1.0156,1.4907,4.1335,68
A,48,4,LSTM_VSN,136.097,65.67,-0.343,-1.765,1163,0.069,-0.141,1.3732,0.9536,1.4898,4.2012,68
A,1,9,LSTM_VSN,154.604,68.43,-0.048,1.012,984,-0.024,-0.034,1.2216,1.2078,1.3603,3.5117,54
A,6,9,LSTM_VSN,151.872,67.353,-0.205,-7.965,980,0.12,-0.111,1.1853,0.9137,1.4426,4.2851,55
A,12,9,LSTM_VSN,142.773,64.321,-0.065,-12.943,980,0.187,-0.044,1.132,0.7979,1.4477,3.8475,55
A,24,9,LSTM_VSN,142.253,65.245,-0.057,-12.208,980,0.177,-0.04,1.1482,0.8909,1.4526,4.1796,55
A,48,9,LSTM_VSN,143.774,65.664,-0.08,-11.911,980,0.163,-0.051,1.1556,0.8606,1.4501,4.2253,55
A,1,2,LSTM_VSN,91.282,47.267,-0.181,-12.68,485,0.393,-0.137,1.2715,1.3646,1.493,3.9528,31
A,6,2,LSTM_VSN,169.701,46.428,-0.027,-8.284,498,0.047,-0.015,1.1237,0.8699,1.2864,3.6737,28
A,12,2,LSTM_VSN,172.626,50.842,-0.065,-5.339,499,0.139,-0.033,1.233,0.8637,1.3135,4.2251,29
A,24,2,LSTM_VSN,177.925,55.042,-0.131,-1.967,499,0.213,-0.063,1.3351,0.9273,1.3489,5.0087,30
A,48,2,LSTM_VSN,177.124,54.552,-0.119,-2.689,498,0.247,-0.057,1.3231,0.9244,1.3555,4.8883,30
B,1,4,LSTM_VSN,75.884,45.619,-0.217,9.914,566,-0.475,-0.078,1.1944,1.5047,1.214,3.5461,29
B,3,4,LSTM_VSN,79.292,53.678,-0.325,23.52,564,-0.217,-0.125,1.4015,1.4164,1.2478,4.7083,29
B,7,4,LSTM_VSN,83.11,56.147,-0.448,26.971,560,-0.071,-0.175,1.4587,1.2373,1.2712,5.1715,29
B,14,4,LSTM_VSN,77.483,51.825,-0.246,20.021,554,0.205,-0.09,1.3385,0.9345,1.2718,4.6005,29
B,1,9,LSTM_VSN,62.575,38.832,0.092,-0.555,457,-0.087,0.005,0.9467,1.2065,1.1832,2.6073,25
B,3,9,LSTM_VSN,64.595,38.582,0.032,-2.775,457,0.115,-0.027,0.9407,0.9592,1.1827,2.615,25
B,7,9,LSTM_VSN,73.607,42.686,-0.248,2.571,453,0.15,-0.166,1.0365,0.8973,1.2072,2.8954,25
B,14,9,LSTM_VSN,66.111,40.358,0.003,0.061,447,0.226,-0.041,0.9694,0.8195,1.2014,2.7755,25
B,1,2,LSTM_VSN,45.218,25.406,0.032,-3.192,246,0.057,0.066,0.8685,0.9557,1.0819,2.1258,15
B,3,2,LSTM_VSN,47.442,28.176,-0.058,-3.854,244,0.083,0.022,0.9582,1.0076,1.1195,2.5182,15
B,7,2,LSTM_VSN,42.919,26.739,-0.027,-2.385,240,0.207,0.057,0.9501,0.8546,1.1333,2.4737,15
B,14,2,LSTM_VSN,41.765,25.365,0.012,-2.011,233,0.305,0.087,0.9378,0.7043,1.1307,2.3927,15
