bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
181-270,88,0.372,62.513,0.9219,LGB,,,2021,,0.05,,7.0,20.0
271-365,91,-0.446,31.611,1.5174,LGB,,,2021,,0.05,,7.0,20.0
1-7,3,-5.857,5.514,2.2213,LGB,,,2021,,0.02,,7.0,50.0
8-30,19,-0.377,15.57,1.2251,LGB,,,2021,,0.02,,7.0,50.0
31-90,50,-0.082,14.978,1.1535,LGB,,,2021,,0.02,,7.0,50.0
91-180,90,0.199,51.211,0.7892,LGB,,,2021,,0.02,,7.0,50.0
181-270,88,0.344,63.305,0.9335,LGB,,,2021,,0.02,,7.0,50.0
271-365,91,-0.677,33.602,1.613,LGB,,,2021,,0.02,,7.0,50.0
1-7,3,-14.313,7.591,3.0583,LGB,,,2021,,0.05,,7.0,50.0
8-30,19,-0.961,19.553,1.5385,LGB,,,2021,,0.05,,7.0,50.0
31-90,50,-0.481,19.928,1.5347,LGB,,,2021,,0.05,,7.0,50.0
91-180,90,0.214,50.744,0.782,LGB,,,2021,,0.05,,7.0,50.0
181-270,88,0.333,64.234,0.9472,LGB,,,2021,,0.05,,7.0,50.0
271-365,91,-0.573,33.011,1.5846,LGB,,,2021,,0.05,,7.0,50.0
1-7,3,-1.207,3.255,1.3112,LGB,,,2021,,0.02,,15.0,10.0
8-30,19,-0.518,16.754,1.3183,LGB,,,2021,,0.02,,15.0,10.0
31-90,50,-0.047,14.914,1.1485,LGB,,,2021,,0.02,,15.0,10.0
91-180,90,0.247,52.039,0.8019,LGB,,,2021,,0.02,,15.0,10.0
181-270,88,0.314,64.993,0.9584,LGB,,,2021,,0.02,,15.0,10.0
271-365,91,-0.792,35.58,1.7079,LGB,,,2021,,0.02,,15.0,10.0
1-7,3,-5.194,5.737,2.3112,LGB,,,2021,,0.05,,15.0,10.0
8-30,19,-0.817,18.789,1.4783,LGB,,,2021,,0.05,,15.0,10.0
31-90,50,-0.01,15.093,1.1623,LGB,,,2021,,0.05,,15.0,10.0
91-180,90,0.286,50.345,0.7758,LGB,,,2021,,0.05,,15.0,10.0
181-270,88,0.343,63.255,0.9328,LGB,,,2021,,0.05,,15.0,10.0
271-365,91,-0.873,34.662,1.6639,LGB,,,2021,,0.05,,15.0,10.0
1-7,3,-1.624,3.61,1.4545,LGB,,,2021,,0.02,,15.0,20.0
8-30,19,-0.576,17.306,1.3617,LGB,,,2021,,0.02,,15.0,20.0
31-90,50,-0.137,16.403,1.2632,LGB,,,2021,,0.02,,15.0,20.0
91-180,90,0.232,51.244,0.7897,LGB,,,2021,,0.02,,15.0,20.0
181-270,88,0.324,64.948,0.9578,LGB,,,2021,,0.02,,15.0,20.0
271-365,91,-0.708,35.477,1.703,LGB,,,2021,,0.02,,15.0,20.0
1-7,3,-25.301,10.741,4.3271,LGB,,,2021,,0.05,,15.0,20.0
8-30,19,-0.92,19.371,1.5242,LGB,,,2021,,0.05,,15.0,20.0
31-90,50,-0.07,16.165,1.2449,LGB,,,2021,,0.05,,15.0,20.0
91-180,90,0.292,48.725,0.7509,LGB,,,2021,,0.05,,15.0,20.0
181-270,88,0.094,74.46,1.098,LGB,,,2021,,0.05,,15.0,20.0
271-365,91,-1.463,39.376,1.8902,LGB,,,2021,,0.05,,15.0,20.0
1-7,3,-6.431,5.25,2.1151,LGB,,,2021,,0.02,,15.0,50.0
8-30,19,-0.491,16.447,1.2941,LGB,,,2021,,0.02,,15.0,50.0
31-90,50,-0.18,16.755,1.2903,LGB,,,2021,,0.02,,15.0,50.0
91-180,90,0.272,48.749,0.7512,LGB,,,2021,,0.02,,15.0,50.0
181-270,88,0.334,64.327,0.9486,LGB,,,2021,,0.02,,15.0,50.0
271-365,91,-0.528,32.557,1.5628,LGB,,,2021,,0.02,,15.0,50.0
1-7,3,-19.826,8.667,3.4916,LGB,,,2021,,0.05,,15.0,50.0
8-30,19,-0.955,19.306,1.5191,LGB,,,2021,,0.05,,15.0,50.0
31-90,50,-0.356,18.627,1.4344,LGB,,,2021,,0.05,,15.0,50.0
91-180,90,0.226,48.873,0.7531,LGB,,,2021,,0.05,,15.0,50.0
181-270,88,0.293,65.776,0.97,LGB,,,2021,,0.05,,15.0,50.0
271-365,91,-0.443,30.912,1.4839,LGB,,,2021,,0.05,,15.0,50.0
