bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
271-365,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
1-7,6,-2.701,18.879,18.566,0.5053,1.0217,0.969,RF,BASE+species,2018,2
8-30,21,-0.293,11.918,11.396,0.2447,1.2238,-0.027,RF,BASE+species,2018,2
31-90,32,-1.301,19.507,16.297,0.3583,1.4034,-0.198,RF,BASE+species,2018,2
91-180,43,-0.735,30.087,23.046,0.3749,1.4544,0.2,RF,BASE+species,2018,2
181-270,0,,,,,,,RF,BASE+species,2018,2
271-365,0,,,,,,,RF,BASE+species,2018,2
1-7,6,-2.929,19.453,19.012,0.5174,1.0462,0.946,XGB,BASE+species,2018,2
8-30,21,0.07,10.106,9.387,0.2015,1.0081,0.514,XGB,BASE+species,2018,2
31-90,32,-0.623,16.385,12.635,0.2778,1.0881,-0.141,XGB,BASE+species,2018,2
91-180,43,-0.635,29.206,22.021,0.3582,1.3897,0.185,XGB,BASE+species,2018,2
181-270,0,,,,,,,XGB,BASE+species,2018,2
271-365,0,,,,,,,XGB,BASE+species,2018,2
1-7,6,-2.679,18.822,18.282,0.4975,1.0061,0.893,LightGBM,BASE+species,2018,2
8-30,21,0.02,10.375,9.676,0.2077,1.0391,0.47,LightGBM,BASE+species,2018,2
31-90,32,-0.727,16.898,13.147,0.2891,1.1321,-0.223,LightGBM,BASE+species,2018,2
91-180,43,-0.637,29.222,22.199,0.3611,1.401,0.229,LightGBM,BASE+species,2018,2
181-270,0,,,,,,,LightGBM,BASE+species,2018,2
271-365,0,,,,,,,LightGBM,BASE+species,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,SARIMAX,BASE+species,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,SARIMAX,BASE+species,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,SARIMAX,BASE+species,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,SARIMAX,BASE+species,2018,2
181-270,0,,,,,,,SARIMAX,BASE+species,2018,2
271-365,0,,,,,,,SARIMAX,BASE+species,2018,2
1-7,6,-2.125,17.349,17.184,0.4676,0.9456,0.971,Ensemble_unweighted,BASE+species,2018,2
8-30,21,-0.428,12.522,11.69,0.251,1.2554,0.451,Ensemble_unweighted,BASE+species,2018,2
31-90,32,-1.143,18.826,16.124,0.3545,1.3885,-0.14,Ensemble_unweighted,BASE+species,2018,2
91-180,43,-1.175,33.682,27.012,0.4394,1.7047,0.143,Ensemble_unweighted,BASE+species,2018,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+species,2018,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+species,2018,2
1-7,6,-2.146,17.406,17.237,0.4691,0.9485,0.97,Ensemble_MASEweighted,BASE+species,2018,2
8-30,21,-0.407,12.43,11.619,0.2494,1.2478,0.453,Ensemble_MASEweighted,BASE+species,2018,2
31-90,32,-1.121,18.727,16.001,0.3518,1.3779,-0.142,Ensemble_MASEweighted,BASE+species,2018,2
91-180,43,-1.154,33.515,26.822,0.4363,1.6927,0.147,Ensemble_MASEweighted,BASE+species,2018,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,2
1-7,1,,,,,,,RF,BASE+species,2018,4
8-30,7,-0.757,11.324,10.904,0.7188,1.5593,0.618,RF,BASE+species,2018,4
31-90,33,0.013,15.932,14.104,0.8587,1.1561,0.516,RF,BASE+species,2018,4
91-180,83,-0.587,24.16,18.043,0.99,1.4603,0.244,RF,BASE+species,2018,4
181-270,72,0.133,74.222,55.702,0.9117,0.7973,0.367,RF,BASE+species,2018,4
271-365,67,-0.028,62.85,35.323,1.1603,1.1493,0.067,RF,BASE+species,2018,4
1-7,1,,,,,,,XGB,BASE+species,2018,4
8-30,7,-0.076,8.862,7.726,0.5093,1.1048,0.457,XGB,BASE+species,2018,4
31-90,33,0.008,15.969,12.43,0.7568,1.0188,0.268,XGB,BASE+species,2018,4
91-180,83,-0.316,22.003,15.483,0.8496,1.2532,0.203,XGB,BASE+species,2018,4
181-270,72,0.093,75.937,57.009,0.9331,0.816,0.317,XGB,BASE+species,2018,4
271-365,67,0.064,59.977,30.839,1.013,1.0034,0.269,XGB,BASE+species,2018,4
1-7,1,,,,,,,LightGBM,BASE+species,2018,4
8-30,7,-0.499,10.46,9.641,0.6356,1.3787,0.633,LightGBM,BASE+species,2018,4
31-90,33,0.053,15.602,11.887,0.7237,0.9744,0.259,LightGBM,BASE+species,2018,4
91-180,83,-0.38,22.532,16.065,0.8815,1.3002,0.158,LightGBM,BASE+species,2018,4
181-270,72,0.132,74.253,55.369,0.9062,0.7925,0.369,LightGBM,BASE+species,2018,4
