timestamp,TabPFN
2022-03-31,15.005731
2022-04-01,10.659347
2022-04-02,8.827293
2022-04-03,10.159325
2022-04-04,10.71815
2022-04-05,10.681947
2022-04-06,10.041628
2022-04-07,8.923043
2022-04-08,9.59443
2022-04-09,8.3640995
2022-04-10,8.534173
2022-04-11,8.638181
2022-04-12,38.187202
2022-04-13,38.470394
2022-04-14,43.089703
2022-04-15,53.695618
2022-04-16,41.970013
2022-04-17,45.922417
2022-04-18,43.075985
2022-04-19,49.50707
2022-04-20,44.71163
2022-04-21,47.59744
2022-04-22,54.07237
2022-04-23,64.878105
2022-04-24,55.152935
2022-04-25,44.153107
2022-04-26,47.152687
2022-04-27,54.77912
2022-04-28,47.63525
2022-04-29,48.011112
2022-04-30,46.83308
2022-05-01,52.29758
2022-05-02,50.59555
2022-05-03,48.8193
2022-05-04,51.28203
2022-05-05,53.26382
2022-05-06,54.413586
2022-05-07,56.61096
2022-05-08,42.1862
2022-05-09,37.00906
2022-05-10,44.697815
2022-05-11,44.91736
2022-05-12,46.925346
2022-05-13,45.479385
2022-05-14,49.717876
2022-05-15,48.182186
2022-05-16,36.422253
2022-05-17,42.07396
2022-05-18,36.6322
2022-05-19,43.550316
2022-05-20,40.893322
2022-05-21,41.483147
2022-05-22,53.07177
2022-05-23,52.38351
2022-05-24,46.906464
2022-05-25,43.062645
2022-05-26,48.671295
2022-05-27,48.83049
2022-05-28,48.12972
2022-05-29,53.39778
2022-05-30,52.888065
2022-05-31,45.481415
2022-06-01,49.61924
2022-06-02,47.949768
2022-06-03,53.403984
2022-06-04,68.95926
2022-06-05,57.42488
2022-06-06,50.82585
2022-06-07,46.838013
2022-06-08,49.40987
2022-06-09,40.68895
2022-06-10,39.737366
2022-06-11,46.87934
2022-06-12,54.214165
2022-06-13,52.75843
2022-06-14,48.77264
2022-06-15,52.66913
2022-06-16,47.813858
2022-06-17,51.988
2022-06-18,60.276268
2022-06-19,64.50377
2022-06-20,55.0259
2022-06-21,47.734364
2022-06-22,52.46271
2022-06-23,47.433018
2022-06-24,6.9720073
2022-06-25,5.1131506
2022-06-26,4.7193246
2022-06-27,7.2971563
2022-06-28,5.7609096
2022-06-29,6.4714794
2022-06-30,6.925568
2022-07-01,6.7595587
2022-07-02,7.7536554
2022-07-03,8.374084
2022-07-04,8.580853
2022-07-05,8.829277
2022-07-06,7.8232126
2022-07-07,8.561648
2022-07-08,8.119954
2022-07-09,7.916367
2022-07-10,7.345124
2022-07-11,7.773093
2022-07-12,8.435123
2022-07-13,8.332342
2022-07-14,7.586166
2022-07-15,6.9590187
2022-07-16,7.865405
2022-07-17,8.524532
2022-07-18,8.913557
2022-07-19,8.195587
2022-07-20,7.847636
2022-07-21,8.187428
2022-07-22,7.8853784
2022-07-23,6.3974633
2022-07-24,6.1725483
2022-07-25,46.19659
2022-07-26,53.96163
2022-07-27,40.797115
2022-07-28,62.8391
2022-07-29,52.021046
2022-07-30,44.269222
2022-07-31,48.71293
2022-08-01,48.09582
2022-08-02,38.640404
2022-08-03,41.948006
2022-08-04,51.395782
2022-08-05,52.116947
2022-08-06,45.342865
2022-08-07,47.449043
2022-08-08,49.565514
2022-08-09,44.146927
2022-08-10,51.077183
2022-08-11,53.33035
2022-08-12,46.112797
2022-08-13,51.080498
2022-08-14,43.331547
2022-08-15,43.767296
2022-08-16,54.63321
2022-08-17,48.821976
2022-08-18,37.968452
2022-08-19,40.105953
2022-08-20,35.96085
2022-08-21,37.096188
2022-08-22,46.315407
2022-08-23,35.490604
2022-08-24,36.691532
2022-08-25,39.99646
2022-08-26,45.260986
2022-08-27,36.717434
2022-08-28,53.40879
2022-08-29,50.664814
2022-08-30,51.33786
2022-08-31,50.251217
2022-09-01,55.22487
2022-09-02,49.51834
2022-09-03,31.548828
2022-09-04,21.974615
2022-09-05,29.061491
2022-09-06,28.09617
2022-09-07,18.616323
2022-09-08,33.29029
2022-09-09,47.609875
2022-09-10,49.96025
2022-09-11,41.06493
2022-09-12,62.182327
2022-09-13,40.63428
2022-09-14,52.558235
2022-09-15,59.55663
2022-09-16,52.288147
2022-09-17,49.055855
2022-09-18,48.773975
2022-09-19,46.40618
2022-09-20,43.920956
2022-09-21,35.229164
2022-09-22,8.866125
2022-09-23,15.684559
2022-09-24,13.206617
2022-09-25,15.763414
2022-09-26,13.262618
2022-09-27,12.966557
2022-09-28,11.92911
2022-09-29,10.975876
2022-09-30,9.113831
2022-10-01,10.181616
2022-10-02,13.613758
2022-10-03,9.072863
2022-10-04,6.91199
2022-10-05,10.393633
2022-10-06,8.747568
2022-10-07,9.925735
2022-10-08,9.367395
2022-10-09,11.894001
2022-10-10,12.830929
2022-10-11,10.484173
2022-10-12,10.431161
2022-10-13,13.2358885
2022-10-14,12.483694
2022-10-15,10.58251
2022-10-16,10.503308
2022-10-17,10.779374
2022-10-18,22.794968
2022-10-19,16.107277
2022-10-20,42.485023
2022-10-21,21.99517
2022-10-22,48.86435
2022-10-23,55.69113
2022-10-24,37.37602
2022-10-25,40.03545
2022-10-26,20.851624
2022-10-27,13.806401
2022-10-28,27.71552
2022-10-29,14.653149
2022-10-30,12.996003
2022-10-31,22.635477
2022-11-01,20.464739
2022-11-02,17.205715
2022-11-03,20.735062
2022-11-04,35.559258
2022-11-05,18.765604
2022-11-06,17.64937
2022-11-07,15.349185
2022-11-08,15.104082
2022-11-09,18.904217
2022-11-10,14.85867
2022-11-11,15.661649
2022-11-12,20.293385
2022-11-13,14.594629
2022-11-14,18.246027
2022-11-15,14.914238
2022-11-16,17.040886
2022-11-17,18.112484
2022-11-18,19.194817
2022-11-19,12.992749
2022-11-20,15.60435
2022-11-21,10.126468
2022-11-22,10.695904
2022-11-23,9.683994
2022-11-24,9.143109
2022-11-25,8.776605
2022-11-26,8.188276
2022-11-27,8.027974
2022-11-28,9.593997
2022-11-29,10.856586
2022-11-30,14.899878
2022-12-01,13.327837
2022-12-02,14.252874
2022-12-03,18.71191
2022-12-04,19.602463
2022-12-05,20.663181
2022-12-06,16.516918
2022-12-07,10.84924
2022-12-08,11.282849
2022-12-09,9.388396
2022-12-10,9.625039
2022-12-11,10.07679
2022-12-12,21.140615
2022-12-13,18.93607
2022-12-14,22.3144
2022-12-15,13.58985
2022-12-16,12.158121
