tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2020,LightGBM,1-7,0,,,,,,,,
2,2020,LightGBM,181-270,0,,,,,,,,
2,2020,LightGBM,271-365,0,,,,,,,,
2,2020,LightGBM,31-90,0,,,,,,,,
2,2020,LightGBM,8-30,0,,,,,,,,
2,2020,LightGBM,91-180,0,,,,,,,,
2,2020,RF,1-7,0,,,,,,,,
2,2020,RF,181-270,0,,,,,,,,
2,2020,RF,271-365,0,,,,,,,,
2,2020,RF,31-90,0,,,,,,,,
2,2020,RF,8-30,0,,,,,,,,
2,2020,RF,91-180,0,,,,,,,,
2,2020,SARIMAX,1-7,0,,,,,,,,
2,2020,SARIMAX,181-270,0,,,,,,,,
2,2020,SARIMAX,271-365,0,,,,,,,,
2,2020,SARIMAX,31-90,0,,,,,,,,
2,2020,SARIMAX,8-30,0,,,,,,,,
2,2020,SARIMAX,91-180,0,,,,,,,,
2,2020,TFT,1-7,0,,,,,,,,
2,2020,TFT,181-270,0,,,,,,,,
2,2020,TFT,271-365,0,,,,,,,,
2,2020,TFT,31-90,0,,,,,,,,
2,2020,TFT,8-30,0,,,,,,,,
2,2020,TFT,91-180,0,,,,,,,,
2,2020,TabICLv2,1-7,0,,,,,,,,
2,2020,TabICLv2,181-270,0,,,,,,,,
2,2020,TabICLv2,271-365,0,,,,,,,,
2,2020,TabICLv2,31-90,0,,,,,,,,
2,2020,TabICLv2,8-30,0,,,,,,,,
2,2020,TabICLv2,91-180,0,,,,,,,,
2,2020,TabPFN,1-7,0,,,,,,,,
2,2020,TabPFN,181-270,0,,,,,,,,
2,2020,TabPFN,271-365,0,,,,,,,,
2,2020,TabPFN,31-90,0,,,,,,,,
2,2020,TabPFN,8-30,0,,,,,,,,
2,2020,TabPFN,91-180,0,,,,,,,,
2,2020,XGB,1-7,0,,,,,,,,
2,2020,XGB,181-270,0,,,,,,,,
2,2020,XGB,271-365,0,,,,,,,,
2,2020,XGB,31-90,0,,,,,,,,
2,2020,XGB,8-30,0,,,,,,,,
2,2020,XGB,91-180,0,,,,,,,,
2,2021,DLinear,1-7,0,,,,,,,,
2,2021,DLinear,181-270,0,,,,,,,,
2,2021,DLinear,271-365,0,,,,,,,,
2,2021,DLinear,31-90,0,,,,,,,,
2,2021,DLinear,8-30,0,,,,,,,,
2,2021,DLinear,91-180,0,,,,,,,,
2,2021,Ensemble_MASEweighted,1-7,0,,,,,,,,
2,2021,Ensemble_MASEweighted,181-270,0,,,,,,,,
2,2021,Ensemble_MASEweighted,271-365,0,,,,,,,,
2,2021,Ensemble_MASEweighted,31-90,0,,,,,,,,
2,2021,Ensemble_MASEweighted,8-30,0,,,,,,,,
2,2021,Ensemble_MASEweighted,91-180,0,,,,,,,,
2,2021,Ensemble_unweighted,1-7,0,,,,,,,,
2,2021,Ensemble_unweighted,181-270,0,,,,,,,,
2,2021,Ensemble_unweighted,271-365,0,,,,,,,,
2,2021,Ensemble_unweighted,31-90,0,,,,,,,,
2,2021,Ensemble_unweighted,8-30,0,,,,,,,,
2,2021,Ensemble_unweighted,91-180,0,,,,,,,,
2,2021,LSTM,1-7,0,,,,,,,,
2,2021,LSTM,181-270,0,,,,,,,,
2,2021,LSTM,271-365,0,,,,,,,,
2,2021,LSTM,31-90,0,,,,,,,,
2,2021,LSTM,8-30,0,,,,,,,,
2,2021,LSTM,91-180,0,,,,,,,,
2,2021,LightGBM,1-7,0,,,,,,,,
2,2021,LightGBM,181-270,0,,,,,,,,
2,2021,LightGBM,271-365,0,,,,,,,,
2,2021,LightGBM,31-90,0,,,,,,,,
2,2021,LightGBM,8-30,0,,,,,,,,
2,2021,LightGBM,91-180,0,,,,,,,,
2,2021,RF,1-7,0,,,,,,,,
2,2021,RF,181-270,0,,,,,,,,
2,2021,RF,271-365,0,,,,,,,,
2,2021,RF,31-90,0,,,,,,,,
2,2021,RF,8-30,0,,,,,,,,
2,2021,RF,91-180,0,,,,,,,,
2,2021,SARIMAX,1-7,0,,,,,,,,
2,2021,SARIMAX,181-270,0,,,,,,,,
2,2021,SARIMAX,271-365,0,,,,,,,,
2,2021,SARIMAX,31-90,0,,,,,,,,
