bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
271-365,67,0.029,61.065,29.173,0.9583,0.9492,0.203,XGB,2018,4,B_resample
1-7,1,,,,,,,LightGBM,2018,4,B_resample
8-30,7,-0.469,10.356,9.248,0.6096,1.3224,-0.026,LightGBM,2018,4,B_resample
31-90,33,0.054,15.597,11.606,0.7066,0.9513,0.266,LightGBM,2018,4,B_resample
91-180,83,-0.43,22.937,16.306,0.8947,1.3197,0.24,LightGBM,2018,4,B_resample
181-270,72,-0.401,94.354,74.017,1.2115,1.0594,0.175,LightGBM,2018,4,B_resample
271-365,67,0.011,61.65,28.77,0.9451,0.9361,0.142,LightGBM,2018,4,B_resample
1-7,1,,,,,,,SARIMAX,2018,4,B_resample
8-30,7,-1.87,14.475,13.743,0.9059,1.9651,0.11,SARIMAX,2018,4,B_resample
31-90,33,-0.279,18.131,15.361,0.9352,1.2591,-0.653,SARIMAX,2018,4,B_resample
91-180,83,-0.726,25.202,20.359,1.1171,1.6477,0.232,SARIMAX,2018,4,B_resample
181-270,72,0.073,76.762,61.554,1.0075,0.881,0.328,SARIMAX,2018,4,B_resample
271-365,67,-0.13,65.891,39.144,1.2858,1.2736,0.079,SARIMAX,2018,4,B_resample
1-7,1,,,,,,,Ensemble_unweighted,2018,4,B_resample
8-30,7,-0.648,10.968,10.195,0.6721,1.4579,0.281,Ensemble_unweighted,2018,4,B_resample
31-90,33,-0.012,16.134,12.835,0.7814,1.052,0.15,Ensemble_unweighted,2018,4,B_resample
91-180,83,-0.453,23.123,16.999,0.9328,1.3759,0.242,Ensemble_unweighted,2018,4,B_resample
181-270,72,-0.17,86.23,68.018,1.1133,0.9736,0.21,Ensemble_unweighted,2018,4,B_resample
271-365,67,0.007,61.778,31.115,1.0221,1.0124,0.108,Ensemble_unweighted,2018,4,B_resample
1-7,1,,,,,,,Ensemble_MASEweighted,2018,4,B_resample
8-30,7,-0.632,10.913,10.133,0.668,1.449,0.281,Ensemble_MASEweighted,2018,4,B_resample
31-90,33,-0.009,16.106,12.79,0.7787,1.0484,0.157,Ensemble_MASEweighted,2018,4,B_resample
91-180,83,-0.45,23.098,16.952,0.9302,1.3721,0.242,Ensemble_MASEweighted,2018,4,B_resample
181-270,72,-0.173,86.357,68.096,1.1145,0.9747,0.208,Ensemble_MASEweighted,2018,4,B_resample
271-365,67,0.007,61.751,31.046,1.0198,1.0101,0.11,Ensemble_MASEweighted,2018,4,B_resample
1-7,0,,,,,,,RF,2018,9,A_removal
8-30,0,,,,,,,RF,2018,9,A_removal
