track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded,precision,recall,f1,rmse_spike,rmse_nonspike,n_spike_test
B,14,9,persist,85.1,49.001,-0.683,10.887,458,0.0,-0.328,1.1959,1.0,1.2556,3.7713,25,,,,,,
B,14,9,clim,64.099,41.771,0.045,2.897,458,0.247,0.0,1.0195,0.8525,1.1425,3.3842,25,,,,,,
B,14,9,RF,53.213,30.878,0.342,-1.338,458,0.375,0.17,0.7536,0.6301,1.0768,2.1889,25,,,,,,
B,14,9,XGB,55.866,32.421,0.275,-2.045,458,0.344,0.128,0.7913,0.6617,1.0731,2.5314,25,,,,,,
B,14,2,persist,62.474,37.394,-0.853,11.909,247,0.0,-0.14,1.2834,1.0,1.1994,4.1198,16,,,,,,
B,14,2,clim,54.812,31.479,-0.426,8.375,247,0.123,0.0,1.0804,0.8418,1.0476,3.3952,16,,,,,,
B,14,2,RF,45.868,26.118,0.001,-5.891,247,0.266,0.163,0.8964,0.6984,1.0803,2.0882,16,,,,,,
B,14,2,XGB,48.106,27.877,-0.099,-7.936,247,0.23,0.122,0.9568,0.7455,1.1976,1.948,16,,,,,,
B,14,2,Hurdle-RF,45.348,27.957,0.024,1.228,247,0.274,0.173,0.9595,0.7476,1.0737,2.9159,16,,,,,,
B,14,2,Hurdle-XGB,47.165,27.998,-0.056,-3.849,247,0.245,0.14,0.9609,0.7487,1.1291,2.2571,16,,,,,,
