bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
271-365,49,-0.406,135.523,75.116,1.06,1.0,,TabPFN,2019,9,A_removal
1-7,0,,,,,,,TabICLv2,2019,9,A_removal
8-30,0,,,,,,,TabICLv2,2019,9,A_removal
31-90,16,-1.012,28.484,22.743,1.3755,1.0,0.437,TabICLv2,2019,9,A_removal
91-180,81,-0.64,91.466,61.791,1.0891,1.0,0.381,TabICLv2,2019,9,A_removal
181-270,49,-0.036,68.515,39.304,1.0178,1.0,0.006,TabICLv2,2019,9,A_removal
271-365,49,-0.406,135.523,75.116,1.06,1.0,0.247,TabICLv2,2019,9,A_removal
1-7,0,,,,,,,TabPFN,2019,9,B_resample
8-30,0,,,,,,,TabPFN,2019,9,B_resample
31-90,16,-1.012,28.484,22.743,1.3755,1.0,,TabPFN,2019,9,B_resample
91-180,81,-0.64,91.467,61.791,1.0891,1.0,,TabPFN,2019,9,B_resample
181-270,49,-0.036,68.515,39.304,1.0178,1.0,,TabPFN,2019,9,B_resample
271-365,49,-0.406,135.523,75.116,1.06,1.0,,TabPFN,2019,9,B_resample
1-7,0,,,,,,,TabICLv2,2019,9,B_resample
8-30,0,,,,,,,TabICLv2,2019,9,B_resample
31-90,16,-1.012,28.484,22.743,1.3755,1.0,0.141,TabICLv2,2019,9,B_resample
91-180,81,-0.64,91.466,61.791,1.0891,1.0,0.466,TabICLv2,2019,9,B_resample
181-270,49,-0.036,68.515,39.304,1.0178,1.0,0.093,TabICLv2,2019,9,B_resample
271-365,49,-0.406,135.523,75.116,1.06,1.0,0.221,TabICLv2,2019,9,B_resample
1-7,0,,,,,,,TabPFN,2020,2,A_removal
8-30,0,,,,,,,TabPFN,2020,2,A_removal
31-90,0,,,,,,,TabPFN,2020,2,A_removal
91-180,0,,,,,,,TabPFN,2020,2,A_removal
181-270,0,,,,,,,TabPFN,2020,2,A_removal
271-365,0,,,,,,,TabPFN,2020,2,A_removal
1-7,0,,,,,,,TabICLv2,2020,2,A_removal
8-30,0,,,,,,,TabICLv2,2020,2,A_removal
31-90,0,,,,,,,TabICLv2,2020,2,A_removal
91-180,0,,,,,,,TabICLv2,2020,2,A_removal
181-270,0,,,,,,,TabICLv2,2020,2,A_removal
271-365,0,,,,,,,TabICLv2,2020,2,A_removal
1-7,0,,,,,,,TabPFN,2020,2,B_resample
8-30,0,,,,,,,TabPFN,2020,2,B_resample
31-90,0,,,,,,,TabPFN,2020,2,B_resample
91-180,0,,,,,,,TabPFN,2020,2,B_resample
181-270,0,,,,,,,TabPFN,2020,2,B_resample
271-365,0,,,,,,,TabPFN,2020,2,B_resample
1-7,0,,,,,,,TabICLv2,2020,2,B_resample
8-30,0,,,,,,,TabICLv2,2020,2,B_resample
31-90,0,,,,,,,TabICLv2,2020,2,B_resample
91-180,0,,,,,,,TabICLv2,2020,2,B_resample
181-270,0,,,,,,,TabICLv2,2020,2,B_resample
271-365,0,,,,,,,TabICLv2,2020,2,B_resample
1-7,4,-0.177,8.18,6.21,0.5518,0.7005,-0.754,TabPFN,2020,4,A_removal
8-30,21,-0.003,14.761,8.958,0.7088,0.7808,0.007,TabPFN,2020,4,A_removal
31-90,37,-0.102,46.093,26.671,1.0094,0.9196,0.367,TabPFN,2020,4,A_removal
91-180,42,0.078,20.116,15.047,0.8902,0.7165,0.406,TabPFN,2020,4,A_removal
181-270,79,0.018,81.154,45.668,0.8957,0.7494,0.326,TabPFN,2020,4,A_removal
271-365,80,0.077,95.917,36.14,0.9216,0.8378,0.453,TabPFN,2020,4,A_removal
1-7,4,-0.051,7.729,6.185,0.5496,0.6977,0.287,TabICLv2,2020,4,A_removal
8-30,21,-0.057,15.151,8.956,0.7086,0.7806,-0.17,TabICLv2,2020,4,A_removal
31-90,37,-0.149,47.073,27.167,1.0282,0.9367,-0.256,TabICLv2,2020,4,A_removal
91-180,42,-0.042,21.383,15.986,0.9457,0.7612,0.161,TabICLv2,2020,4,A_removal
181-270,79,-0.151,87.827,49.79,0.9766,0.817,0.011,TabICLv2,2020,4,A_removal
271-365,80,0.03,98.322,36.861,0.94,0.8545,0.377,TabICLv2,2020,4,A_removal
1-7,4,-0.324,8.674,6.321,0.5617,0.7131,-0.937,TabPFN,2020,4,B_resample
8-30,21,-0.006,14.787,9.167,0.7253,0.799,-0.096,TabPFN,2020,4,B_resample
31-90,37,-0.088,45.807,26.54,1.0045,0.9151,0.272,TabPFN,2020,4,B_resample
91-180,42,0.009,20.855,15.664,0.9267,0.7459,0.394,TabPFN,2020,4,B_resample
181-270,79,-0.007,82.158,45.848,0.8992,0.7523,0.347,TabPFN,2020,4,B_resample
271-365,80,0.076,95.971,35.937,0.9165,0.8331,0.453,TabPFN,2020,4,B_resample
1-7,4,-0.022,7.619,6.124,0.5442,0.6909,0.697,TabICLv2,2020,4,B_resample
8-30,21,-0.059,15.167,9.071,0.7177,0.7906,-0.222,TabICLv2,2020,4,B_resample
31-90,37,-0.149,47.076,27.204,1.0296,0.938,-0.078,TabICLv2,2020,4,B_resample
91-180,42,-0.114,22.111,17.086,1.0108,0.8135,-0.028,TabICLv2,2020,4,B_resample
181-270,79,-0.169,88.51,50.327,0.9871,0.8258,-0.043,TabICLv2,2020,4,B_resample
271-365,80,0.059,96.832,36.537,0.9318,0.847,0.416,TabICLv2,2020,4,B_resample
1-7,4,-11.872,13.333,11.091,0.4542,3.387,-0.015,TabPFN,2020,9,A_removal
8-30,19,-0.094,158.929,61.094,0.9915,0.9375,0.209,TabPFN,2020,9,A_removal
31-90,24,-0.199,15.672,13.073,0.6272,1.0753,-0.14,TabPFN,2020,9,A_removal
91-180,57,-0.137,21.636,15.386,0.832,0.8283,0.09,TabPFN,2020,9,A_removal
181-270,64,-0.04,98.12,59.32,0.9678,0.8759,0.286,TabPFN,2020,9,A_removal
271-365,86,0.051,51.75,28.855,0.8327,0.8766,0.24,TabPFN,2020,9,A_removal
1-7,4,-30.175,20.75,19.596,0.8025,5.9842,-0.723,TabICLv2,2020,9,A_removal
8-30,19,-0.117,160.588,62.934,1.0213,0.9657,-0.192,TabICLv2,2020,9,A_removal
31-90,24,-0.701,18.669,15.635,0.7502,1.286,-0.2,TabICLv2,2020,9,A_removal
91-180,57,-0.393,23.948,18.255,0.9872,0.9828,0.062,TabICLv2,2020,9,A_removal
181-270,64,-0.155,103.404,58.962,0.962,0.8706,0.021,TabICLv2,2020,9,A_removal
271-365,86,-0.019,53.635,30.88,0.8911,0.9381,0.206,TabICLv2,2020,9,A_removal
1-7,4,-20.526,17.242,16.807,0.6883,5.1325,0.271,TabPFN,2020,9,B_resample
8-30,19,-0.068,157.029,60.862,0.9877,0.9339,0.101,TabPFN,2020,9,B_resample
31-90,24,-0.235,15.904,13.434,0.6446,1.105,0.176,TabPFN,2020,9,B_resample
91-180,57,-0.047,20.766,14.418,0.7797,0.7762,0.153,TabPFN,2020,9,B_resample
181-270,64,-0.253,107.675,62.913,1.0265,0.9289,0.186,TabPFN,2020,9,B_resample
271-365,86,-0.079,55.167,34.194,0.9867,1.0388,0.003,TabPFN,2020,9,B_resample
1-7,4,-22.139,17.876,16.459,0.674,5.0262,-0.449,TabICLv2,2020,9,B_resample
8-30,19,-0.117,160.585,62.976,1.022,0.9663,-0.256,TabICLv2,2020,9,B_resample
