bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
8-30,0,,,,,,,LSTM,2021,2
31-90,0,,,,,,,LSTM,2021,2
91-180,0,,,,,,,LSTM,2021,2
181-270,0,,,,,,,LSTM,2021,2
271-365,0,,,,,,,LSTM,2021,2
1-7,3,-109.197,25.393,22.374,9.0138,2.529,-0.207,DLinear,2021,4
8-30,19,-4.724,41.354,33.555,2.6402,2.2398,0.039,DLinear,2021,4
31-90,50,-2.837,40.171,31.008,2.3879,1.7961,0.279,DLinear,2021,4
91-180,90,0.25,86.051,61.478,0.9474,0.8424,0.545,DLinear,2021,4
181-270,88,0.446,75.135,57.813,0.8526,0.8104,0.673,DLinear,2021,4
271-365,91,-1.353,50.134,39.11,1.8774,1.7621,0.38,DLinear,2021,4
1-7,3,-15.351,9.782,8.849,3.565,1.0002,-0.943,LSTM,2021,4
8-30,19,-0.658,22.26,19.267,1.5159,1.2861,0.322,LSTM,2021,4
31-90,50,-0.141,21.908,14.215,1.0947,0.8234,0.238,LSTM,2021,4
91-180,90,-0.123,105.331,62.529,0.9636,0.8568,0.232,LSTM,2021,4
181-270,88,0.181,91.376,59.63,0.8793,0.8359,0.478,LSTM,2021,4
271-365,91,-0.642,41.876,29.484,1.4153,1.3284,0.235,LSTM,2021,4
1-7,1,,,,,,,DLinear,2021,9
8-30,12,-7.853,54.542,49.745,1.9857,3.6217,-0.13,DLinear,2021,9
31-90,35,-3.798,33.647,25.819,1.0736,2.53,0.144,DLinear,2021,9
91-180,85,0.171,92.972,58.358,0.7547,0.6341,0.442,DLinear,2021,9
181-270,47,-0.132,66.238,51.368,1.103,0.7964,0.234,DLinear,2021,9
271-365,0,,,,,,,DLinear,2021,9
1-7,1,,,,,,,LSTM,2021,9
8-30,12,-1.792,30.631,21.858,0.8725,1.5914,-0.535,LSTM,2021,9
31-90,35,-0.257,17.225,11.536,0.4797,1.1304,0.351,LSTM,2021,9
91-180,85,-0.203,111.97,68.187,0.8818,0.7409,0.195,LSTM,2021,9
181-270,47,-0.385,73.262,55.119,1.1836,0.8545,0.101,LSTM,2021,9
271-365,0,,,,,,,LSTM,2021,9
1-7,0,,,,,,,DLinear,2022,2
8-30,0,,,,,,,DLinear,2022,2
31-90,0,,,,,,,DLinear,2022,2
91-180,0,,,,,,,DLinear,2022,2
181-270,0,,,,,,,DLinear,2022,2
271-365,0,,,,,,,DLinear,2022,2
1-7,0,,,,,,,LSTM,2022,2
8-30,0,,,,,,,LSTM,2022,2
31-90,0,,,,,,,LSTM,2022,2
91-180,0,,,,,,,LSTM,2022,2
181-270,0,,,,,,,LSTM,2022,2
271-365,0,,,,,,,LSTM,2022,2
1-7,0,,,,,,,DLinear,2022,4
8-30,0,,,,,,,DLinear,2022,4
31-90,1,,,,,,,DLinear,2022,4
91-180,75,-0.799,44.63,33.15,1.5287,1.6539,0.009,DLinear,2022,4
181-270,74,-0.093,61.355,47.534,1.3359,1.3839,0.494,DLinear,2022,4
271-365,74,-1.086,47.541,38.959,1.7228,1.8419,0.403,DLinear,2022,4
1-7,0,,,,,,,LSTM,2022,4
8-30,0,,,,,,,LSTM,2022,4
31-90,1,,,,,,,LSTM,2022,4
91-180,75,-0.198,36.428,25.079,1.1565,1.2512,0.141,LSTM,2022,4
181-270,74,-0.848,79.759,56.925,1.5998,1.6573,0.448,LSTM,2022,4
271-365,74,-0.35,38.252,25.516,1.1284,1.2064,0.215,LSTM,2022,4
1-7,0,,,,,,,DLinear,2022,9
8-30,0,,,,,,,DLinear,2022,9
31-90,14,-6.287,40.545,34.671,2.7086,2.8006,0.087,DLinear,2022,9
91-180,84,-2.582,35.284,29.15,1.8973,1.9675,0.17,DLinear,2022,9
181-270,84,-0.267,54.072,46.441,1.2296,1.2451,0.579,DLinear,2022,9
271-365,89,-0.519,59.715,48.273,1.5949,1.6259,0.191,DLinear,2022,9
1-7,0,,,,,,,LSTM,2022,9
8-30,0,,,,,,,LSTM,2022,9
31-90,14,-0.405,17.803,13.9,1.0859,1.1228,-0.23,LSTM,2022,9
91-180,84,-4.514,43.778,34.536,2.2479,2.331,0.063,LSTM,2022,9
181-270,84,-1.483,75.687,56.368,1.4925,1.5112,0.477,LSTM,2022,9
271-365,89,-0.323,55.736,38.54,1.2733,1.2981,0.171,LSTM,2022,9
