date,BASE+ALL__RF,BASE+ALL__XGB,BASE+ALL__LightGBM,BASE+ALL__SARIMAX,BASE+ALL__Ensemble_unweighted,BASE+ALL__Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,config
2018-12-31,11.911985580279836,9.454137802124023,10.159809164197815,24.548666451038816,14.018649749410123,13.875034876253894,2.3515349025416667,3.102370833333333,54.91721666666666,2,2018,BASE+ALL
2019-01-01,11.849591100228386,9.121222496032715,10.066588791649954,25.32283315010752,14.090058884504645,13.936517721899637,-5.369030695966667,-2.6617875,54.91721666666666,2,2018,BASE+ALL
2019-01-02,11.909704986391262,11.300434112548828,11.228369087072275,27.63150952699085,15.517504428250803,15.368633922146888,1.6130913782857144,6.143154166666666,54.91721666666666,2,2018,BASE+ALL
2019-01-03,12.322576920078392,10.542086601257324,9.86210343271772,27.616097879616355,15.085716208417447,14.92011287740807,25.9850464875,20.74059583333333,54.91721666666666,2,2018,BASE+ALL
2019-01-04,11.761257159944975,10.542086601257324,9.86210343271772,28.234701601798044,15.100037198929515,14.932074694107765,-4.380738653249999,4.5301125,54.91721666666666,2,2018,BASE+ALL
2019-01-05,11.183445343065593,10.518479347229004,9.946918961896358,27.639308392423565,14.82203801115363,14.662889763263014,2.7963399130416664,5.033554166666667,54.91721666666666,2,2018,BASE+ALL
2019-01-06,11.383959845208397,8.844761848449707,10.232932994509763,27.104722193846943,14.391594220503702,14.223446144910472,3.1412098474545456,3.1575166666666665,54.91721666666666,2,2018,BASE+ALL
2019-01-07,13.83233941615193,10.670431137084961,11.208403842151489,23.71919731588679,14.857592927818793,14.727223832075786,4.396572144333333,6.2659125,54.91721666666666,2,2018,BASE+ALL
2019-01-08,11.805220697076953,8.946113586425781,9.827918037678632,25.113197863559467,13.923112546185209,13.768772148378245,3.134654957076924,3.106208333333333,54.91721666666666,2,2018,BASE+ALL
2019-01-09,11.598995339695033,10.71008014678955,9.986614703643989,29.11066298718044,15.351588294327254,15.178925461555515,16.851149742666667,11.953895833333334,54.91721666666666,2,2018,BASE+ALL
2019-01-10,11.755350471028878,10.145768165588379,9.863392122389396,28.819756763549247,15.146066880638974,14.969558431947453,7.1774120194375,6.562220833333334,54.91721666666666,2,2018,BASE+ALL
2019-01-11,11.052572222003539,8.946113586425781,9.839260513326463,27.82536742464843,14.415828436601053,14.241670771474777,-0.4730029913333335,1.5214875,54.91721666666666,2,2018,BASE+ALL
2019-01-12,14.780102185637363,11.187370300292969,11.80122990424749,24.44130693226523,15.552502330610764,15.418353567102784,5.846134107666667,5.821558333333333,54.91721666666666,2,2018,BASE+ALL
2019-01-13,18.714852683877087,16.279651641845703,13.895280032338954,23.472903058866063,18.09067185423195,17.99909149529733,6.104765118727273,6.952233333333333,54.91721666666666,2,2018,BASE+ALL
2019-01-14,14.399052290486514,8.808034896850586,9.827918037678632,26.583718423775974,14.904680912197929,14.721613041978735,2.132986624178572,2.909558333333333,54.91721666666666,2,2018,BASE+ALL
2019-01-15,12.912950079418067,9.630390167236328,10.810557640050455,27.84086515704724,15.298690760938022,15.12560110170313,2.2440845584,3.629925,54.91721666666666,2,2018,BASE+ALL
2019-01-16,14.347383175599132,10.286454200744629,11.89492414046064,27.6825369784777,16.052824623820527,15.885152614050329,7.618485403499999,7.1197875,54.91721666666666,2,2018,BASE+ALL
2019-01-17,13.107885361440939,9.740304946899414,10.615869100442296,28.69125930462408,15.538829678351682,15.356888171160474,7.6029276680625,8.611983333333333,54.91721666666666,2,2018,BASE+ALL
2019-01-18,16.549118940620616,12.419795989990234,12.999828599785328,29.761083325947325,17.932456714085877,17.758810081602697,47.92393224357142,28.46534583333333,54.91721666666666,2,2018,BASE+ALL
2019-01-19,14.878925003741985,11.162747383117676,10.49657110426703,31.67242453366981,17.052667006199126,16.84582154680421,24.86850198355556,17.846983333333334,54.91721666666666,2,2018,BASE+ALL
2019-01-20,13.78327223447203,10.634163856506348,9.887172509813256,31.986596987306708,16.572801397024584,16.361160385563903,17.4627153565625,13.149675,54.91721666666666,2,2018,BASE+ALL
2019-01-21,13.937447162759227,10.292105674743652,10.655555912838476,30.889012972080696,16.443530430605513,16.242392198718264,-12.724279198928574,-4.2037125,54.91721666666666,2,2018,BASE+ALL
2019-01-22,13.835544204882892,9.08746337890625,9.672916310466654,30.242579616702248,15.709625877739512,15.498683731142705,4.337085952833333,6.4629625,54.91721666666666,2,2018,BASE+ALL
