ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,Ensemble_unweighted,22.63329908351108
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,Ensemble_MASEweighted,22.608527971713677
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,RF,20.467683139721448
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,XGB,19.354927541131843
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,LightGBM,19.43378107279647
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,Ensemble_unweighted,18.988316933987722
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,Ensemble_MASEweighted,19.006175603399473
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,RF,21.560854436272678
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,XGB,21.456599052638225
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,LightGBM,21.742859262937547
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,Ensemble_unweighted,21.370644471393046
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,Ensemble_MASEweighted,21.378276241983965
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,RF,22.032614136819948
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,XGB,21.968467699338312
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,LightGBM,22.524133209873792
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,Ensemble_unweighted,22.818217332794596
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,Ensemble_MASEweighted,22.79646084022421
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,RF,20.15281039038421
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,XGB,18.838153405385473
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,LightGBM,18.984943613832286
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,Ensemble_unweighted,18.668195847975774
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,Ensemble_MASEweighted,18.680738879634657
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,RF,21.21260877913813
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,XGB,20.948995268834782
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,LightGBM,21.30663450673213
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,Ensemble_unweighted,21.047625922107194
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,Ensemble_MASEweighted,21.050281443935674
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,RF,21.69594709901848
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,XGB,21.463881142498696
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,LightGBM,22.084675889321023
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,Ensemble_unweighted,22.498039603996137
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,Ensemble_MASEweighted,22.47124890218976
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,RF,20.100603885644233
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,XGB,18.99242852354703
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,LightGBM,19.0163977764602
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,Ensemble_unweighted,18.701576541988146
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,Ensemble_MASEweighted,18.715916880756254
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,RF,21.200660555121416
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,XGB,21.106273193881936
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,LightGBM,21.326220877304664
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,SARIMAX,20.722265133723727
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,Ensemble_unweighted,21.088854940007934
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,Ensemble_MASEweighted,21.093038470329276
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,RF,21.635746643263236
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,XGB,21.633197792262248
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,LightGBM,22.117936730991524
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,Ensemble_unweighted,22.53363386291583
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,Ensemble_MASEweighted,22.508824471657334
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,RF,20.260452125229982
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,XGB,19.058465280924757
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,LightGBM,19.120423579626383
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,Ensemble_unweighted,18.784054242020563
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,Ensemble_MASEweighted,18.798681719045664
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,RF,21.395929068976216
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,XGB,21.153187234434363
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,LightGBM,21.405956116411662
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,Ensemble_unweighted,21.169334388386496
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,Ensemble_MASEweighted,21.173300061773848
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,RF,21.871340025015968
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,XGB,21.64719394265789
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,LightGBM,22.172370861896916
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,Ensemble_unweighted,22.609639778679277
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,Ensemble_MASEweighted,22.583956153917846
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,RF,20.24047916702828
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,XGB,18.96890748428972
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,LightGBM,19.10053383318881
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,Ensemble_unweighted,18.75169911670198
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,Ensemble_MASEweighted,18.765554405871193
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,RF,21.277515169002164
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,XGB,21.07900063240365
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,LightGBM,21.420563698930223
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,Ensemble_unweighted,21.124836158514942
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,Ensemble_MASEweighted,21.128914837283112
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,RF,21.73863842010407
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,XGB,21.589809963801137
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,LightGBM,22.202730082772806
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,Ensemble_unweighted,22.569708187956085
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,Ensemble_MASEweighted,22.54445421900155
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,RF,20.30650928114124
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,XGB,19.18095954738251
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,LightGBM,19.23801988218342
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,Ensemble_unweighted,18.855591173252073
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,Ensemble_MASEweighted,18.87170449657301
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,RF,21.36123051415875
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,XGB,21.281350770715164
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,LightGBM,21.561700376061022
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,Ensemble_unweighted,21.231636698664666
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,Ensemble_MASEweighted,21.23781322355674
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,RF,21.85613736757223
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,XGB,21.79037997885926
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,LightGBM,22.334945616538185
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,Ensemble_unweighted,22.682279312029
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,Ensemble_MASEweighted,22.658866551012323
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,RF,20.063046328362873
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,XGB,18.93613044529745
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,LightGBM,19.02225541873432
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,Ensemble_unweighted,18.679577043673945
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,Ensemble_MASEweighted,18.693680133733878
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,RF,21.107117893118634
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,XGB,21.02111564531718
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,LightGBM,21.327982972461694
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,SARIMAX,20.722265133723727
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,Ensemble_unweighted,21.04462041115531
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,Ensemble_MASEweighted,21.048608257979872
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,RF,21.545034102200177
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,XGB,21.54443290658193
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,LightGBM,22.11627410646413
