date,tower,anchor_year,y_true,y_true_tft,y_gapfilled,persistence,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,TFT,TabPFN,DLinear,LSTM,TabICLv2,RF_S03_A_removal,XGB_S03_A_removal,LightGBM_S03_A_removal,SARIMAX_S03_A_removal,Ensemble_unweighted_S03_A_removal,Ensemble_MASEweighted_S03_A_removal,RF_S03_B_resample,XGB_S03_B_resample,LightGBM_S03_B_resample,SARIMAX_S03_B_resample,Ensemble_unweighted_S03_B_resample,Ensemble_MASEweighted_S03_B_resample,TabPFN_S03_A_removal,TabICLv2_S03_A_removal,TFT_S03_A_removal,DLinear_S03_A_removal,LSTM_S03_A_removal,TabPFN_S03_B_resample,TabICLv2_S03_B_resample,TFT_S03_B_resample,DLinear_S03_B_resample,LSTM_S03_B_resample,Climatology,Climatology_gf,DLinear_gf,LSTM_gf,TFT_gf,TabPFN_gf,TabICLv2_gf
2022-02-13,2,2021,,,37.80518333333333,9.767054166666666,34.009993925418534,23.2677059173584,24.5968595664393,37.77444073466992,29.91225003597154,29.73127417710301,-6.393193775830241,2.9233226776123047,-37.57924365053077,2.193700824462212,4.3551874,19.75142071400812,16.067323684692383,12.734255743301253,18.92668422542464,16.869921091856597,16.80424872007972,19.324195050042807,9.203386306762695,9.553481353802692,22.394918773450467,15.118995371014666,14.94738368433843,2.5545270442962646,4.0692368,-5.019018054003936,0.1429236673002378,1.3360066565742272,4.442909717559815,6.335078,13.021174150755542,-13.16240246794223,18.63784109293056,10.463489245815452,28.71600727777777,16.197169055823906,29.99165558961704,18.86506153766527,19.12104,27.28311
2022-02-14,2,2021,,,32.7622625,9.767054166666666,23.494984821464747,15.859816551208496,18.406630664227205,20.4260913692382,19.54688085153466,19.47874009999159,-6.973743068984277,1.9274500608444207,20.88655705385645,0.7873493312490609,2.4937022,20.280183501330963,16.067323684692383,12.2977495717251,18.938342111760548,16.895899717377247,16.82459049341585,19.81914697583919,9.09465503692627,10.040561664193534,23.00970561274056,15.491017322424888,15.31313034568164,1.9082413911819456,3.6166875,-3.253583352363421,14.576316295923334,2.0083931901267533,3.4642322063446045,5.2927246,14.375206874506148,-1.430422034750336,15.580480497471854,11.730364628843189,29.589220222222217,10.850899753015256,12.664142932782852,9.933016992003104,12.842246,15.408346
2022-02-15,2,2021,,,45.62210416666667,9.767054166666666,30.66432518606728,23.67188262939453,27.85490689176908,32.5484668298008,28.684895384257924,28.591734784024027,-6.143459077242824,2.833094835281372,19.93697122671938,15.846665379845035,3.437062,20.26700022903006,16.067323684692383,12.734255743301253,18.948655404897803,17.004308765480374,16.93556185298236,19.39243060179009,9.431598663330078,10.040561664193534,23.095449439730498,15.490010092261048,15.31662724727396,3.520047664642334,4.3979425,-5.066599393871002,13.235620527825631,2.165324947578938,4.251285076141357,6.148735,12.748576091219547,-4.93080191772151,17.01863020248038,11.65566102964558,29.26279861111111,24.17335370710316,27.753510827357783,18.403240142655704,17.501097,22.222616
2022-02-16,2,2021,,,82.84893749999999,9.767054166666666,72.03227548733283,84.07826232910156,98.00902601799862,50.976852839822165,76.2741041685638,76.71771121813524,9.7307394219265,2.1475508213043213,9.567412487739604,21.688787760717787,3.0507889,28.502562280499813,17.979888916015625,17.91499644231617,18.957621048785064,20.838767171904166,20.770933005940712,21.792970932503003,9.82221794128418,11.50140869189856,22.84160570711777,16.48955081820088,16.31699301273579,2.949519157409668,4.844655,-2.339460624218645,-4.047040965586348,-2.9460404208984983,4.333618640899658,7.194972,7.431763451485494,-17.096238769263437,17.496163934267315,11.736232869524844,29.37318783333334,47.34966645169334,73.39394551166333,48.17200458802313,36.625576,67.49629
2022-02-17,2,2021,,,30.521275,9.767054166666666,36.08373669237398,40.015907287597656,38.08089317864607,25.17349500893748,34.8385080418888,34.98085066958568,-25.93425288763865,3.28297758102417,-9.079490044593513,7.360368371516415,2.7965093,23.28371755402947,17.261629104614258,16.803063727238072,18.96523638670856,19.078411693147583,19.026938552425698,19.317089864921662,10.34946632385254,11.281338703487142,21.484087691248696,15.60799564587751,15.464531405539317,2.696333646774292,4.1823034,4.683902596611233,-8.386278406414931,-8.50768868771047,4.325039863586426,6.2069674,13.848930167380331,-21.760704237135545,9.354114480913267,12.34641104465778,26.331693055555554,22.577042126406013,17.43023045780501,13.786784536515825,16.441929,21.845938
2022-02-18,2,2021,,,43.11265,9.767054166666666,57.01439009522029,68.2632827758789,50.57447377187199,39.761568062935496,53.903428676476665,54.11482259189392,-8.491982590419411,2.5294382572174072,16.94586133126745,20.456050924223742,2.0511384,24.58973003158556,18.64967536926269,19.949798882177145,18.971499162079294,20.54017586127617,20.51182894043236,20.75192851857994,10.45598316192627,11.165417418273616,21.082550029878,15.863969782164457,15.716284459716082,2.040947198867798,3.720482,1.9435602552498488,-8.43453726239386,-6.398940324112118,3.863055944442749,5.75858,9.172507108493392,-5.945528152878069,9.894843397025396,14.042527769953823,25.810187777777777,46.86995500494231,64.19385334214167,26.512783626461896,33.828667,52.7874
2022-02-19,2,2021,,,42.157075,9.767054166666666,42.76454016884329,43.208866119384766,40.21052059413289,35.441457142679255,40.40634600626005,40.46008862702155,-0.0485303097425457,2.3466100692749023,50.638649214525685,33.37825797549647,2.738277,22.371161312281803,17.708417892456055,19.36923658307528,18.97640751910178,19.60630582672873,19.57882135489461,19.57199025911298,11.08203411102295,11.339465624743754,21.25272911866769,15.811554778386844,15.67533240864109,2.920010089874268,3.6039228,-2.234586210550788,3.996563253847853,-5.092379396473916,4.306684970855713,5.8129306,11.730356195942022,-2.40908787434455,8.745707908484746,14.495198508795731,26.15613588888889,29.206345230324587,44.59287403188864,34.00180083892445,21.70165,31.384338
2022-02-20,2,2021,,,83.41421666666666,9.767054166666666,83.95829335394835,99.24159240722656,100.37397800118336,56.82388880549652,85.0994381419637,85.56821216219555,15.901942239255732,1.604549765586853,70.85560492670083,42.91401054261769,2.418,28.593569784555648,23.336544036865234,27.23438855011292,18.979960003323896,24.536115593714424,24.568489474206995,22.71550603536896,13.333413124084473,13.132437435455293,20.936477076268893,17.529458417794405,17.408347910365773,3.024160861968994,4.4266214,1.7293634229904455,18.332070219977822,-5.678424747284225,4.281017303466797,6.8844004,8.004744210310037,18.11192459303857,11.845466119670618,14.955035834059188,26.439665777777783,60.3351686563401,99.53715547616594,68.24388946264799,43.78965,83.010025
2022-02-21,2,2021,,,38.42126666666667,9.767054166666666,47.62622124425185,50.37110137939453,43.84300666192316,29.331647648204456,42.7929942334435,42.95659344372776,-14.785801820294637,2.486903190612793,30.64009157493956,22.905079687901434,1.160188,24.59666519501062,18.827539443969727,19.18651067365036,18.9821555620679,20.39821771867465,20.36674707701427,19.40472791111448,10.539843559265137,9.942954082985992,21.355007481974383,15.310633258834995,15.16154316811986,3.149879217147827,3.6305597,2.2322707893688403,4.949817273290137,-7.225674162200448,4.423125267028809,5.4305396,13.738630418987212,9.450537783632171,4.147716379132362,14.62412224713298,26.47886738888889,46.31424767315548,38.501485129865614,19.2215912579436,18.79954,31.433727
2022-02-22,2,2021,,,35.60292916666666,9.767054166666666,43.925182315425154,41.74400329589844,38.06320687361246,28.34130700371721,38.01842487216332,38.10351937785684,-15.726108522060258,3.1309542655944824,27.63504549901654,41.581526411449886,2.0744312,22.650452315012306,17.44501495361328,18.27175526795813,18.982993544742342,19.33755402033152,19.299710432657083,18.93650439107613,10.923458099365234,9.540250767199202,22.19538072631365,15.398898495988556,15.245861025023515,4.285542011260986,4.1606503,2.0966605077680924,15.08953868689423,-1.9185059989904405,4.889420509338379,5.9662747,12.075630654265751,17.59454426183538,8.737696891187625,11.007395626420577,26.62243472222222,33.23358494121021,30.617169055746672,7.579290127834156,16.627628,22.77076
