bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
181-270,90,-0.008,37.757,24.316,0.7006,0.7019,0.817,TabPFN,2019,4,A_removal,0.6777777777777778
271-365,95,-0.449,28.816,19.308,0.7478,0.7497,0.393,TabPFN,2019,4,A_removal,0.6947368421052632
1-7,7,-15.96,8.15,7.848,3.9317,3.8709,-0.471,TabICLv2,2019,4,A_removal,0.0
8-30,23,-0.412,34.56,20.283,1.1212,1.1206,0.361,TabICLv2,2019,4,A_removal,0.34782608695652173
31-90,60,-0.826,32.346,24.652,0.8528,0.8546,0.236,TabICLv2,2019,4,A_removal,0.5333333333333333
91-180,90,-1.441,75.934,60.49,0.8683,0.8692,0.346,TabICLv2,2019,4,A_removal,0.6888888888888889
181-270,90,-0.227,41.646,25.669,0.7396,0.7409,0.539,TabICLv2,2019,4,A_removal,0.6777777777777778
271-365,95,-0.506,29.38,20.054,0.7767,0.7787,0.411,TabICLv2,2019,4,A_removal,0.6947368421052632
1-7,7,-12.826,7.359,7.066,3.5402,3.4854,-0.785,TabPFN,2019,4,B_resample,0.0
8-30,23,-0.38,34.164,19.922,1.1012,1.1007,0.816,TabPFN,2019,4,B_resample,0.34782608695652173
31-90,60,-0.854,32.593,24.924,0.8622,0.864,0.303,TabPFN,2019,4,B_resample,0.5333333333333333
91-180,90,-0.921,67.354,52.098,0.7479,0.7486,0.61,TabPFN,2019,4,B_resample,0.6888888888888889
181-270,90,-0.049,38.52,23.872,0.6878,0.6891,0.8,TabPFN,2019,4,B_resample,0.6777777777777778
271-365,95,-0.455,28.878,19.784,0.7663,0.7682,0.48,TabPFN,2019,4,B_resample,0.6947368421052632
1-7,7,-16.395,8.254,7.976,3.9958,3.934,-0.272,TabICLv2,2019,4,B_resample,0.0
8-30,23,-0.387,34.249,20.054,1.1085,1.1079,0.566,TabICLv2,2019,4,B_resample,0.34782608695652173
31-90,60,-0.873,32.756,25.003,0.8649,0.8668,0.023,TabICLv2,2019,4,B_resample,0.5333333333333333
91-180,90,-1.354,74.561,59.299,0.8512,0.8521,0.432,TabICLv2,2019,4,B_resample,0.6888888888888889
181-270,90,-0.201,41.206,25.462,0.7336,0.735,0.682,TabICLv2,2019,4,B_resample,0.6777777777777778
271-365,95,-0.377,28.089,18.87,0.7309,0.7327,0.526,TabICLv2,2019,4,B_resample,0.6947368421052632
1-7,7,-2.072,20.708,17.007,2.2016,1.0,,TabPFN,2019,9,A_removal,0.0
8-30,23,-4.217,22.414,20.152,1.869,1.0,,TabPFN,2019,9,A_removal,0.0
31-90,60,-0.997,39.937,28.217,1.4672,1.0,,TabPFN,2019,9,A_removal,0.26666666666666666
91-180,90,-1.055,76.177,56.71,1.1272,1.0,,TabPFN,2019,9,A_removal,0.9
181-270,90,-0.354,71.665,44.948,1.0541,1.0,,TabPFN,2019,9,A_removal,0.5444444444444444
271-365,95,-0.707,81.688,53.091,1.1445,1.0,,TabPFN,2019,9,A_removal,0.5157894736842106
1-7,7,-2.072,20.708,17.007,2.2016,1.0,0.178,TabICLv2,2019,9,A_removal,0.0
8-30,23,-4.217,22.415,20.152,1.869,1.0,0.339,TabICLv2,2019,9,A_removal,0.0
31-90,60,-0.997,39.937,28.218,1.4672,1.0,0.307,TabICLv2,2019,9,A_removal,0.26666666666666666
91-180,90,-1.055,76.177,56.709,1.1272,1.0,0.432,TabICLv2,2019,9,A_removal,0.9
181-270,90,-0.354,71.665,44.948,1.0541,1.0,-0.162,TabICLv2,2019,9,A_removal,0.5444444444444444
271-365,95,-0.707,81.688,53.091,1.1444,1.0,0.154,TabICLv2,2019,9,A_removal,0.5157894736842106
1-7,7,-2.072,20.708,17.007,2.2016,1.0,,TabPFN,2019,9,B_resample,0.0
8-30,23,-4.217,22.414,20.152,1.869,1.0,,TabPFN,2019,9,B_resample,0.0
31-90,60,-0.997,39.937,28.217,1.4672,1.0,,TabPFN,2019,9,B_resample,0.26666666666666666
91-180,90,-1.055,76.177,56.71,1.1272,1.0,,TabPFN,2019,9,B_resample,0.9
181-270,90,-0.354,71.665,44.948,1.0541,1.0,,TabPFN,2019,9,B_resample,0.5444444444444444
271-365,95,-0.707,81.688,53.091,1.1445,1.0,,TabPFN,2019,9,B_resample,0.5157894736842106
1-7,7,-2.072,20.708,17.007,2.2016,1.0,0.597,TabICLv2,2019,9,B_resample,0.0
8-30,23,-4.217,22.414,20.152,1.869,1.0,0.423,TabICLv2,2019,9,B_resample,0.0
31-90,60,-0.997,39.937,28.217,1.4672,1.0,-0.09,TabICLv2,2019,9,B_resample,0.26666666666666666
91-180,90,-1.055,76.177,56.709,1.1272,1.0,0.569,TabICLv2,2019,9,B_resample,0.9
181-270,90,-0.354,71.665,44.948,1.0541,1.0,-0.399,TabICLv2,2019,9,B_resample,0.5444444444444444
271-365,95,-0.707,81.688,53.091,1.1444,1.0,0.304,TabICLv2,2019,9,B_resample,0.5157894736842106
1-7,7,-0.673,31.64,19.993,1.2157,0.9078,-0.086,TabPFN,2020,2,A_removal,0.0
8-30,23,-3.122,28.465,24.647,2.2355,0.8889,-0.296,TabPFN,2020,2,A_removal,0.0
31-90,60,-1.976,26.739,21.879,1.9061,0.9077,0.147,TabPFN,2020,2,A_removal,0.0
91-180,90,-0.814,24.535,16.413,1.3685,1.0251,0.015,TabPFN,2020,2,A_removal,0.0
181-270,90,-1.091,20.34,14.812,1.069,0.9119,0.008,TabPFN,2020,2,A_removal,0.0
271-365,95,-0.432,21.55,12.228,0.7731,0.8523,-0.13,TabPFN,2020,2,A_removal,0.0
1-7,7,-0.451,29.471,17.913,1.0893,0.8134,0.691,TabICLv2,2020,2,A_removal,0.0
8-30,23,-2.679,26.891,22.871,2.0743,0.8248,-0.11,TabICLv2,2020,2,A_removal,0.0
31-90,60,-1.791,25.898,20.979,1.8278,0.8704,0.21,TabICLv2,2020,2,A_removal,0.0
91-180,90,-0.739,24.022,15.53,1.2948,0.9699,0.056,TabICLv2,2020,2,A_removal,0.0
181-270,90,-0.624,17.924,12.265,0.8852,0.7551,0.079,TabICLv2,2020,2,A_removal,0.0
271-365,95,-0.298,20.521,11.823,0.7475,0.8241,-0.1,TabICLv2,2020,2,A_removal,0.0
1-7,7,-0.495,29.912,18.136,1.1028,0.8235,0.229,TabPFN,2020,2,B_resample,0.0
8-30,23,-2.782,27.267,23.373,2.1198,0.8429,-0.015,TabPFN,2020,2,B_resample,0.0
31-90,60,-1.646,25.215,20.108,1.7518,0.8343,0.278,TabPFN,2020,2,B_resample,0.0
91-180,90,-0.578,22.887,13.892,1.1583,0.8676,0.057,TabPFN,2020,2,B_resample,0.0
181-270,90,-0.869,19.23,13.318,0.9612,0.82,-0.034,TabPFN,2020,2,B_resample,0.0
271-365,95,-0.367,21.061,11.662,0.7373,0.8129,-0.104,TabPFN,2020,2,B_resample,0.0
1-7,7,-0.556,30.515,18.648,1.1339,0.8467,0.399,TabICLv2,2020,2,B_resample,0.0
8-30,23,-3.028,28.14,24.241,2.1986,0.8742,-0.148,TabICLv2,2020,2,B_resample,0.0
31-90,60,-1.566,24.831,19.787,1.7239,0.821,0.321,TabICLv2,2020,2,B_resample,0.0
91-180,90,-0.605,23.082,14.831,1.2366,0.9263,0.253,TabICLv2,2020,2,B_resample,0.0
181-270,90,-0.896,19.37,13.567,0.9791,0.8353,-0.041,TabICLv2,2020,2,B_resample,0.0
271-365,95,-0.415,21.427,12.196,0.7711,0.8501,-0.154,TabICLv2,2020,2,B_resample,0.0
1-7,7,-0.56,21.654,12.978,1.2063,0.6074,0.048,TabPFN,2020,4,A_removal,0.5714285714285714
8-30,23,-0.068,24.821,8.923,0.7681,0.6059,0.036,TabPFN,2020,4,A_removal,0.9130434782608695
31-90,60,-0.317,36.249,21.416,1.146,0.7827,0.221,TabPFN,2020,4,A_removal,0.6166666666666667
91-180,90,-0.065,21.127,14.712,1.0694,0.5865,0.583,TabPFN,2020,4,A_removal,0.4666666666666667
181-270,90,0.029,61.039,35.169,0.7382,0.5817,0.485,TabPFN,2020,4,A_removal,0.8777777777777778
271-365,95,0.143,63.004,27.119,0.9021,0.7503,0.588,TabPFN,2020,4,A_removal,0.8421052631578947
1-7,7,-0.607,21.983,13.978,1.2993,0.6542,0.896,TabICLv2,2020,4,A_removal,0.5714285714285714
8-30,23,-0.13,25.536,9.476,0.8157,0.6434,-0.142,TabICLv2,2020,4,A_removal,0.9130434782608695
31-90,60,-0.397,37.331,22.498,1.2039,0.8222,-0.107,TabICLv2,2020,4,A_removal,0.6166666666666667
91-180,90,-0.158,22.036,16.348,1.1883,0.6516,0.335,TabICLv2,2020,4,A_removal,0.4666666666666667
181-270,90,-0.276,70.0,44.306,0.93,0.7328,0.151,TabICLv2,2020,4,A_removal,0.8777777777777778
271-365,95,0.053,66.229,28.684,0.9541,0.7936,0.48,TabICLv2,2020,4,A_removal,0.8421052631578947
1-7,7,-0.485,21.13,11.871,1.1034,0.5556,-0.587,TabPFN,2020,4,B_resample,0.5714285714285714
8-30,23,-0.042,24.52,8.882,0.7646,0.6031,-0.051,TabPFN,2020,4,B_resample,0.9130434782608695
31-90,60,-0.279,35.717,20.764,1.1111,0.7588,0.131,TabPFN,2020,4,B_resample,0.6166666666666667
91-180,90,-0.184,22.275,15.314,1.1131,0.6104,0.587,TabPFN,2020,4,B_resample,0.4666666666666667
181-270,90,-0.017,62.476,36.351,0.763,0.6013,0.519,TabPFN,2020,4,B_resample,0.8777777777777778
271-365,95,0.145,62.934,26.644,0.8863,0.7372,0.601,TabPFN,2020,4,B_resample,0.8421052631578947
1-7,7,-0.638,22.19,13.993,1.3007,0.6549,0.292,TabICLv2,2020,4,B_resample,0.5714285714285714
8-30,23,-0.122,25.445,9.376,0.8071,0.6366,-0.182,TabICLv2,2020,4,B_resample,0.9130434782608695
31-90,60,-0.41,37.506,22.833,1.2218,0.8345,0.016,TabICLv2,2020,4,B_resample,0.6166666666666667
91-180,90,-0.278,23.151,16.87,1.2262,0.6725,0.195,TabICLv2,2020,4,B_resample,0.4666666666666667
181-270,90,-0.321,71.205,45.389,0.9527,0.7508,0.038,TabICLv2,2020,4,B_resample,0.8777777777777778
271-365,95,0.105,64.391,27.49,0.9144,0.7606,0.541,TabICLv2,2020,4,B_resample,0.8421052631578947
1-7,7,-0.321,58.915,33.86,0.898,0.8699,-0.183,TabPFN,2020,9,A_removal,0.5714285714285714
