anchor_year,eval_tower,model,bin,n,raw_picp,raw_mpiw,raw_pinball,conformal_picp,conformal_mpiw,conformal_pinball,conformal_margin
2021,9,LightGBM,8-30,12,0.4166666666666667,26.800993868919903,4.9004514056425865,1.0,370.4506372059823,8.460711071639738,185.22531860299114
2021,9,LightGBM,31-90,35,0.37142857142857144,25.164873850108243,4.173488821395587,0.9714285714285714,81.49631339198292,3.6178776064143467,40.74815669599147
2021,9,LightGBM,91-180,85,0.5882352941176471,89.00735261594305,19.26657109434485,0.7058823529411765,115.33073046330968,20.7288434359085,57.66536523165487
2021,9,LightGBM,181-270,47,0.5531914893617021,70.79281296738152,15.466466842017923,0.851063829787234,172.71922633534996,12.99025758987124,86.35961316767498
2022,9,LightGBM,31-90,14,0.5,23.652149800758057,4.490043573222811,0.9285714285714286,75.1335719481533,3.5485456422136252,37.56678597407665
2022,9,LightGBM,91-180,84,0.4166666666666667,36.66375170002703,6.165620947624141,1.0,202.10926976121786,6.467803248677385,101.05463488060893
2022,9,LightGBM,181-270,84,0.38095238095238093,80.80384876559108,11.069935619325824,0.9880952380952381,231.3676777447252,9.822862816875976,115.68383887236261
2022,9,LightGBM,271-365,89,0.47191011235955055,49.02205280636453,9.318349428699472,0.9662921348314607,175.98947703979812,8.539559692035171,87.99473851989904
2018,2,SARIMAX,1-7,6,1.0,98.90835978876531,3.9483875096976093,,,,
2018,2,SARIMAX,8-30,21,1.0,102.44408867686327,4.8737824503433815,,,,
2018,2,SARIMAX,31-90,32,1.0,103.36798474959826,6.0591009115169845,,,,
2018,2,SARIMAX,91-180,43,0.7441860465116279,105.5442748179962,10.723590106413207,,,,
2018,4,SARIMAX,8-30,7,1.0,97.68284899599522,3.9138193774993693,1.0,143.12816120746194,4.671241247690482,71.56408060373097
2018,4,SARIMAX,31-90,33,1.0,111.13276715680672,4.411083397798803,1.0,86.02884478185635,3.9926846915496306,43.014422390928175
2018,4,SARIMAX,91-180,83,0.9879518072289156,141.60347601697126,6.239422582378508,1.0,167.8953687146877,6.643290544106473,83.94768435734385
2018,4,SARIMAX,181-270,72,0.7361111111111112,168.7859131736351,17.222789623804818,0.7638888888888888,186.86366752669664,16.77133932164367,93.43183376334832
2018,4,SARIMAX,271-365,67,0.9253731343283582,193.7806258570799,12.824214471914232,0.8507462686567164,137.14941729405817,12.811991993500122,68.5747086470291
2019,4,SARIMAX,8-30,8,0.5,96.22600244136709,16.226389800071956,0.375,56.373509545864096,19.06174032665182,28.18675477293205
2019,4,SARIMAX,31-90,32,0.96875,96.27207668570259,4.6621520555972324,0.875,75.38157584090777,4.627683248793756,37.690787920453886
2019,4,SARIMAX,91-180,62,0.5645161290322581,96.40005495701504,17.306015352928107,0.6935483870967742,121.12504062135233,16.271827286645294,60.562520310676184
2019,4,SARIMAX,181-270,61,0.9344262295081968,96.53598059960663,5.389918681054763,1.0,230.16265112533847,7.055620678118795,115.08132556266926
2019,4,SARIMAX,271-365,66,0.8939393939393939,96.68861738984184,7.809152143052919,0.9242424242424242,141.97041014135038,7.869615337860836,70.98520507067519
2020,4,SARIMAX,1-7,4,1.0,91.1272786990993,3.1550054250270723,1.0,62.484033041169084,2.6776179973949024,31.242016520584546
2020,4,SARIMAX,8-30,21,1.0,97.42815312671839,3.2625633693427076,1.0,145.3167738602689,4.060707048235217,72.65838693013447
2020,4,SARIMAX,31-90,37,0.918918918918919,106.41885454362543,7.978487316752942,0.7837837837837838,71.30221727695168,8.22334488434097,35.651108638475854
2020,4,SARIMAX,91-180,42,1.0,122.79977157044227,5.108813996283133,1.0,154.0351925660917,5.629404346210624,77.01759628304585
2020,4,SARIMAX,181-270,79,0.7088607594936709,138.3223526017899,15.196086270970804,0.9367088607594937,221.77071907018168,14.86791115537334,110.8853595350909
2020,4,SARIMAX,271-365,80,0.875,152.11748549684694,13.538712801918402,0.875,140.2985827627751,13.508236611889354,70.14929138138754
2021,4,SARIMAX,1-7,3,1.0,106.02767389132589,2.803916401524304,1.0,62.484033041169084,2.0781890540216903,31.242016520584546
2021,4,SARIMAX,8-30,19,1.0,107.8055188287468,3.9585049888173613,1.0,145.20845889115193,4.58188732319078,72.60422944557595
2021,4,SARIMAX,31-90,50,0.96,107.9003053259515,4.228017592235395,0.92,78.2176900139549,3.990860224967793,39.10884500697745
2021,4,SARIMAX,91-180,90,0.6555555555555556,107.90662048213635,19.009020453255513,0.7222222222222222,116.30958944065492,18.701273048221427,58.15479472032748
2021,4,SARIMAX,181-270,88,0.5,107.91400870509442,21.888826050253375,0.8068181818181818,187.96289508682977,18.347417305391758,93.98144754341487
2021,4,SARIMAX,271-365,91,0.8681318681318682,107.92160380452911,7.7819543964872535,0.9230769230769231,145.47228802695628,7.682699660213506,72.73614401347815
2022,4,SARIMAX,91-180,75,0.9733333333333334,117.71189092576019,6.060200760041845,0.9733333333333334,157.11006254726703,6.5417772683597155,78.55503127363353
2022,4,SARIMAX,181-270,74,0.7972972972972973,117.73799041400073,11.51623452178726,0.9594594594594594,226.47899306628454,11.405243708869486,113.23949653314226
2022,4,SARIMAX,271-365,74,0.9054054054054054,117.76562730973816,6.795978323160662,0.9324324324324325,145.4898530986618,6.869875228287064,72.74492654933091
2019,9,SARIMAX,31-90,16,1.0,196.73709740308558,5.8254426419767595,0.875,75.04952698688035,4.194950788758475,37.524763493440176
2019,9,SARIMAX,91-180,81,0.9629629629629629,251.9897171073601,11.820726183938218,0.8641975308641975,158.65490340609657,11.261453578477528,79.32745170304828
2019,9,SARIMAX,181-270,49,0.9387755102040817,315.65021162525323,12.626623696732564,0.9387755102040817,197.2041747189894,11.719151481027177,98.6020873594947
