bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
181-270,90,-11.613,17.105,14.146,0.2731,2.9071,-0.091,gapfilled,TFT,BASE+species,2018,2
271-365,95,-3.414,22.03,14.328,0.317,1.4021,-0.553,gapfilled,TFT,BASE+species,2018,2
1-7,6,-3.203,20.12,19.161,0.5215,1.0544,-0.35,observed,DLinear,BASE+species,2018,2
8-30,21,-13.149,39.419,33.862,0.727,3.6364,0.585,observed,DLinear,BASE+species,2018,2
31-90,32,-5.039,31.602,25.334,0.557,2.1815,0.133,observed,DLinear,BASE+species,2018,2
91-180,43,-2.982,45.575,37.21,0.6053,2.3483,-0.227,observed,DLinear,BASE+species,2018,2
181-270,0,,,,,,,observed,DLinear,BASE+species,2018,2
271-365,0,,,,,,,observed,DLinear,BASE+species,2018,2
1-7,7,-0.629,32.549,25.512,0.8359,0.766,-0.476,gapfilled,DLinear,BASE+species,2018,2
8-30,23,-23.061,38.408,33.102,0.7145,3.7538,0.657,gapfilled,DLinear,BASE+species,2018,2
31-90,60,-13.107,82.983,62.897,1.8087,2.4931,-0.451,gapfilled,DLinear,BASE+species,2018,2
91-180,90,-19.812,40.907,32.612,0.6562,4.1403,-0.285,gapfilled,DLinear,BASE+species,2018,2
181-270,90,-87.292,45.256,36.514,0.7049,7.5037,0.062,gapfilled,DLinear,BASE+species,2018,2
271-365,95,-49.569,74.567,61.622,1.3635,6.03,-0.205,gapfilled,DLinear,BASE+species,2018,2
1-7,6,0.299,8.216,7.676,0.2089,0.4224,0.836,observed,LSTM,BASE+species,2018,2
8-30,21,-1.054,15.018,12.674,0.2721,1.361,0.697,observed,LSTM,BASE+species,2018,2
31-90,32,-0.391,15.167,11.585,0.2547,0.9976,0.534,observed,LSTM,BASE+species,2018,2
91-180,43,-0.866,31.198,23.021,0.3745,1.4528,-0.124,observed,LSTM,BASE+species,2018,2
181-270,0,,,,,,,observed,LSTM,BASE+species,2018,2
271-365,0,,,,,,,observed,LSTM,BASE+species,2018,2
1-7,7,-0.666,32.914,22.317,0.7312,0.6701,-0.02,gapfilled,LSTM,BASE+species,2018,2
8-30,23,-2.921,15.505,13.565,0.2928,1.5382,0.712,gapfilled,LSTM,BASE+species,2018,2
31-90,60,-0.595,27.9,20.851,0.5996,0.8265,0.041,gapfilled,LSTM,BASE+species,2018,2
91-180,90,-3.356,18.714,14.888,0.2996,1.8902,-0.095,gapfilled,LSTM,BASE+species,2018,2
181-270,90,-38.492,30.267,27.868,0.538,5.7269,-0.194,gapfilled,LSTM,BASE+species,2018,2
271-365,95,-1.124,15.282,11.61,0.2569,1.1361,-0.231,gapfilled,LSTM,BASE+species,2018,2
1-7,1,,,,,,,observed,TFT,BASE+species,2018,4
8-30,7,-4.674,20.351,14.817,0.9767,2.1188,-0.757,observed,TFT,BASE+species,2018,4
31-90,33,-1.348,24.569,16.925,1.0304,1.3873,-0.25,observed,TFT,BASE+species,2018,4
91-180,83,-0.235,21.314,15.748,0.8641,1.2745,0.124,observed,TFT,BASE+species,2018,4
181-270,72,-0.267,89.73,60.321,0.9873,0.8634,-0.045,observed,TFT,BASE+species,2018,4
271-365,67,-0.148,66.409,32.272,1.0601,1.05,-0.011,observed,TFT,BASE+species,2018,4
