bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
31-90,32,-0.242,24.982,19.952,0.9117,0.9135,0.054,SARIMAX,BASE+ALL,2019,4
91-180,62,0.224,77.163,51.094,0.672,0.6725,0.479,SARIMAX,BASE+ALL,2019,4
181-270,61,0.451,26.838,21.254,0.7545,0.7555,0.774,SARIMAX,BASE+ALL,2019,4
271-365,66,0.091,50.299,26.294,0.9943,0.9963,0.407,SARIMAX,BASE+ALL,2019,4
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,4
8-30,8,-2.745,64.12,52.185,1.3646,1.3633,-0.737,Ensemble_unweighted,BASE+ALL,2019,4
31-90,32,-0.097,23.472,17.171,0.7847,0.7861,0.221,Ensemble_unweighted,BASE+ALL,2019,4
91-180,62,0.196,78.514,48.577,0.6388,0.6394,0.48,Ensemble_unweighted,BASE+ALL,2019,4
181-270,61,0.575,23.614,16.809,0.5968,0.5975,0.774,Ensemble_unweighted,BASE+ALL,2019,4
271-365,66,0.158,48.422,20.179,0.7631,0.7646,0.415,Ensemble_unweighted,BASE+ALL,2019,4
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,4
8-30,8,-2.751,64.173,52.226,1.3657,1.3644,-0.742,Ensemble_MASEweighted,BASE+ALL,2019,4
31-90,32,-0.1,23.508,17.188,0.7855,0.7869,0.223,Ensemble_MASEweighted,BASE+ALL,2019,4
91-180,62,0.196,78.543,48.57,0.6388,0.6393,0.48,Ensemble_MASEweighted,BASE+ALL,2019,4
181-270,61,0.575,23.625,16.831,0.5975,0.5983,0.774,Ensemble_MASEweighted,BASE+ALL,2019,4
271-365,66,0.157,48.442,20.195,0.7637,0.7652,0.414,Ensemble_MASEweighted,BASE+ALL,2019,4
1-7,0,,,,,,,RF,BASE+ALL,2019,9
8-30,0,,,,,,,RF,BASE+ALL,2019,9
31-90,16,-0.707,26.241,21.664,1.3103,0.9525,0.268,RF,BASE+ALL,2019,9
91-180,81,0.269,61.08,44.511,0.7846,0.7203,0.537,RF,BASE+ALL,2019,9
181-270,49,0.033,66.183,44.115,1.1424,1.1224,0.375,RF,BASE+ALL,2019,9
271-365,49,0.087,109.237,57.296,0.8086,0.7628,0.619,RF,BASE+ALL,2019,9
1-7,0,,,,,,,XGB,BASE+ALL,2019,9
8-30,0,,,,,,,XGB,BASE+ALL,2019,9
31-90,16,-0.832,27.182,21.919,1.3257,0.9638,0.305,XGB,BASE+ALL,2019,9
91-180,81,0.298,59.858,41.238,0.7269,0.6674,0.57,XGB,BASE+ALL,2019,9
181-270,49,-0.019,67.946,46.436,1.2025,1.1815,0.354,XGB,BASE+ALL,2019,9
271-365,49,0.172,103.993,54.335,0.7668,0.7233,0.556,XGB,BASE+ALL,2019,9
1-7,0,,,,,,,LightGBM,BASE+ALL,2019,9
8-30,0,,,,,,,LightGBM,BASE+ALL,2019,9
31-90,16,-0.972,28.199,22.176,1.3413,0.9751,0.232,LightGBM,BASE+ALL,2019,9
91-180,81,0.249,61.918,44.889,0.7912,0.7265,0.507,LightGBM,BASE+ALL,2019,9
181-270,49,0.049,65.633,43.662,1.1306,1.1109,0.381,LightGBM,BASE+ALL,2019,9
271-365,49,0.184,103.29,54.578,0.7702,0.7266,0.601,LightGBM,BASE+ALL,2019,9
1-7,0,,,,,,,SARIMAX,BASE+ALL,2019,9
8-30,0,,,,,,,SARIMAX,BASE+ALL,2019,9
31-90,16,-0.106,21.119,15.255,0.9226,0.6707,0.064,SARIMAX,BASE+ALL,2019,9
91-180,81,0.327,58.583,39.939,0.704,0.6464,0.576,SARIMAX,BASE+ALL,2019,9
181-270,49,0.143,62.315,37.446,0.9697,0.9527,0.385,SARIMAX,BASE+ALL,2019,9
271-365,49,0.09,109.042,56.907,0.8031,0.7576,0.591,SARIMAX,BASE+ALL,2019,9
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,9
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,9
31-90,16,-0.495,24.555,19.904,1.2038,0.8752,0.246,Ensemble_unweighted,BASE+ALL,2019,9
91-180,81,0.299,59.827,42.29,0.7454,0.6844,0.56,Ensemble_unweighted,BASE+ALL,2019,9
181-270,49,0.085,64.378,40.673,1.0532,1.0348,0.379,Ensemble_unweighted,BASE+ALL,2019,9
271-365,49,0.149,105.469,53.443,0.7542,0.7115,0.607,Ensemble_unweighted,BASE+ALL,2019,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,9
31-90,16,-0.506,24.644,19.978,1.2083,0.8784,0.247,Ensemble_MASEweighted,BASE+ALL,2019,9
91-180,81,0.298,59.846,42.311,0.7458,0.6847,0.56,Ensemble_MASEweighted,BASE+ALL,2019,9
181-270,49,0.083,64.447,40.819,1.057,1.0385,0.378,Ensemble_MASEweighted,BASE+ALL,2019,9
271-365,49,0.15,105.404,53.453,0.7543,0.7116,0.607,Ensemble_MASEweighted,BASE+ALL,2019,9
1-7,0,,,,,,,RF,BASE+ALL,2020,2
8-30,0,,,,,,,RF,BASE+ALL,2020,2
31-90,0,,,,,,,RF,BASE+ALL,2020,2
91-180,0,,,,,,,RF,BASE+ALL,2020,2
181-270,0,,,,,,,RF,BASE+ALL,2020,2
271-365,0,,,,,,,RF,BASE+ALL,2020,2
1-7,0,,,,,,,XGB,BASE+ALL,2020,2
8-30,0,,,,,,,XGB,BASE+ALL,2020,2
31-90,0,,,,,,,XGB,BASE+ALL,2020,2
91-180,0,,,,,,,XGB,BASE+ALL,2020,2
