date,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,TFT,y_true_tft,TabPFN
2019-01-17,17.251825226382763,21.54275894165039,18.05471089724407,41.88995302207094,24.68481202183704,24.5074470370392,,6.82405,17.53322916666667,9,2018,12.286357444615192,,0.0
2019-01-18,19.596012072149044,16.363887786865234,17.49399239712324,45.50541642323967,24.739827169844297,24.469640829304733,,11.327433333333332,17.53322916666667,9,2018,21.38324628754799,,0.0
2019-01-19,16.58277511613163,12.927756309509277,15.769192227530713,32.865843845113574,19.536391874571297,19.35569870409045,,11.5786125,17.53322916666667,9,2018,27.188786501764184,,0.0
2019-01-20,15.512383623553172,19.68981170654297,15.80493387813482,30.754999952204717,20.44053229010892,20.34262431832053,,8.362083333333333,17.53322916666667,9,2018,22.564273600744286,,0.0
2019-01-21,15.343313119992773,21.053695678710938,16.714340520800352,38.7188375853872,22.957546726222816,22.806897038731357,,5.310695833333333,17.53322916666667,9,2018,15.989056665050043,,0.0
2019-01-22,15.053893234289307,19.838621139526367,15.303250327572377,43.532955002774635,23.43217992604067,23.221654640790373,,5.016516666666667,17.53322916666667,9,2018,-3.175363402157018,,0.0
2019-01-23,14.290074255950541,20.452537536621094,15.922597887242437,39.031328683232836,22.424134590761728,22.266768665781935,,5.429616666666667,17.53322916666667,9,2018,2.820838487657511,,0.0
2019-01-24,14.978226025923318,21.537982940673828,16.677614020973877,42.003842166878975,23.7994162886125,23.62555623366564,,62.78659166666666,17.53322916666667,9,2018,-1.8593070989300031,,0.0
2019-01-25,15.802507263417683,21.028383255004883,16.721952374709232,58.4522978845702,28.0012851944255,27.672639847676717,,18.58935,17.53322916666667,9,2018,-5.2767122165546425,,0.0
2019-01-26,27.691660395588833,36.833683013916016,35.32338352264277,60.37798466242164,40.05667789864231,39.889701553481146,,51.397841666666665,17.53322916666667,9,2018,-1.8731940796087656,,0.0
2019-01-27,23.951125905899247,37.97721862792969,29.629320220741846,70.68311934393422,40.56019602462625,40.29871041951868,,119.85297083333334,17.53322916666667,9,2018,-10.037947598763822,,0.0
2019-01-28,16.30698941061501,13.684295654296875,14.403220173530503,44.80028758450424,22.298698205736656,22.011948954679298,,7.011170833333334,17.53322916666667,9,2018,15.38612789939009,,0.0
2019-01-29,17.03970384453724,14.006826400756836,13.64055937129561,43.5004571979719,22.046886703640396,21.765840603639916,,8.262233333333333,17.53322916666667,9,2018,15.785795344596295,,0.0
