config,tower,scenario,R2,RMSE,MAE,MBE
C_winsorize,9,s,0.37471267592619084,111.86554429946321,49.038919558535255,-0.2368152314710018
C_winsorize,9,m,0.42676732993730204,113.30024012451864,50.48132573545669,1.4920429952379517
C_winsorize,9,l,0.2336041259373493,107.42016508909764,49.12156223105618,-0.5110737260516061
C_winsorize,9,m1,0.4176021982637021,102.10660384012644,49.51836398249998,0.9386934282998906
D_hampel,2,vs,0.5693580398248326,88.91384333092492,31.106996803264447,1.5997779202451015
D_hampel,2,s,0.7260373112260519,91.00797223325533,32.325563159322954,-2.1788572432867266
D_hampel,2,m,0.707200161508899,75.1748581644843,30.097437800805075,2.652308993680606
D_hampel,2,l,0.23733693892426566,74.76533017623483,34.555262993425515,12.098019978181576
D_hampel,2,m1,0.5409172699464082,63.50183463872086,31.67483826636879,7.486987642887847
D_hampel,4,vs,0.4371762156118155,93.90296876790171,39.98795699938391,4.120970723356788
D_hampel,4,s,0.4282169503862451,102.29641670675393,42.84389533658313,3.5993611431131476
D_hampel,4,m,0.40780307358198964,103.86641764330275,44.3971156231495,2.975842131666309
D_hampel,4,l,0.2771734469672153,99.63441966750025,45.19559724343878,6.368660137803469
D_hampel,4,m1,0.34550381045653394,90.11345768272479,39.71969994593997,1.7584412720345677
D_hampel,9,vs,0.45906376374149477,101.5040377208559,46.75798745259965,1.1771964430439525
D_hampel,9,s,0.37412521393812326,111.91567625974348,49.10066148421306,-0.25978862883076104
D_hampel,9,m,0.4255571537619147,113.4211285833477,50.491692647321685,1.440321948291789
D_hampel,9,l,0.2337083740605525,107.38597675977107,49.2286728272443,-0.37541983152724623
D_hampel,9,m1,0.4161089508930041,102.2268492728879,49.48217375939818,0.7645102485486034
D2_hampel_wide_T2,2,vs,0.5687699064266156,88.94588164507235,31.099862433709365,1.583675128897148
D2_hampel_wide_T2,2,s,0.7259782268122443,91.01895605626746,32.33581795660912,-2.1499690796323288
D2_hampel_wide_T2,2,m,0.7063844456514877,75.26972118320275,30.129173056215734,2.682881217833468
D2_hampel_wide_T2,2,l,0.23784349342270739,74.7056281306241,34.5456811560366,12.104143006161536
D2_hampel_wide_T2,2,m1,0.539331910977762,63.58022953595284,31.708961971610332,7.550885641140242
