ssp,gcm,realization,tower,year,multiplier,model,annual_mean,trend_annual_mean
ssp245,ACCESS-ESM1-5,1,2,2050,1.0,PrimaryHybrid,19.546879328740513,20.043646882358374
ssp245,ACCESS-ESM1-5,1,2,2050,2.0,PrimaryHybrid,23.543581041405645,24.79834724868668
ssp245,ACCESS-ESM1-5,1,2,2050,3.0,PrimaryHybrid,27.03854598477089,29.553047615014986
ssp245,ACCESS-ESM1-5,1,4,2025,1.0,PrimaryHybrid,26.055857116292703,30.305780359705135
ssp245,ACCESS-ESM1-5,1,4,2025,2.0,PrimaryHybrid,45.6953086267576,51.46900842834991
ssp245,ACCESS-ESM1-5,1,4,2025,3.0,PrimaryHybrid,66.25215507845569,72.63223649699466
ssp245,ACCESS-ESM1-5,1,4,2026,1.0,PrimaryHybrid,26.192163639004566,30.406275031461092
ssp245,ACCESS-ESM1-5,1,4,2026,2.0,PrimaryHybrid,45.85774500338079,51.56950310010588
ssp245,ACCESS-ESM1-5,1,4,2026,3.0,PrimaryHybrid,66.44755622621662,72.73273116875063
ssp245,ACCESS-ESM1-5,1,4,2027,1.0,PrimaryHybrid,25.316642764469695,30.281128268704805
ssp245,ACCESS-ESM1-5,1,4,2027,2.0,PrimaryHybrid,44.94334425024839,51.444356337349575
ssp245,ACCESS-ESM1-5,1,4,2027,3.0,PrimaryHybrid,65.49809784424303,72.60758440599434
ssp245,ACCESS-ESM1-5,1,4,2028,1.0,PrimaryHybrid,25.83129279801117,30.339603809098726
ssp245,ACCESS-ESM1-5,1,4,2028,2.0,PrimaryHybrid,45.474990165913965,51.5028318777435
ssp245,ACCESS-ESM1-5,1,4,2028,3.0,PrimaryHybrid,66.03653628053145,72.66605994638827
ssp245,ACCESS-ESM1-5,1,4,2029,1.0,PrimaryHybrid,25.839535835145295,30.316382710188122
ssp245,ACCESS-ESM1-5,1,4,2029,2.0,PrimaryHybrid,45.4549844404561,51.4796107788329
ssp245,ACCESS-ESM1-5,1,4,2029,3.0,PrimaryHybrid,66.00724758854545,72.64283884747766
ssp245,ACCESS-ESM1-5,1,4,2030,1.0,PrimaryHybrid,26.266522427871358,30.40660025693603
ssp245,ACCESS-ESM1-5,1,4,2030,2.0,PrimaryHybrid,45.95879222742387,51.56982832558081
ssp245,ACCESS-ESM1-5,1,4,2030,3.0,PrimaryHybrid,66.54215000554484,72.73305639422557
ssp245,ACCESS-ESM1-5,1,4,2031,1.0,PrimaryHybrid,25.69460654361365,30.416942427039075
ssp245,ACCESS-ESM1-5,1,4,2031,2.0,PrimaryHybrid,45.31840442152244,51.580170495683845
ssp245,ACCESS-ESM1-5,1,4,2031,3.0,PrimaryHybrid,65.87344813610542,72.74339856432861
ssp245,ACCESS-ESM1-5,1,4,2032,1.0,PrimaryHybrid,25.69358520052831,30.327570466526
ssp245,ACCESS-ESM1-5,1,4,2032,2.0,PrimaryHybrid,45.348883829254135,51.49079853517078
ssp245,ACCESS-ESM1-5,1,4,2032,3.0,PrimaryHybrid,65.9207849431694,72.65402660381554
ssp245,ACCESS-ESM1-5,1,4,2033,1.0,PrimaryHybrid,25.970555539194912,30.381818075745723
ssp245,ACCESS-ESM1-5,1,4,2033,2.0,PrimaryHybrid,45.60905687164329,51.5450461443905
ssp245,ACCESS-ESM1-5,1,4,2033,3.0,PrimaryHybrid,66.17880023922538,72.70827421303528
ssp245,ACCESS-ESM1-5,1,4,2034,1.0,PrimaryHybrid,25.830494751071058,30.43970821028476
ssp245,ACCESS-ESM1-5,1,4,2034,2.0,PrimaryHybrid,45.462974074317195,51.60293627892953
ssp245,ACCESS-ESM1-5,1,4,2034,3.0,PrimaryHybrid,66.02516681949184,72.7661643475743
ssp245,ACCESS-ESM1-5,1,4,2035,1.0,PrimaryHybrid,26.03230389304038,30.438862624049918
ssp245,ACCESS-ESM1-5,1,4,2035,2.0,PrimaryHybrid,45.69113407029831,51.602090692694695
ssp245,ACCESS-ESM1-5,1,4,2035,3.0,PrimaryHybrid,66.26127285401677,72.76531876133947
ssp245,ACCESS-ESM1-5,1,4,2036,1.0,PrimaryHybrid,25.853763695598545,30.466311654134717
ssp245,ACCESS-ESM1-5,1,4,2036,2.0,PrimaryHybrid,45.49113274193662,51.6295397227795
ssp245,ACCESS-ESM1-5,1,4,2036,3.0,PrimaryHybrid,66.05654760707132,72.79276779142425
ssp245,ACCESS-ESM1-5,1,4,2037,1.0,PrimaryHybrid,25.62723664726464,30.424487658057647
ssp245,ACCESS-ESM1-5,1,4,2037,2.0,PrimaryHybrid,45.2583782438247,51.587715726702406
ssp245,ACCESS-ESM1-5,1,4,2037,3.0,PrimaryHybrid,65.80655766504859,72.75094379534718
ssp245,ACCESS-ESM1-5,1,4,2038,1.0,PrimaryHybrid,25.92436022730214,30.47040949511894
ssp245,ACCESS-ESM1-5,1,4,2038,2.0,PrimaryHybrid,45.611969905417396,51.63363756376371
ssp245,ACCESS-ESM1-5,1,4,2038,3.0,PrimaryHybrid,66.17303203202773,72.79686563240848
ssp245,ACCESS-ESM1-5,1,4,2039,1.0,PrimaryHybrid,25.925440912500157,30.43274838512108
ssp245,ACCESS-ESM1-5,1,4,2039,2.0,PrimaryHybrid,45.54222230775277,51.59597645376586
ssp245,ACCESS-ESM1-5,1,4,2039,3.0,PrimaryHybrid,66.09866876219563,72.75920452241063
ssp245,ACCESS-ESM1-5,1,4,2040,1.0,PrimaryHybrid,25.692537895756175,30.445237043358713
ssp245,ACCESS-ESM1-5,1,4,2040,2.0,PrimaryHybrid,45.32506549817453,51.608465112003486
ssp245,ACCESS-ESM1-5,1,4,2040,3.0,PrimaryHybrid,65.89458980858959,72.77169318064827
ssp245,ACCESS-ESM1-5,1,4,2041,1.0,PrimaryHybrid,25.706916378853695,30.519323406549674
ssp245,ACCESS-ESM1-5,1,4,2041,2.0,PrimaryHybrid,45.352798403737815,51.682551475194444
ssp245,ACCESS-ESM1-5,1,4,2041,3.0,PrimaryHybrid,65.91638042351113,72.84577954383921
ssp245,ACCESS-ESM1-5,1,4,2042,1.0,PrimaryHybrid,25.767763333228732,30.402697551236773
ssp245,ACCESS-ESM1-5,1,4,2042,2.0,PrimaryHybrid,45.424492879637704,51.56592561988155
ssp245,ACCESS-ESM1-5,1,4,2042,3.0,PrimaryHybrid,66.01023521304562,72.72915368852631
ssp245,ACCESS-ESM1-5,1,4,2043,1.0,PrimaryHybrid,26.312245168494304,30.471710397018693
ssp245,ACCESS-ESM1-5,1,4,2043,2.0,PrimaryHybrid,45.97381498049686,51.634938465663474
ssp245,ACCESS-ESM1-5,1,4,2043,3.0,PrimaryHybrid,66.569362705561,72.79816653430824
ssp245,ACCESS-ESM1-5,1,4,2044,1.0,PrimaryHybrid,26.037581934779933,30.573505970674407
ssp245,ACCESS-ESM1-5,1,4,2044,2.0,PrimaryHybrid,45.67652492498682,51.73673403931918
ssp245,ACCESS-ESM1-5,1,4,2044,3.0,PrimaryHybrid,66.21321949783626,72.89996210796396
ssp245,ACCESS-ESM1-5,1,4,2045,1.0,PrimaryHybrid,25.951199842428988,30.501566095618042
ssp245,ACCESS-ESM1-5,1,4,2045,2.0,PrimaryHybrid,45.60095571370935,51.664794164262815
ssp245,ACCESS-ESM1-5,1,4,2045,3.0,PrimaryHybrid,66.17412004992634,72.82802223290759
ssp245,ACCESS-ESM1-5,1,4,2046,1.0,PrimaryHybrid,25.824190314363968,30.450961011717627
ssp245,ACCESS-ESM1-5,1,4,2046,2.0,PrimaryHybrid,45.45401566174638,51.6141890803624
ssp245,ACCESS-ESM1-5,1,4,2046,3.0,PrimaryHybrid,66.02821254753684,72.77741714900718
ssp245,ACCESS-ESM1-5,1,4,2047,1.0,PrimaryHybrid,25.887935350704595,30.508005560021818
ssp245,ACCESS-ESM1-5,1,4,2047,2.0,PrimaryHybrid,45.52143107098559,51.67123362866659
ssp245,ACCESS-ESM1-5,1,4,2047,3.0,PrimaryHybrid,66.07513997313957,72.83446169731137
ssp245,ACCESS-ESM1-5,1,4,2048,1.0,PrimaryHybrid,25.812703219241815,30.526413321903338
ssp245,ACCESS-ESM1-5,1,4,2048,2.0,PrimaryHybrid,45.47192894084483,51.68964139054811
ssp245,ACCESS-ESM1-5,1,4,2048,3.0,PrimaryHybrid,66.03194358999288,72.85286945919287
ssp245,ACCESS-ESM1-5,1,4,2049,1.0,PrimaryHybrid,26.155480934864208,30.670683342586
ssp245,ACCESS-ESM1-5,1,4,2049,2.0,PrimaryHybrid,45.80975451774172,51.83391141123077
ssp245,ACCESS-ESM1-5,1,4,2049,3.0,PrimaryHybrid,66.3679908333987,72.99713947987554
ssp245,ACCESS-ESM1-5,1,4,2050,1.0,PrimaryHybrid,25.776877337860988,30.622549972295115
ssp245,ACCESS-ESM1-5,1,4,2050,2.0,PrimaryHybrid,45.40678994470539,51.785778040939896
ssp245,ACCESS-ESM1-5,1,4,2050,3.0,PrimaryHybrid,65.95227211239008,72.94900610958466
ssp245,ACCESS-ESM1-5,1,9,2025,1.0,PrimaryHybrid,35.10462170397932,37.00034957897056
ssp245,ACCESS-ESM1-5,1,9,2025,2.0,PrimaryHybrid,55.38208998161402,58.96513604940708
ssp245,ACCESS-ESM1-5,1,9,2025,3.0,PrimaryHybrid,76.63324897055479,80.92992251984361
ssp245,ACCESS-ESM1-5,1,9,2026,1.0,PrimaryHybrid,35.17229756266952,37.10084425072652
ssp245,ACCESS-ESM1-5,1,9,2026,2.0,PrimaryHybrid,55.460202899362685,59.06563072116304
ssp245,ACCESS-ESM1-5,1,9,2026,3.0,PrimaryHybrid,76.75513611891655,81.03041719159957
ssp245,ACCESS-ESM1-5,1,9,2027,1.0,PrimaryHybrid,33.84739580208585,36.97569748797023
ssp245,ACCESS-ESM1-5,1,9,2027,2.0,PrimaryHybrid,54.10119587341842,58.940483958406745
ssp245,ACCESS-ESM1-5,1,9,2027,3.0,PrimaryHybrid,75.37047828601176,80.90527042884328
ssp245,ACCESS-ESM1-5,1,9,2028,1.0,PrimaryHybrid,34.61577833997479,37.03417302836415
ssp245,ACCESS-ESM1-5,1,9,2028,2.0,PrimaryHybrid,54.89696292091933,58.99895949880067
ssp245,ACCESS-ESM1-5,1,9,2028,3.0,PrimaryHybrid,76.15873331960864,80.9637459692372
ssp245,ACCESS-ESM1-5,1,9,2029,1.0,PrimaryHybrid,34.74965200748122,37.01095192945355
ssp245,ACCESS-ESM1-5,1,9,2029,2.0,PrimaryHybrid,55.02732808052095,58.975738399890076
ssp245,ACCESS-ESM1-5,1,9,2029,3.0,PrimaryHybrid,76.26275342368653,80.9405248703266
ssp245,ACCESS-ESM1-5,1,9,2030,1.0,PrimaryHybrid,35.31036846458286,37.101169476201456
ssp245,ACCESS-ESM1-5,1,9,2030,2.0,PrimaryHybrid,55.63014466330023,59.065955946637985
ssp245,ACCESS-ESM1-5,1,9,2030,3.0,PrimaryHybrid,76.93300360970525,81.0307424170745
ssp245,ACCESS-ESM1-5,1,9,2031,1.0,PrimaryHybrid,34.33747411438925,37.11151164630449
ssp245,ACCESS-ESM1-5,1,9,2031,2.0,PrimaryHybrid,54.5878567167327,59.076298116741015
