anchor_year,eval_tower,model,bin,date,feature,shap_value
2018,2,LightGBM,1-7,2018-12-18,fx_SHF_mean,-0.49280802812246594
2018,2,LightGBM,1-7,2018-12-18,fx_PRECIP_sum,7.265677577078143
2018,2,LightGBM,1-7,2018-12-18,fx_wd_sin,1.193733963848403
2018,2,LightGBM,1-7,2018-12-18,fx_wd_cos,0.41941826387253317
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_lag7,0.04668377825968046
2018,2,LightGBM,1-7,2018-12-18,fx_TS_lag7,0.08716866407748707
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_lag14,0.3177513909034833
2018,2,LightGBM,1-7,2018-12-18,fx_TS_lag14,0.7549797143565068
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_lag21,0.03631839910099509
2018,2,LightGBM,1-7,2018-12-18,fx_TS_lag21,-1.0517884582061177
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_lag28,0.2495215106707218
2018,2,LightGBM,1-7,2018-12-18,fx_TS_lag28,1.6895454789209348
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_roll7,-0.5786720032293773
2018,2,LightGBM,1-7,2018-12-18,fx_TS_roll7,-0.07010303985428976
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_roll14,0.0708969915537824
2018,2,LightGBM,1-7,2018-12-18,fx_TS_roll14,-0.06908786352386209
2018,2,LightGBM,1-7,2018-12-18,fx_DOY_sin,0.0903383147621106
2018,2,LightGBM,1-7,2018-12-18,fx_DOY_cos,-0.3030877323502707
2018,2,LightGBM,1-7,2018-12-18,fx_is_growing,0.0
2018,2,LightGBM,1-7,2018-12-18,fx_is_winter,0.0
2018,2,LightGBM,1-7,2018-12-18,fx_lsu_dens,1.262967786404432
2018,2,LightGBM,1-7,2018-12-18,fx_grazing_active,0.0
2018,2,LightGBM,1-7,2018-12-18,fx_days_since_grazing,-0.09502634064405291
2018,2,LightGBM,1-7,2018-12-18,ar_fc_dlag1,0.011753642538371281
2018,2,LightGBM,1-7,2018-12-18,is_t2,0.005525494745282073
2018,2,LightGBM,1-7,2018-12-18,is_t4,0.3842272926111883
2018,2,LightGBM,1-7,2018-12-18,is_t9,-2.2726774124082016
