,RF,XGB,LightGBM,SARIMAX,DLinear,LSTM,Persistence,Climatology,y_true
2022-06-15,75.05000546481791,87.77725982666016,88.02463646970212,77.54848181774761,92.91265571187432,26.943835631732668,10.200595833333333,43.56069907060975,32.59265
2022-06-16,78.86423792170339,95.62071228027344,95.29521610234846,82.95080334788084,113.10875091595881,87.5014918382376,10.200595833333333,43.19253656550526,208.14412
2022-06-17,85.09974381679407,103.95620727539062,96.6888348892562,77.58510009674566,117.5101411057658,55.60283451319128,10.200595833333333,36.296416998560616,51.584812
2022-06-18,85.88339927803277,98.72747039794922,95.85344976495838,91.59017954781946,143.33266504945823,144.032843302728,10.200595833333333,32.04636579113434,
2022-06-19,91.28975999672784,96.72850799560547,90.15340822051573,89.51152622125375,127.66361873222922,79.8795114125378,10.200595833333333,31.869685305585968,27.274601
2022-06-20,95.24626805182156,103.86434173583984,97.44872865698083,85.17663892004657,122.45372355488871,93.98189541509055,10.200595833333333,32.48239623415596,71.58097
2022-06-21,91.70038134298159,104.62419128417969,101.06831575025994,82.24448905092719,81.64513333087416,105.66570746782418,10.200595833333333,29.54635780537344,71.45932
2022-06-22,95.63058290579606,122.73233032226562,123.87587999122714,84.00469137485187,95.908371008014,114.61952689489226,10.200595833333333,29.61132497919084,88.09965
2022-06-23,89.3467029571079,117.25302124023438,110.22518638692789,82.75762026934733,73.12053370755802,116.01246440873729,10.200595833333333,29.77509065809253,42.05872
2022-06-24,40.869244433339546,54.73664855957031,50.05420496632614,15.62989937432196,67.7633325814204,43.79309627056546,10.200595833333333,37.278162188997996,35.5949
2022-06-25,36.50248491649659,41.378055572509766,38.34188715825042,12.048594550635046,24.15848034657165,0.24164426150036888,10.200595833333333,41.831794574962345,14.030526
2022-06-26,34.67624905589879,29.599103927612305,28.515938619321386,7.635931205782411,19.964589862831872,13.011074053549692,10.200595833333333,48.519150791370016,29.775173
2022-06-27,30.725773936999637,26.99925994873047,28.586276875383763,8.733514773689079,20.93616517520877,16.228660895528265,10.200595833333333,48.57431073824937,9.072315
2022-06-28,31.835313592002507,25.8206729888916,29.738537919169065,16.1277662080606,37.99553701733839,33.27444321611108,10.200595833333333,48.538212400528785,10.182131
2022-06-29,29.900221178826673,24.840072631835938,29.549695759480958,10.597597148715241,36.54804276453251,35.337932183926455,10.200595833333333,50.430087010559724,38.663506
2022-06-30,26.618929770707833,21.413299560546875,27.16496112370325,9.451678684795036,14.521592373935164,-13.961608145438731,10.200595833333333,54.04038131888669,-22.9663
2022-07-01,23.04928878752155,22.595008850097656,22.4444834032441,11.730751564481649,-2.9396402612410384,-28.508699000650267,10.200595833333333,54.90981637610399,-9.956416
2022-07-02,23.5256890983198,24.144668579101562,24.86074170456719,12.536074475521994,9.324351968332849,-31.462740485228096,10.200595833333333,55.51576666901582,1.5142264
2022-07-03,20.741124442733245,20.401451110839844,26.604098354583236,10.647780397214893,13.364398663477914,-19.063294600064182,10.200595833333333,62.162010067740816,-34.033913
2022-07-04,19.217115317361387,18.935855865478516,26.582136249717507,10.557107535854866,1.8558022908073326,-4.662223367769002,10.200595833333333,64.18158131662665,-64.5726
2022-07-05,19.395651968050668,18.935855865478516,24.935688500740365,10.452590513593462,-14.187250160258372,1.311957869809703,10.200595833333333,61.69930037575815,-9.818267
2022-07-06,19.736469750829578,18.40317153930664,22.344297381249465,8.790065542675512,-24.02167569739322,-0.7007684303353017,10.200595833333333,63.83423152491221,9.949985
2022-07-07,19.482165767625734,18.1763973236084,25.1595668882363,6.764938801389411,-23.935782958536038,8.497173620077774,10.200595833333333,65.22129311304089,20.47217
2022-07-08,19.127125538527483,17.73341178894043,19.554651148243376,4.835771469258415,-39.96173946991439,-5.964083502050926,10.200595833333333,69.20408752883648,4.9382167
2022-07-09,18.672571182990986,17.882888793945312,18.063853127320073,5.37866945646663,-49.02874770705239,-3.2008706254282515,10.200595833333333,61.391742775570606,1.1808618
2022-07-10,19.77615430259366,19.338985443115234,19.404726424574747,9.009181851830029,-49.135674037604986,-19.567652356869075,10.200595833333333,58.16873871173444,15.155018
2022-07-11,20.32537597882175,19.46833610534668,19.550376981058726,6.973289014647616,-18.471163787059595,-13.718944931579244,10.200595833333333,48.62166725252019,39.53034
2022-07-12,19.063265193416054,18.41355323791504,18.198007019491524,10.657879743671991,-9.84176597478563,9.312354127549042,10.200595833333333,49.652847029609255,9.356791
2022-07-13,18.60856954117647,16.686803817749023,15.64819907136469,9.095565736133008,-38.40569426090224,6.259432733180347,10.200595833333333,49.170766178936795,-43.837643
2022-07-14,17.87425604396648,15.430619239807129,14.029196519370538,6.839298409467629,-39.30823871787106,2.0316827692613515,10.200595833333333,47.12876404823786,-86.60213
2022-07-15,17.615063460777737,13.559679985046387,11.38155910687238,7.508619136569047,-31.592974096647595,-12.156114058517232,10.200595833333333,46.44579545370834,-19.298782
2022-07-16,19.444943728468424,15.062000274658203,14.449885962484007,7.76387483663933,-14.999087007183334,-23.512503069401646,10.200595833333333,49.398281369700456,7.3789053
2022-07-17,19.750336584304335,15.012776374816895,13.099759900509849,6.944206387654328,-14.489347923758032,-17.191218397369994,10.200595833333333,54.40624904737227,7.130924
2022-07-18,19.801727448311354,14.178165435791016,13.434580724811692,8.274828154953914,-8.635900367929025,-9.302114897484898,10.200595833333333,50.71853106952581,8.057658
2022-07-19,18.852792903031027,14.338173866271973,12.937299771706485,9.958802968494824,-23.191779149799913,-4.357198917861751,10.200595833333333,47.729011192939346,5.695864
2022-07-20,17.889635934842296,11.90493392944336,10.119060990853129,15.28376794387259,-6.782564399167313,9.160209705255511,10.200595833333333,46.48953356361022,2.5272293
2022-07-21,18.22194521740863,11.26630973815918,10.10703800914038,7.675023256181603,2.395364859446545,-2.8154606422694997,10.200595833333333,45.40094856602736,-3.5041225
2022-07-22,18.04034800419617,11.074301719665527,10.10703800914038,9.716903178703255,-12.37904574143522,-4.658950514151911,10.200595833333333,45.01693196042578,-9.74959
2022-07-23,18.3802483670365,10.43132209777832,9.890692100001381,17.198364959203627,15.784672929886938,-9.729828087131864,10.200595833333333,41.60087687179345,0.3586877
2022-07-24,19.314088617383643,11.716100692749023,10.771186406970589,17.321120475411632,13.060963435759732,-13.28946943613846,10.200595833333333,39.57301250458119,-7.333646
2022-07-25,87.81569575536011,76.87015533447266,103.63215125769244,87.3659918766616,55.37690337007734,32.68794401255309,10.200595833333333,39.12694161421418,-33.712234
2022-07-26,106.98263161240676,91.31706237792969,142.74292445854144,85.36889125741978,64.01439284087337,56.32324978020279,10.200595833333333,40.82421650641715,-0.35740653
2022-07-27,118.78986453137328,83.15631866455078,114.11940351199091,84.9394021112837,62.687128753876095,31.737706663324275,10.200595833333333,40.31786359530354,-25.266596
2022-07-28,125.52037363409715,93.4705581665039,137.97954940428625,84.9050438523284,66.06658613661966,54.604777409287635,10.200595833333333,41.7081217265434,12.041295
2022-07-29,127.3012246036035,91.29454803466797,125.52412630003262,82.36327337994437,78.48075986306048,43.72375465141249,10.200595833333333,43.36494809054865,0.9994318
2022-07-30,119.09807334055284,89.43641662597656,120.53681469772891,87.58880912245914,80.95815663618487,31.165374254472113,10.200595833333333,40.85972663065507,15.655828
2022-07-31,120.79279006992114,91.61893463134766,127.2748861773623,89.21070545806693,93.00764320741746,25.22059067710245,10.200595833333333,39.47709988404575,7.2984223
2022-08-01,113.67140333927297,95.0956802368164,127.74301427431858,84.92374510744588,91.48760332191159,13.239904347043193,10.200595833333333,33.52296996912392,2.712018
2022-08-02,111.03171838878667,91.97794342041016,122.29994374964949,89.23771139344367,90.41946899353479,2.7160199389782065,10.200595833333333,33.06681866682449,-1.2897583
2022-08-03,106.52535162726639,94.60543823242188,124.60860998418124,84.89291780386951,102.07693693488181,11.103592419388406,10.200595833333333,33.37926731021931,2.144548
2022-08-04,105.62466503181709,91.27778625488281,123.01609652168148,83.76062438372753,89.3587929950354,22.88373139874284,10.200595833333333,33.55821973701034,3.4665043
2022-08-05,104.44433285356779,91.07245635986328,122.37198601512867,83.22188848505806,103.70920973691318,38.25708847128101,10.200595833333333,33.04930705653274,165.17029
2022-08-06,106.5998727827306,94.9657974243164,122.86956110308311,81.87569190041249,118.83473419804432,39.65599638606034,10.200595833333333,32.167909311193675,145.68886
2022-08-07,107.44743820326696,102.134765625,139.75123757500398,81.29963641575867,125.1894672766939,44.446008931724464,10.200595833333333,30.121159299817155,300.8729
2022-08-08,114.65019376723734,114.27698516845703,139.9820428962496,82.79232860812179,138.00317696867205,44.30003848028673,10.200595833333333,30.496845940076962,273.25537
2022-08-09,121.39030643651847,122.62846374511719,142.3676305672046,83.54654218499047,141.52228921813912,44.66829941856122,10.200595833333333,25.180134738523723,271.43103
2022-08-10,127.77426385396377,146.10719299316406,175.00641692510618,82.56591476963011,149.6123663854487,61.094946441794946,10.200595833333333,24.432358908965785,317.39056
2022-08-11,129.44331805301235,146.4798126220703,184.94772665911285,81.96046736426437,151.34376888838233,76.26885367103114,10.200595833333333,25.272434878680055,116.140884
2022-08-12,125.20049581133134,147.66607666015625,209.9147727848718,82.79229033778911,150.80058533205738,66.96972851876853,10.200595833333333,23.888665066483977,225.42438
