Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year,eval_tower
2021-06-26,21.249193757172502,10.992902755737305,6.1413216242367055,8.67912459660382,11.765635683437583,2020,9
2021-06-27,26.81265820844601,24.274429321289062,30.03366686756821,23.846585323244536,26.241834930136957,2020,9
2021-06-28,26.654602815227225,26.493982315063477,34.32363341972622,20.27473723728717,26.936738946826022,2020,9
2021-06-29,22.854299048177744,17.92540168762207,23.44550123979461,14.027126600896178,19.56308214412265,2020,9
2021-06-30,19.28536431976791,17.296239852905273,17.136973550810954,6.241386087395007,14.989990952719785,2020,9
2021-07-01,54.375469654784126,63.7142448425293,64.50253970854016,86.78358859801288,67.34396070096662,2020,9
2021-07-02,76.69977296970548,82.7536392211914,79.703676213613,85.54938270073839,81.17661777631207,2020,9
2021-07-03,77.4561408171471,77.70320892333984,82.65620352725384,91.05836101714492,82.21847857122142,2020,9
2021-07-04,78.63785296213966,82.74768829345703,92.4973567930234,94.27591879630093,87.03970421123026,2020,9
2021-07-05,79.97686046140484,82.59100341796875,95.27265778653384,113.08201052226988,92.73063304704434,2020,9
2021-07-06,79.70610654662312,76.05445098876953,92.27107317429879,108.97159850276503,89.25080730311413,2020,9
2021-07-07,82.32819472612194,79.95026397705078,106.42796859358788,120.50839680771807,97.30370602611967,2020,9
2021-07-08,81.52830640341656,73.64189147949219,78.7738827080056,101.43365325143998,83.84443346058859,2020,9
2021-07-09,82.64730364982314,79.92179870605469,76.31616299709715,97.3868417452464,84.06802677455534,2020,9
2021-07-10,82.1172164160356,85.12210083007812,98.73359665879562,108.75575511883198,93.68216725593533,2020,9
2021-07-11,86.67543819836446,97.20629119873047,119.42499618261942,131.923318496441,108.80751101903883,2020,9
2021-07-12,86.60532256238201,98.4765396118164,111.56742301416344,105.04619300203896,100.42386954760022,2020,9
2021-07-13,85.7474637770554,93.67244720458984,110.83333171162424,102.45042375994167,98.17591661330279,2020,9
2021-07-14,84.60796024330584,82.39037322998047,102.54976332655212,94.86262852971046,91.10268133238722,2020,9
2021-07-15,83.31302265987068,76.55999755859375,85.09522231897319,81.63610543537936,81.65108699320425,2020,9
2021-07-16,84.66869044025735,82.18629455566406,99.54842842990917,78.24362248745629,86.16175897832173,2020,9
2021-07-17,86.78442397092321,83.51556396484375,112.98701875419209,77.5487481646017,90.2089387136402,2020,9
2021-07-18,87.03923475368279,87.88480377197266,104.47149554462501,78.34965005660914,89.4362960317224,2020,9
2021-07-19,86.47594382028497,91.88174438476562,106.60281840139417,77.92259077496493,90.72077434535242,2020,9
2021-07-20,86.00062645367395,90.85843658447266,108.12320695075826,79.10268966854115,91.02123991436149,2020,9
2021-07-21,87.70060319854103,94.55342864990234,116.26559490141732,99.76931339572039,99.57223503639528,2020,9
2021-07-22,91.7614887118116,103.46730041503906,115.84969556456386,98.89904799344933,102.49438317121596,2020,9
