bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
31-90,60,-1.915,15.472,11.866,0.6229,1.0765,0.357,LSTM,2021,9,0.5833333333333334
91-180,90,-0.386,79.181,54.452,0.8501,0.6629,0.252,LSTM,2021,9,0.9444444444444444
181-270,90,-0.725,46.64,36.037,1.2961,0.7091,0.04,LSTM,2021,9,0.5222222222222223
271-365,95,-5.259,32.403,23.215,1.3792,1.512,0.274,LSTM,2021,9,0.0
1-7,7,-16.191,22.421,19.472,2.4116,1.519,0.418,DLinear,2022,2,0.0
8-30,23,-1.033,23.764,21.283,1.1782,1.3475,-0.254,DLinear,2022,2,0.0
31-90,60,-2.814,38.558,33.576,1.4841,1.878,0.137,DLinear,2022,2,0.0
91-180,90,-8.364,29.563,22.812,1.2696,1.7251,-0.164,DLinear,2022,2,0.0
181-270,90,-2.428,28.7,23.61,0.7937,0.9443,0.313,DLinear,2022,2,0.0
271-365,95,-2.547,29.844,24.533,1.5653,2.1201,0.153,DLinear,2022,2,0.0
1-7,7,-1.312,8.222,7.337,0.9087,0.5724,0.449,LSTM,2022,2,0.0
8-30,23,-1.06,23.923,22.113,1.2242,1.4,-0.031,LSTM,2022,2,0.0
31-90,60,-0.716,25.867,16.574,0.7326,0.927,0.107,LSTM,2022,2,0.0
91-180,90,-2.98,19.273,14.708,0.8186,1.1123,-0.012,LSTM,2022,2,0.0
181-270,90,-1.385,23.939,19.846,0.6672,0.7938,0.398,LSTM,2022,2,0.0
271-365,95,-1.347,24.274,16.245,1.0365,1.4038,0.184,LSTM,2022,2,0.0
1-7,7,-63.55,27.443,24.353,6.4408,7.3687,0.307,DLinear,2022,4,0.0
8-30,23,-308.037,34.837,30.573,5.8819,14.062,-0.155,DLinear,2022,4,0.0
31-90,60,-54.03,28.372,24.903,2.9319,5.1554,-0.1,DLinear,2022,4,0.016666666666666666
91-180,90,-0.418,48.164,34.888,1.3371,1.4839,0.068,DLinear,2022,4,0.8333333333333334
181-270,90,0.113,43.443,33.846,0.8854,0.9409,0.632,DLinear,2022,4,0.8222222222222222
271-365,95,-2.604,38.374,30.814,1.8176,2.1373,0.571,DLinear,2022,4,0.7789473684210526
1-7,7,-2.54,6.427,6.223,1.646,1.8831,0.725,LSTM,2022,4,0.0
8-30,23,-30.58,11.136,10.434,2.0075,4.7993,0.066,LSTM,2022,4,0.0
31-90,60,-4.001,8.553,7.153,0.8422,1.4809,0.343,LSTM,2022,4,0.016666666666666666
91-180,90,0.006,40.328,27.9,1.0693,1.1867,0.356,LSTM,2022,4,0.8333333333333334
181-270,90,-0.928,64.056,43.924,1.149,1.2211,0.581,LSTM,2022,4,0.8222222222222222
271-365,95,-0.746,26.71,17.4,1.0263,1.2068,0.33,LSTM,2022,4,0.7789473684210526
1-7,7,-46.015,13.491,11.757,7.889,5.9191,0.2,DLinear,2022,9,0.0
8-30,23,-46.414,21.016,17.977,3.7828,4.908,-0.557,DLinear,2022,9,0.0
31-90,60,-17.096,27.823,23.761,2.7505,3.1463,0.281,DLinear,2022,9,0.23333333333333334
91-180,90,-4.539,32.321,27.536,2.079,2.2189,0.09,DLinear,2022,9,0.9333333333333333
181-270,90,0.145,44.043,37.867,0.88,0.8947,0.711,DLinear,2022,9,0.9333333333333333
271-365,95,-0.975,48.325,39.675,1.3898,1.4392,0.27,DLinear,2022,9,0.9368421052631579
1-7,7,-184.64,26.807,25.569,17.1565,12.8725,0.154,LSTM,2022,9,0.0
8-30,23,-181.474,41.228,40.651,8.5541,11.0984,-0.256,LSTM,2022,9,0.0
31-90,60,-9.153,20.84,16.272,1.8837,2.1547,-0.208,LSTM,2022,9,0.23333333333333334
91-180,90,-8.342,41.974,31.89,2.4077,2.5697,-0.048,LSTM,2022,9,0.9333333333333333
181-270,90,-0.661,61.386,46.316,1.0764,1.0943,0.697,LSTM,2022,9,0.9333333333333333
271-365,95,-0.804,46.186,35.027,1.227,1.2706,0.329,LSTM,2022,9,0.9368421052631579
