Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year
2022-09-28,16.58900435752618,8.06941032409668,8.037391429055003,-1.237754722050525,7.864512847156835,2021
2022-09-29,16.332143235450687,7.997265815734863,8.037391429055003,-1.2539900390712262,7.7782026102923325,2021
2022-09-30,16.178872981641792,7.997265815734863,8.037391429055003,-4.256391646677791,6.989284644938467,2021
2022-10-01,16.75812467151172,7.997265815734863,8.037391429055003,-1.4826985836251794,7.8275208331691015,2021
2022-10-02,16.48125989499167,8.06941032409668,8.037391429055003,3.0745491410106567,8.915652697288502,2021
2022-10-03,16.42909890337477,8.06941032409668,8.037391429055003,2.782316780422761,8.829554359237303,2021
2022-10-04,17.156921252778925,7.997265815734863,8.037391429055003,-0.811229537176736,8.095087240098014,2021
2022-10-05,17.501470983327334,8.311915397644043,8.264838023846135,-2.3318038351520656,7.9366051424163615,2021
2022-10-06,17.294646212951054,7.997265815734863,8.037391429055003,-0.045946916468800225,8.32083913531803,2021
2022-10-07,17.258224480612235,7.997265815734863,8.037391429055003,-1.0945591845683893,8.049580635208427,2021
2022-10-08,16.500650379076156,8.06941032409668,8.037391429055003,3.9391611484616575,9.136653320172373,2021
2022-10-09,16.188579084829563,7.997265815734863,8.037391429055003,1.8841896763964172,8.52685650150396,2021
2022-10-10,15.744803782393092,7.997265815734863,8.037391429055003,2.0978235069711175,8.469321133538518,2021
2022-10-11,15.209223417603846,8.06941032409668,8.037391429055003,3.6358724403431637,8.737974402774672,2021
2022-10-12,13.243383531942618,8.06941032409668,8.037391429055003,1.1946928948849234,7.636219544994806,2021
2022-10-13,12.991281036910618,9.498051643371582,9.375087544198381,2.5518769005368043,8.604074281254347,2021
2022-10-14,12.205503611096638,8.06941032409668,8.205528524882265,1.1953876344515777,7.41895752363179,2021
2022-10-15,12.265121069812789,8.311915397644043,8.264838023846135,-4.555391574965373,6.071620729084398,2021
2022-10-16,11.644674629513009,7.997265815734863,8.26838270535874,-1.6333016651759777,6.5692553713576585,2021
2022-10-17,11.334333060593933,7.997265815734863,8.037391429055003,0.09733797752626572,6.8665820707275165,2021
2022-10-18,11.307908355023553,7.997265815734863,8.037391429055003,-0.36579769870623124,6.744191975276797,2021
2022-10-19,11.444726658336807,7.997265815734863,8.037391429055003,-1.174991704930136,6.576098049549134,2021
2022-10-20,10.746000548415049,8.06941032409668,8.037391429055003,0.7760328042133366,6.9072087764450165,2021
2022-10-21,11.648144606831675,8.311915397644043,8.264838023846135,-4.837468059076826,5.846857492311257,2021
2022-10-22,10.92080150390045,7.997265815734863,8.037391429055003,-0.313806529211071,6.660413054869811,2021
2022-10-23,10.512645595536073,8.06941032409668,8.037391429055003,0.544679278311726,6.79103165674987,2021
2022-10-24,10.266043982596972,7.997265815734863,8.037391429055003,-3.3440459922848262,5.739163808775503,2021
2022-10-25,9.959533700817955,7.997265815734863,8.037391429055003,-2.020996194871664,5.99329868768404,2021
2022-10-26,9.710635053593714,7.997265815734863,8.037391429055003,-4.733572604397182,5.252929923496599,2021
2022-10-27,9.59528564580188,7.997265815734863,8.037391429055003,-4.308926303830894,5.330254146690213,2021
2022-10-28,9.36957966511557,7.997265815734863,8.037391429055003,-3.7709177043660205,5.408329801384854,2021
2022-10-29,9.074860134513068,7.997265815734863,8.037391429055003,-4.855936182652666,5.063395299162567,2021
2022-10-30,9.179459215741915,7.997265815734863,8.037391429055003,-4.834889864195951,5.094806649083957,2021
2022-10-31,9.700356670085565,7.997265815734863,8.037391429055003,-5.249340090347591,5.12141845613196,2021
2022-11-01,14.761300956227585,10.804162979125977,9.57201179141337,-8.475377148628631,6.665524644534576,2021
2022-11-02,13.122475094571401,9.743595123291016,8.509167692528305,-7.753122212547517,5.905528924460801,2021
2022-11-03,11.42665897739573,8.974666595458984,8.037391429055003,-2.888737599227845,6.3874948506704685,2021
2022-11-04,11.400982039118578,7.997265815734863,8.26838270535874,-2.4891148134982544,6.2943789366784815,2021
2022-11-05,11.320825153873225,7.997265815734863,8.037391429055003,-3.5244266864096403,5.957763928063362,2021
2022-11-06,11.261701776485976,7.997265815734863,8.037391429055003,-5.532688134364609,5.440917721727809,2021
2022-11-07,17.010012089144634,11.617610931396484,9.57201179141337,-8.919790322116512,7.319961122459494,2021
2022-11-08,15.727815265593668,9.743595123291016,8.509167692528305,-7.723132489265062,6.564361398036981,2021
2022-11-09,14.657944272734195,8.974666595458984,8.037391429055003,-6.148863696704343,6.38028465013596,2021
2022-11-10,13.118509764154458,8.130128860473633,8.26838270535874,-6.358439601037933,5.789645432237225,2021
2022-11-11,11.816431763594677,7.997265815734863,8.037391429055003,-5.560617309384877,5.572617924749917,2021
2022-11-12,11.586555352328688,7.997265815734863,8.037391429055003,-5.050329386288023,5.6427208027076325,2021
2022-11-13,11.414838836804446,7.997265815734863,8.037391429055003,-6.3656080830824955,5.270971999627954,2021
2022-11-14,17.52417676936289,15.590163230895996,14.487427475531646,18.11849252085323,16.43006499916094,2021
