bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
8-30,23,-6.135,35.406,26.914,1.7317,1.568,-0.744,LSTM,2021,9,A_removal,0.5217391304347826
31-90,60,-0.571,11.358,8.089,0.4246,0.7338,0.023,LSTM,2021,9,A_removal,0.5833333333333334
91-180,90,-0.283,76.179,57.316,0.8948,0.6977,0.434,LSTM,2021,9,A_removal,0.9444444444444444
181-270,90,-1.08,51.217,38.394,1.3809,0.7555,0.144,LSTM,2021,9,A_removal,0.5222222222222223
271-365,95,-14.567,51.103,33.157,1.9698,2.1595,0.152,LSTM,2021,9,A_removal,0.0
1-7,7,-0.276,2.952,2.399,1.1871,0.2389,0.614,TFT,2021,2,B_resample,0.0
8-30,23,-0.94,16.704,11.451,0.9499,0.5277,-0.211,TFT,2021,2,B_resample,0.0
31-90,60,-0.378,18.31,10.012,0.8353,0.4654,-0.185,TFT,2021,2,B_resample,0.0
91-180,90,-2.467,24.013,19.704,1.573,0.8914,0.053,TFT,2021,2,B_resample,0.0
181-270,90,-0.919,24.901,19.148,1.0327,0.73,0.06,TFT,2021,2,B_resample,0.0
271-365,95,-0.887,11.025,8.826,1.3495,1.1006,-0.136,TFT,2021,2,B_resample,0.0
1-7,7,-217.041,38.596,35.394,17.5161,3.5254,0.347,DLinear,2021,2,B_resample,0.0
8-30,23,-3.199,24.574,18.56,1.5397,0.8554,0.052,DLinear,2021,2,B_resample,0.0
31-90,60,-3.435,32.849,27.285,2.2763,1.2684,0.096,DLinear,2021,2,B_resample,0.0
91-180,90,-1.224,19.232,15.867,1.2667,0.7178,0.165,DLinear,2021,2,B_resample,0.0
181-270,90,-2.523,33.744,26.691,1.4395,1.0176,-0.198,DLinear,2021,2,B_resample,0.0
271-365,95,-4.98,19.628,16.229,2.4812,2.0235,0.409,DLinear,2021,2,B_resample,0.0
1-7,7,-11.567,9.266,8.53,4.2213,0.8496,-0.224,LSTM,2021,2,B_resample,0.0
8-30,23,-0.943,16.715,13.377,1.1098,0.6165,0.395,LSTM,2021,2,B_resample,0.0
