bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,7,-0.12,26.981,23.195,0.76,0.6965,0.041,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
8-30,23,-0.745,10.344,9.67,0.2087,1.0965,0.426,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
31-90,60,0.365,17.612,11.933,0.3432,0.473,0.788,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
91-180,90,-1.852,15.142,13.141,0.2644,1.6683,0.329,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
181-270,90,-1.391,7.448,5.997,0.1158,1.2325,0.029,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
271-365,95,0.356,8.412,4.76,0.1053,0.4658,0.668,gapfilled,Ensemble_MASEweighted,BASE+species,2018,2
1-7,6,-2.767,19.047,18.761,0.5106,1.0324,0.977,observed,RF,BASE+arable,2018,2
8-30,21,-0.249,11.713,11.182,0.2401,1.2008,-0.026,observed,RF,BASE+arable,2018,2
31-90,32,-1.214,19.135,15.954,0.3508,1.3738,-0.2,observed,RF,BASE+arable,2018,2
91-180,43,-0.725,29.996,22.971,0.3736,1.4497,0.194,observed,RF,BASE+arable,2018,2
181-270,0,,,,,,,observed,RF,BASE+arable,2018,2
271-365,0,,,,,,,observed,RF,BASE+arable,2018,2
1-7,7,-0.068,26.359,23.091,0.7566,0.6933,0.162,gapfilled,RF,BASE+arable,2018,2
8-30,23,-0.441,9.398,8.628,0.1862,0.9784,0.019,gapfilled,RF,BASE+arable,2018,2
31-90,60,0.379,17.41,11.795,0.3392,0.4675,0.746,gapfilled,RF,BASE+arable,2018,2
91-180,90,-0.595,11.324,9.183,0.1848,1.1659,0.37,gapfilled,RF,BASE+arable,2018,2
181-270,90,-0.241,5.366,3.963,0.0765,0.8144,-0.021,gapfilled,RF,BASE+arable,2018,2
271-365,95,0.431,7.906,5.09,0.1126,0.4981,0.719,gapfilled,RF,BASE+arable,2018,2
1-7,6,-2.609,18.644,18.191,0.495,1.001,0.939,observed,XGB,BASE+arable,2018,2
8-30,21,0.095,9.971,9.222,0.198,0.9903,0.539,observed,XGB,BASE+arable,2018,2
31-90,32,-0.565,16.086,12.444,0.2736,1.0715,-0.135,observed,XGB,BASE+arable,2018,2
91-180,43,-0.637,29.224,22.101,0.3595,1.3948,0.223,observed,XGB,BASE+arable,2018,2
181-270,0,,,,,,,observed,XGB,BASE+arable,2018,2
271-365,0,,,,,,,observed,XGB,BASE+arable,2018,2
1-7,7,-0.267,28.703,25.069,0.8214,0.7527,-0.064,gapfilled,XGB,BASE+arable,2018,2
8-30,23,0.063,7.58,6.67,0.144,0.7563,0.527,gapfilled,XGB,BASE+arable,2018,2
31-90,60,0.248,19.155,12.519,0.36,0.4962,0.711,gapfilled,XGB,BASE+arable,2018,2
91-180,90,-0.517,11.044,8.872,0.1785,1.1264,0.353,gapfilled,XGB,BASE+arable,2018,2
181-270,90,-1.121,7.014,5.312,0.1025,1.0916,-0.193,gapfilled,XGB,BASE+arable,2018,2
271-365,95,0.305,8.742,4.663,0.1032,0.4563,0.554,gapfilled,XGB,BASE+arable,2018,2
1-7,6,-2.183,17.508,16.925,0.4606,0.9314,0.89,observed,LightGBM,BASE+arable,2018,2
8-30,21,-0.009,10.526,9.791,0.2102,1.0515,0.419,observed,LightGBM,BASE+arable,2018,2
31-90,32,-0.652,16.528,12.852,0.2826,1.1067,-0.227,observed,LightGBM,BASE+arable,2018,2
91-180,43,-0.628,29.14,22.006,0.3579,1.3888,0.272,observed,LightGBM,BASE+arable,2018,2
181-270,0,,,,,,,observed,LightGBM,BASE+arable,2018,2
271-365,0,,,,,,,observed,LightGBM,BASE+arable,2018,2
1-7,7,-0.216,28.122,24.431,0.8005,0.7336,-0.145,gapfilled,LightGBM,BASE+arable,2018,2
8-30,23,-0.137,8.35,7.514,0.1622,0.8521,0.363,gapfilled,LightGBM,BASE+arable,2018,2
31-90,60,0.235,19.32,12.505,0.3596,0.4957,0.729,gapfilled,LightGBM,BASE+arable,2018,2
